precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BÎRDA SEBASTIAN-ALIN-PARTIDUL NAȚIONAL LIBERAL-voturi","SABO SIMION-DORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PAŞCA DORIN-VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi"
26,MARAMUREŞ,"COLEGIUL TEHNIC DE TRANSPORTURI AUTO",118,"ORAŞ BAIA SPRIE",106684,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:33:32",1172,1163,1,6,2,530,522,0,6,2,505,25,1200,670,292,27,186
26,MARAMUREŞ,"COLEGIUL TEHNIC DE TRANSPORTURI AUTO",121,"ORAŞ BAIA SPRIE",106684,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:41:47",1241,1213,1,11,16,581,554,0,11,16,562,19,1400,819,337,45,180
26,MARAMUREŞ,"COLEGIUL TEHNIC DE TRANSPORTURI AUTO",120,"ORAŞ BAIA SPRIE",106684,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:19:22",1056,1046,1,8,1,412,403,0,8,1,401,11,1100,688,239,37,125
26,MARAMUREŞ,"COLEGIUL TEHNIC DE TRANSPORTURI AUTO",119,"ORAŞ BAIA SPRIE",106684,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:55:09",1228,1215,3,6,4,602,592,0,6,4,574,25,1300,701,357,31,186
26,MARAMUREŞ,"SALA DE SPORT",124,"ORAŞ BAIA SPRIE",106684,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:54:50",1045,1039,3,2,1,567,564,0,2,1,554,13,1200,633,250,47,257
26,MARAMUREŞ,"SALA DE SPORT",125,"ORAŞ BAIA SPRIE",106684,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:54:25",1234,1226,1,7,0,524,517,0,7,0,512,12,1300,776,234,60,218
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ",126,"ORAŞ BAIA SPRIE",106684,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:03:51",516,514,1,1,0,283,282,0,1,0,273,10,658,375,189,15,69
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ",122,"ORAŞ BAIA SPRIE",106684,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:38:39",1557,1546,3,7,1,546,537,1,7,1,512,34,1700,1154,267,75,170
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ",123,"ORAŞ BAIA SPRIE",106684,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:57:03",1481,1465,1,10,5,614,599,0,10,5,593,21,1700,1086,282,67,244
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „IOAN SLAVICI”",127,"ORAŞ BAIA SPRIE",106684,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:55:44",1002,991,2,9,0,553,544,0,9,0,532,18,1000,450,364,42,126
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „IOAN SLAVICI”",128,"ORAŞ BAIA SPRIE",106684,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:40:27",1290,1272,2,9,7,534,518,0,9,7,510,24,1500,966,231,81,198
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „IOAN SLAVICI”",129,"ORAŞ BAIA SPRIE",106684,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:36:38",1262,1255,1,4,2,571,565,0,4,2,553,18,1400,829,285,48,220
