precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MĂLAI MARCEL-AUREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MOLDOVAN HORAŢIU-OCTAVIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","NICOARĂ IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
28,MUREŞ,"CĂMIN CULTURAL",158,"ORAŞ IERNUT",117827,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:08:59",255,244,2,9,0,114,105,0,9,0,104,10,280,166,30,39,35
28,MUREŞ,"CĂMIN CULTURAL OARBA DE MUREŞ",160,"ORAŞ IERNUT",117827,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:57:29",102,87,4,10,1,57,43,3,10,1,54,3,100,43,10,18,26
28,MUREŞ,"CASA DE CULTURĂ IERNUT",153,"ORAŞ IERNUT",117827,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:06:53",1257,1233,4,11,9,726,706,0,11,9,703,23,1350,624,128,310,265
28,MUREŞ,"GRĂDINIŢA CU PROGRAM NORMAL IERNUT",154,"ORAŞ IERNUT",117827,3,PART,PRCNCT,P,P_SV,"2024-06-10 10:57:55",1080,1065,1,5,9,604,590,0,5,9,578,26,1170,566,96,255,227
28,MUREŞ,"ŞCOALA GIMNAZIALĂ CIPĂU",157,"ORAŞ IERNUT",117827,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:15:00",908,894,0,12,2,528,514,0,12,2,487,41,1000,472,153,167,167
28,MUREŞ,"ŞCOALA GIMNAZIALĂ IERNUT",155,"ORAŞ IERNUT",117827,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:15:47",1215,1205,0,7,3,652,642,0,7,3,625,27,1330,678,99,301,225
28,MUREŞ,"ŞCOALA GIMNAZIALĂ IERNUT",156,"ORAŞ IERNUT",117827,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:27:47",1356,1335,0,12,9,757,736,0,12,9,729,28,1480,723,119,315,295
28,MUREŞ,"ŞCOALA GIMNAZIALĂ LECHINŢA",159,"ORAŞ IERNUT",117827,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:34:15",710,703,1,4,2,425,418,1,4,2,396,28,780,356,171,114,111
28,MUREŞ,"ŞCOALA PRIMARĂ SĂLCUD",161,"ORAŞ IERNUT",117827,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:17:52",488,472,0,11,5,245,229,0,11,5,236,9,550,305,72,81,83
28,MUREŞ,"ŞCOALA PRIMARĂ SFÎNTU GHEORGHE",162,"ORAŞ IERNUT",117827,3,PART,PRCNCT,P,P_SV,"2024-06-10 04:38:56",330,324,0,6,0,202,196,0,6,0,198,4,360,158,54,96,48
