precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BURGHELEA GHEORGHE-CRISTINEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUŢINCU LIVIU-PARTIDUL SOCIAL DEMOCRAT-voturi","MATASĂ IULIAN-TRAIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","SURDU PAVEL-RĂZVAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","BACIU SORINEL-PARTIDUL PRO ROMÂNIA-voturi","ANDONESCU ANTOANETA-voturi"
29,NEAMŢ,"CENTRUL CULTURAL IZVORU MUNTELUI",125,"ORAŞ BICAZ",120968,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:34:29",396,389,0,4,3,217,210,0,4,3,209,8,400,183,24,72,79,7,3,24
29,NEAMŢ,"LICEUL CAROL I",122,"ORAŞ BICAZ",120968,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:23",1020,997,2,15,6,499,478,0,15,6,471,28,1100,601,18,181,123,31,30,88
29,NEAMŢ,"PRIMARIA ORASULUI BICAZ",119,"ORAŞ BICAZ",120968,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:04:03",1139,1111,1,25,2,568,541,0,25,2,548,20,1208,640,19,201,219,19,5,85
29,NEAMŢ,"SCOALA GENERALA NR. 1 MARCENI",120,"ORAŞ BICAZ",120968,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:30:51",743,737,0,6,0,384,378,0,6,0,377,7,800,416,31,110,148,13,6,69
29,NEAMŢ,"SCOALA GENERALA NR. 1 MARCENI",121,"ORAŞ BICAZ",120968,5,PART,PRCNCT,P,P_SV,"2024-06-10 10:54:57",1112,1098,0,14,0,478,464,0,14,0,462,16,1200,722,30,164,147,13,4,104
29,NEAMŢ,"SCOALA GENERALA NR.1 MARCENI",127,"ORAŞ BICAZ",120968,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:07:28",207,199,0,7,1,96,88,0,7,1,89,7,300,204,7,28,16,10,0,28
29,NEAMŢ,"SCOALA GENERALA NR.1 MARCENI",128,"ORAŞ BICAZ",120968,1,PART,PRCNCT,P,P_SV,"2024-06-09 23:58:17",65,60,0,5,0,27,22,0,5,0,23,4,100,73,3,8,9,1,1,1
29,NEAMŢ,"SCOALA GENERALA NR.1 MARCENI",126,"ORAŞ BICAZ",120968,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:19:38",112,106,0,6,0,61,55,0,6,0,55,6,200,139,2,14,33,3,1,2
29,NEAMŢ,"SCOALA GENERALA NR.2 DODENI",123,"ORAŞ BICAZ",120968,5,PART,PRCNCT,P,P_SV,"2024-06-10 09:08:00",908,904,0,3,1,372,368,0,3,1,358,14,986,614,37,99,148,20,9,45
29,NEAMŢ,"SCOALA GENERALA NR.2 DODENI",124,"ORAŞ BICAZ",120968,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:38:59",988,984,0,3,1,346,342,0,3,1,323,23,1100,754,21,95,122,13,11,61
