precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NOVAC BOGDAN-CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","CIUPALĂ CONSTANTIN-FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RICHEA GHEORGHE-ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi","BRAN ALEXANDRA-LĂCRĂMIOARA-ALIANȚA ELECTORALĂ PSD-PUSL-voturi"
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL GURA BELIEI ”ALBINUŢA”",214,"ORAŞ BREAZA",131103,5,PART,PRCNCT,P,P_SV,"2024-06-10 07:12:43",1044,1032,0,8,4,528,516,0,8,4,518,10,1100,572,349,75,18,76
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL PODU VADULUI",216,"ORAŞ BREAZA",131103,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:51:52",1284,1270,0,11,3,618,604,0,11,3,593,25,1400,782,420,53,44,76
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL VALEA TÂRSEI ”FREAMĂT DE CODRU”",217,"ORAŞ BREAZA",131103,5,PART,PRCNCT,P,P_SV,"2024-06-10 13:00:34",1225,1219,1,5,0,634,629,0,5,0,621,13,1300,666,407,64,69,81
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ȘI PROGRAM NORMAL ”CASTELUL FERMECAT”",212,"ORAŞ BREAZA",131103,3,PART,PRCNCT,P,P_SV,"2024-06-10 08:47:37",811,801,0,10,0,398,388,0,10,0,394,4,942,544,317,15,25,37
31,PRAHOVA,"LICEUL TEORETIC ”AUREL VLAICU” BREAZA",210,"ORAŞ BREAZA",131103,5,PART,PRCNCT,P,P_SV,"2024-06-10 16:57:06",1516,1503,3,9,1,756,744,2,9,1,747,9,1600,844,613,36,35,63
31,PRAHOVA,"LICEUL TEORETIC ”AUREL VLAICU” BREAZA",209,"ORAŞ BREAZA",131103,6,PART,PRCNCT,P,P_SV,"2024-06-10 06:00:05",1046,1024,1,17,4,549,528,0,17,4,534,15,1100,551,434,27,37,36
31,PRAHOVA,"LICEUL TEORETIC ”AUREL VLAICU” BREAZA",211,"ORAŞ BREAZA",131103,6,PART,PRCNCT,P,P_SV,"2024-06-10 08:00:29",820,808,1,11,0,432,421,0,11,0,426,6,900,468,324,34,29,39
31,PRAHOVA,"LICEUL TEORETIC ”AUREL VLAICU” BREAZA",208,"ORAŞ BREAZA",131103,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:09:15",1358,1348,0,10,0,697,687,0,10,0,673,24,1500,803,538,25,42,68
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ BREAZA DE JOS",206,"ORAŞ BREAZA",131103,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:34:53",906,900,1,5,0,477,472,0,5,0,465,12,1000,523,375,17,21,52
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ BREAZA DE JOS",207,"ORAŞ BREAZA",131103,5,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:24",982,970,1,10,1,490,478,1,10,1,480,10,1100,610,385,13,42,40
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ ”CONSTANTIN BRÂNCOVEANU” BREAZA",213,"ORAŞ BREAZA",131103,5,PART,PRCNCT,P,P_SV,"2024-06-10 19:27:55",1269,1255,3,9,2,712,701,0,9,2,694,18,1400,688,558,28,41,67
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ NISTOREȘTI",215,"ORAŞ BREAZA",131103,5,PART,PRCNCT,P,P_SV,"2024-06-10 12:27:55",1055,1046,1,8,0,510,502,0,8,0,494,16,1200,690,312,66,55,61
