precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OLAR GABRIELA-CARMEN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","FAZAKAS NICOLAE-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","TALOŞ IOAN-DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PRUNEAN ALIN-COSTEL-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","BÎRSAN CRISTIAN-CLAUDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","CIUNT IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
33,SĂLAJ,"CASA MUNICIPALĂ DE CULTURĂ",2,"MUNICIPIUL ZALĂU",139704,4,PART,PRCNCT,P,P_SV,"2024-06-13 13:22:37",1875,1846,15,8,6,948,934,0,8,6,937,11,2050,1087,31,354,34,25,114,379
33,SĂLAJ,"CLĂDIREA TRANSILVANIA",10,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:39:32",1335,1311,13,10,1,638,627,0,10,1,626,12,1400,762,36,89,38,22,93,348
33,SĂLAJ,"CLUB S.C. COMPANIA DE APĂ SOMEŞ S.A. SUCURSALA MUNICIPIULUI ZALĂU",37,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:22:19",1206,1199,2,5,0,484,479,0,5,0,472,12,1350,866,27,60,28,29,68,260
33,SĂLAJ,"COLEGIUL NAŢIONAL ”SILVANIA”",1,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,P,P_SV,"2024-06-13 12:55:19",1887,1857,19,9,2,982,970,1,9,2,970,12,2056,1074,54,230,24,45,164,453
33,SĂLAJ,"COLEGIUL TEHNIC ”ALESANDRU PAPIU ILARIAN”",33,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:47:32",1062,1056,0,6,0,401,395,0,6,0,392,9,1200,799,17,52,24,38,42,219
33,SĂLAJ,"COLEGIUL TEHNIC ”ALESANDRU PAPIU ILARIAN”",34,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:46:32",881,874,0,7,0,365,358,0,7,0,360,5,1000,635,22,58,15,11,38,216
33,SĂLAJ,"DIRECŢIA DE SĂNĂTATE PUBLICĂ SĂLAJ",9,"MUNICIPIUL ZALĂU",139704,3,PART,PRCNCT,P,P_SV,"2024-06-13 13:33:16",1067,1049,7,11,0,533,522,0,11,0,529,4,1150,617,21,98,29,15,82,284
33,SĂLAJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”LICURICI”",29,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:38:01",1636,1619,4,10,3,623,610,0,10,3,595,28,1850,1227,47,56,46,29,82,335
33,SĂLAJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 1",3,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:07:40",1848,1831,10,6,1,894,887,0,6,1,880,14,2000,1106,35,210,27,52,106,450
33,SĂLAJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PITICII ISTEȚI”",32,"MUNICIPIUL ZALĂU",139704,3,PART,PRCNCT,P,P_SV,"2024-06-13 14:03:20",1507,1473,2,10,22,632,599,1,10,22,630,2,1650,1018,32,46,48,30,69,405
33,SĂLAJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICEL”",18,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:29:50",924,915,0,9,0,344,335,0,9,0,341,3,1000,656,31,29,23,10,46,202
33,SĂLAJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICEL”",19,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:42:50",1080,1076,0,4,0,372,368,0,4,0,367,5,1200,828,23,43,26,21,34,220
33,SĂLAJ,"LICEUL CU PROGRAM SPORTIV ”AVRAM IANCU”",7,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:26:39",1766,1756,2,8,0,684,676,0,8,0,671,13,1900,1216,28,103,31,26,82,401
33,SĂLAJ,"LICEUL CU PROGRAM SPORTIV ”AVRAM IANCU”",6,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:14:02",1931,1898,21,4,8,996,984,0,4,8,993,3,2100,1104,57,116,35,63,161,561
33,SĂLAJ,"LICEUL CU PROGRAM SPORTIV ”AVRAM IANCU”",8,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:15:11",1658,1648,3,5,2,709,702,0,5,2,697,12,1800,1091,48,121,29,35,87,377
33,SĂLAJ,"LICEUL DE ARTĂ ”IOAN SIMA”",30,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:51:43",1602,1587,3,12,0,655,643,0,12,0,641,14,1756,1101,29,76,42,35,87,372
33,SĂLAJ,"LICEUL TEHNOLOGIC ”MIHAI VITEAZU”",13,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:44:45",856,845,0,9,2,370,359,0,9,2,362,8,1000,630,24,65,21,19,54,179
33,SĂLAJ,"LICEUL TEHNOLOGIC ”MIHAI VITEAZU”",14,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:29:45",1193,1179,8,6,0,454,448,0,6,0,442,12,1300,846,36,52,25,15,58,256
33,SĂLAJ,"LICEUL TEHNOLOGIC ”VOIEVOD GELU”",27,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:21:56",1846,1835,2,8,1,739,730,0,8,1,719,15,2050,1316,53,56,37,20,85,468
33,SĂLAJ,"LICEUL TEHNOLOGIC ”VOIEVOD GELU”",26,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:39:44",1341,1333,0,8,0,552,544,0,8,0,544,8,1500,948,22,64,36,37,55,330
33,SĂLAJ,"LICEUL TEHNOLOGIC ”VOIEVOD GELU”",28,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:42:48",1369,1361,1,6,1,563,556,0,6,1,553,10,1500,937,26,42,35,16,69,365
33,SĂLAJ,"LICEUL TEORETIC ”GHEORGHE ŞINCAI”",35,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:03:11",1486,1480,0,5,1,732,726,0,5,1,720,12,1650,918,29,93,30,36,136,396
33,SĂLAJ,"PRIMĂRIA MUNICIPIULUI ZALĂU",4,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:03:07",1172,1162,1,8,1,483,474,0,8,1,467,16,1293,810,24,34,21,19,61,308
33,SĂLAJ,"SALA SPORTURILOR",20,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:25:05",1587,1576,1,9,1,630,620,0,9,1,610,20,1850,1220,31,63,48,22,54,392
33,SĂLAJ,"SALA SPORTURILOR",21,"MUNICIPIUL ZALĂU",139704,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:58:48",1517,1508,0,8,1,593,584,0,8,1,584,9,1700,1107,35,31,25,33,66,394
33,SĂLAJ,"ŞCOALA GENERALĂ ”GEORGE COŞBUC”, CARTIER ORTELEC",38,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:35:42",1743,1737,0,6,0,867,861,0,6,0,838,29,1950,1083,25,10,58,27,79,639
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”CORNELIU COPOSU”",25,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:33",1176,1167,0,9,0,585,576,0,9,0,573,12,1350,765,35,81,28,25,68,336
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”CORNELIU COPOSU”",24,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:22:23",1211,1211,0,0,0,463,463,0,0,0,457,6,1442,976,35,37,25,14,59,287
