precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"AVRAMESCU CLAUDIU-IONEL-PARTIDUL NAȚIONAL LIBERAL-voturi","DUMITRESCU SILVIU-LUCIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BIRĂU VICTOR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","COŞTEANŢ DOREL-PARTIDUL ROMÂNIA PUTERNICĂ-voturi","ROŞU NICOLAE-ADRIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL BICHIGI",261,"ORAŞ FĂGET",156801,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:10:27",516,511,0,5,0,313,308,0,5,0,303,10,600,287,204,41,52,0,6
37,TIMIŞ,"CĂMINUL CULTURAL BRĂNEŞTI",262,"ORAŞ FĂGET",156801,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:50:33",404,398,0,3,3,263,257,0,3,3,259,4,445,182,101,120,36,0,2
37,TIMIŞ,"CĂMINUL CULTURAL POVÂRGINA",266,"ORAŞ FĂGET",156801,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:43:45",130,121,0,9,0,78,69,0,9,0,76,2,200,122,58,14,3,0,1
37,TIMIŞ,"CĂMINUL CULTURAL TEMEREŞTI",267,"ORAŞ FĂGET",156801,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:32:37",416,402,5,6,3,235,226,0,6,3,235,0,500,265,150,45,32,4,4
37,TIMIŞ,"CLĂDIRE ADMINISTRATIVĂ FĂGET",256,"ORAŞ FĂGET",156801,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:43:55",1407,1394,2,7,4,801,790,0,7,4,788,13,1500,699,478,200,96,2,12
37,TIMIŞ,"FOSTA ȘCOALĂ GENERALĂ JUPÂNEŞTI",265,"ORAŞ FĂGET",156801,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:09:49",155,148,0,5,2,115,108,0,5,2,94,21,200,85,42,48,3,0,1
37,TIMIŞ,"FOSTA ŞCOALĂ GIMNAZIALĂ BEGHEIU MIC",260,"ORAŞ FĂGET",156801,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:21:41",280,272,0,6,2,183,175,0,6,2,180,3,300,117,113,25,35,0,7
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM NORMAL FĂGET",258,"ORAŞ FĂGET",156801,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:05:51",1383,1365,3,11,4,838,821,2,11,4,811,27,1400,562,576,138,83,2,12
37,TIMIŞ,"ŞCOALA PRIMARĂ BĂTEȘTI,",259,"ORAŞ FĂGET",156801,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:21:48",448,443,0,5,0,277,272,0,5,0,266,11,500,223,124,62,76,0,4
37,TIMIŞ,"ȘCOALA PRIMARĂ BUNEA MARE",263,"ORAŞ FĂGET",156801,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:37:28",164,157,0,6,1,99,92,0,6,1,89,10,200,101,32,11,44,0,2
37,TIMIŞ,"ŞCOALA PRIMARĂ , COLONIA MICĂ",264,"ORAŞ FĂGET",156801,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:50:57",347,340,1,6,0,203,197,0,6,0,200,3,400,197,84,31,76,8,1
37,TIMIŞ,"SC TRANSPORT MIXT FĂGEȚEANA SA",257,"ORAŞ FĂGET",156801,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:16:27",296,281,0,10,5,193,178,0,10,5,190,3,300,107,134,34,16,1,5
