precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
1,ALBA,"AŞEZĂMÂNTUL SOCIAL - GRĂDINIŢA ”SFÂNTA IRINA”",79,"MUNICIPIUL BLAJ",1348,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:16:32",1135,1131,0,4,0,548,544,0,4,0,538,9,1300,753,99,19,314,35,15,53,3
1,ALBA,"ASOCIAŢIA JUDEŢEANĂ A VÂNĂTORILOR SI PESCARILOR SPORTIVI ALBA - CLUBUL BLAJ",84,"MUNICIPIUL BLAJ",1348,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:28:03",324,320,0,3,1,172,168,0,3,1,169,3,400,228,25,2,119,3,11,7,2
1,ALBA,"BAZA DE AGREMENT A MUNICIPIULUI BLAJ",78,"MUNICIPIUL BLAJ",1348,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:28:44",728,716,0,9,3,341,329,0,9,3,320,21,800,459,52,10,198,22,23,9,6
1,ALBA,"BAZIN OLIMPIC",31,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:09:26",1253,1242,2,9,0,458,449,0,9,0,445,13,1400,942,95,10,186,72,23,51,8
1,ALBA,"BAZIN OLIMPIC",30,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:22:40",1087,1078,0,8,1,437,428,0,8,1,425,12,1100,663,113,5,179,51,16,50,11
1,ALBA,"BIBLIOTECA COMUNALĂ",240,CRICĂU,4142,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:44:18",1057,995,1,25,36,790,729,0,25,36,769,21,1139,349,231,26,440,41,16,11,4
1,ALBA,"CĂMIN CULTURAL",225,"CETATEA DE BALTĂ",3958,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:03:48",590,574,0,4,12,247,231,0,4,12,227,20,633,386,50,8,133,25,7,4,0
1,ALBA,"CĂMIN CULTURAL",226,"CETATEA DE BALTĂ",3958,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:15:05",870,829,1,8,32,503,463,0,8,32,471,32,955,452,58,113,198,61,22,15,4
1,ALBA,"CĂMIN CULTURAL",250,FĂRĂU,4302,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:37:39",145,137,2,5,1,111,104,1,5,1,104,7,150,39,6,75,20,1,1,0,1
1,ALBA,"CĂMIN CULTURAL ASINIP",297,"LOPADEA NOUĂ",5210,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:40:55",78,70,0,8,0,52,44,0,8,0,50,2,79,27,14,2,30,0,2,2,0
1,ALBA,"CĂMIN CULTURAL BĂLCACIU",288,JIDVEI,5103,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 15:02:06",1120,1078,0,10,32,507,465,0,10,32,469,38,1192,685,65,7,285,80,16,10,6
1,ALBA,"CĂMIN CULTURAL CĂPUD",171,"ORAŞ TEIUŞ",8096,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:38:04",262,254,0,7,1,156,148,0,7,1,147,9,279,123,73,13,33,18,4,3,3
1,ALBA,"CĂMIN CULTURAL CISTEI",317,MIHALŢ,5700,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:39:12",502,454,0,29,19,367,319,0,29,19,360,7,518,151,28,5,263,44,12,7,1
1,ALBA,"CĂMIN CULTURAL DOŞTAT",246,DOŞTAT,4268,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:10:13",462,409,0,31,22,335,282,0,31,22,321,14,460,125,55,3,223,8,3,29,0
1,ALBA,"CĂMIN CULTURAL DRÎMBAR",231,CIUGUD,1071,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:40:53",350,331,1,6,12,239,222,0,6,11,231,8,375,136,42,1,161,15,4,5,3
1,ALBA,"CĂMIN CULTURAL HĂPRIA",232,CIUGUD,1071,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:45:09",528,502,1,3,22,388,363,0,3,22,373,15,555,167,90,7,201,54,5,13,3
1,ALBA,"CĂMIN CULTURAL HOPÎRTA",266,HOPÂRTA,4703,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:06:14",204,199,0,2,3,104,99,0,2,3,98,6,235,131,18,6,55,10,3,5,1
1,ALBA,"CĂMIN CULTURAL IZVOARELE",293,LIVEZILE,5167,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:31:15",94,72,0,11,11,63,41,0,11,11,58,5,100,37,13,0,39,3,0,0,3
1,ALBA,"CĂMIN CULTURAL LEORINȚ",351,RĂDEŞTI,6547,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:44:01",267,244,0,16,7,214,191,0,16,7,207,7,293,79,9,78,113,5,1,1,0
1,ALBA,"CĂMIN CULTURAL LIMBA",233,CIUGUD,1071,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:27:45",343,325,7,5,6,220,206,3,5,6,203,17,370,150,38,4,108,28,8,15,2
1,ALBA,"CĂMIN CULTURAL LUNCA TÂRNAVEI",408,ŞONA,7865,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:09:31",324,312,1,7,4,200,189,0,7,4,193,7,341,141,58,4,111,9,4,4,3
1,ALBA,"CĂMIN CULTURAL MĂTIȘEȘTI",274,HOREA,4767,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:39:07",348,337,0,3,8,239,228,0,3,8,231,8,357,118,57,1,98,62,10,1,2
1,ALBA,"CĂMIN CULTURAL OBREJA",318,MIHALŢ,5700,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:08:20",450,421,0,15,14,288,259,0,15,14,280,8,482,194,78,1,160,27,6,7,1
1,ALBA,"CĂMIN CULTURAL POIANA AIUDULUI",294,LIVEZILE,5167,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:02:15",263,244,0,5,14,153,134,0,5,14,146,7,281,128,35,5,92,4,7,3,0
1,ALBA,"CĂMIN CULTURAL SÂNBENEDIC",251,FĂRĂU,4302,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:41:44",195,181,0,9,5,129,115,0,9,5,126,3,204,75,13,7,102,0,4,0,0
1,ALBA,"CĂMIN CULTURAL, SAT IZVORUL AMPOIULUI",178,"ORAŞ ZLATNA",1936,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:07:40",389,380,1,7,1,219,211,0,7,1,213,6,429,210,67,2,112,25,2,3,2
1,ALBA,"CĂMIN CULTURAL, SAT VÂLTORI",183,"ORAŞ ZLATNA",1936,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:18:23",164,155,0,9,0,95,86,0,9,0,90,5,179,84,16,3,56,9,1,5,0
1,ALBA,"CĂMIN CULTURAL ȘEUȘA",234,CIUGUD,1071,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:53:24",741,685,3,3,50,511,458,0,3,50,490,21,750,239,68,4,284,96,7,30,1
1,ALBA,"CĂMIN CULTURAL ȘIBOT",401,ŞIBOT,7810,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:36:53",1204,1153,2,24,25,750,699,2,24,25,717,32,1280,531,282,9,205,164,23,29,5
1,ALBA,"CĂMIN CULTURAL ȘILEA",252,FĂRĂU,4302,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:46:56",260,243,0,5,12,177,160,0,5,12,168,9,270,93,67,13,79,3,2,4,0
1,ALBA,"CĂMIN CULTURAL SILIVAŞ",267,HOPÂRTA,4703,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:11:49",244,240,0,3,1,157,153,0,3,1,147,10,275,118,12,6,127,0,2,0,0
1,ALBA,"CĂMIN CULTURAL ŞPĂLNACA",268,HOPÂRTA,4703,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:44:55",137,128,0,7,2,80,71,0,7,2,78,2,160,72,13,1,55,8,0,1,0
1,ALBA,"CĂMIN CULTURAL TĂUNI",430,"VALEA LUNGĂ",8354,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:11:32",241,227,0,8,6,131,117,0,8,6,121,10,245,114,19,2,56,41,2,1,0
1,ALBA,"CĂMIN CULTURAL TELEAC",235,CIUGUD,1071,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:22:15",362,347,0,2,13,263,248,0,2,13,249,14,420,157,76,2,126,26,10,8,1
1,ALBA,"CĂMIN CULTURAL TURDAŞ",269,HOPÂRTA,4703,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:19:45",133,127,0,3,3,78,72,0,3,3,70,8,160,82,17,1,35,10,3,3,1
