precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
44,"Sector 1","ACADEMIA DE POLIȚIE ”ALEXANDRU IOAN CUZA”",166,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 19:20:35",2070,2024,34,11,1,1085,1072,1,11,1,1065,18,2280,1193,208,286,46,18,12,30,347,29,89
44,"Sector 1","ACADEMIA DE POLIȚIE ”ALEXANDRU IOAN CUZA”",165,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-13 00:40:09",2165,2031,105,29,0,1098,1069,0,29,0,1073,21,2360,1262,218,234,47,24,5,23,400,20,102
44,"Sector 1","ACADEMIA DE STUDII ECONOMICE DIN BUCUREŞTI",69,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 04:55:31",593,571,11,10,1,246,235,0,10,1,239,6,660,414,57,27,23,9,10,17,77,4,15
44,"Sector 1","ACADEMIA DE STUDII ECONOMICE DIN BUCUREŞTI",68,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 11:55:56",960,888,55,16,1,341,323,1,16,1,331,10,1030,689,73,51,28,8,14,6,119,6,26
49,"Sector 6","A.D.P.D.U. SECTOR 6",1077,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 05:16:00",1166,1074,83,9,0,523,513,1,9,0,508,15,1100,577,130,73,55,10,10,21,151,16,42
49,"Sector 6","CENTRUL EUROPEAN SECTOR 6",1173,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 07:32:13",1316,1307,4,5,0,628,623,0,5,0,607,21,1300,672,174,89,70,7,27,44,143,21,32
44,"Sector 1","CENTRUL NAŢIONAL DE CALIFICARE ŞI INSTRUIRE FEROVIARĂ CENAFER",89,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 14:09:26",1179,1156,14,9,0,539,530,0,9,0,521,18,1280,741,142,70,41,11,17,25,147,20,48
44,"Sector 1","CENTRUL NAŢIONAL DE CALIFICARE ŞI INSTRUIRE FEROVIARĂ CENAFER",88,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 09:45:41",1555,1523,13,18,1,768,748,1,18,1,757,11,1700,932,148,85,57,19,31,35,311,13,58
44,"Sector 1","CENTRUL NAŢIONAL DE CALIFICARE ŞI INSTRUIRE FEROVIARĂ CENAFER",90,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 12:03:23",1413,1369,37,7,0,677,670,0,7,0,655,22,1550,23,174,88,48,9,19,45,195,20,57
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",391,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 11:08:34",1169,1152,13,3,1,519,515,0,3,1,506,13,1269,750,130,69,43,7,10,33,151,17,46
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",392,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 10:14:50",1605,1570,18,17,0,633,616,0,17,0,614,19,1741,1100,140,82,51,7,28,34,205,14,53
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",390,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-12 09:27:11",1343,1324,14,5,0,584,579,0,5,0,581,3,1454,870,139,84,50,15,21,32,186,7,47
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",388,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 04:12:32",1436,1402,30,4,0,590,585,1,4,0,569,21,1549,959,158,68,59,9,33,29,163,8,42
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",393,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 04:17:13",1166,1129,22,15,0,427,412,0,15,0,405,22,1252,825,101,64,41,11,9,16,108,11,44
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",389,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 09:57:05",1047,1033,3,11,0,483,472,0,11,0,475,8,1135,650,111,65,52,15,25,22,147,5,33
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",387,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 06:13:49",1396,1324,54,18,0,629,609,2,18,0,610,19,1460,831,161,93,50,12,20,26,190,16,42
44,"Sector 1","CENTRUL SOCIAL SF. LAZĂR",30,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 10:44:01",1962,1908,48,6,0,1041,1035,0,6,0,1030,11,2150,1109,216,147,46,20,19,39,462,23,58
