precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi"
16,DÂMBOVIŢA,"AFTER- SCHOOL",414,VÂRFURI,69447,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:48:57",681,670,1,4,6,380,370,0,4,6,364,16,740,360,292,45,19,5,3
16,DÂMBOVIŢA,"AFTER SCHOOL BĂRBULEŢU",140,BĂRBULEŢU,66223,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:01:54",1270,1270,0,0,0,698,698,0,0,0,652,46,1400,702,473,57,94,15,13
16,DÂMBOVIŢA,"BIBLIOTECA COMUNALĂ",358,RĂZVAD,65431,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:17:09",1397,1389,3,2,3,758,753,0,2,3,737,15,1520,764,543,85,51,44,14
16,DÂMBOVIŢA,"BIROURI PRIMĂRIE - CORP B (SALA CĂSĂTORII)",31,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:40:41",1042,1032,4,6,0,469,463,0,6,0,461,8,1150,681,216,102,32,98,13
16,DÂMBOVIŢA,"BIROURI PRIMĂRIE - SERVICIUL TAXE ȘI IMPOZITE, BLOC E4",29,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:04:27",800,791,1,8,0,379,371,0,8,0,361,18,870,491,207,58,35,54,7
16,DÂMBOVIŢA,"BIROURI PRIMĂRIE - SERVICIUL TAXE ȘI IMPOZITE (PUNCT TERMIC)",30,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:16:23",795,788,2,5,0,379,374,0,5,0,362,17,870,491,192,57,42,62,9
16,DÂMBOVIŢA,"CAMIN CULTURAL",158,BUCIUMENI,66438,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:25:22",959,923,0,3,33,565,529,0,3,33,549,16,1050,485,485,30,21,5,8
16,DÂMBOVIŢA,"CAMIN CULTURAL",156,BUCIUMENI,66438,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:15:08",1439,1411,3,1,24,793,767,1,1,24,752,41,1590,797,488,128,67,48,21
16,DÂMBOVIŢA,"CĂMIN CULTURAL",333,PETREŞTI,65752,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:51:07",575,562,0,5,8,394,381,0,5,8,375,19,620,226,132,214,20,8,1
16,DÂMBOVIŢA,"CĂMIN CULTURAL",348,PRODULEŞTI,68529,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:52:55",1415,1398,2,2,13,780,764,1,2,13,750,30,1550,770,577,105,36,25,7
16,DÂMBOVIŢA,"CĂMIN CULTURAL",415,VÂRFURI,69447,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:43:52",759,756,0,0,3,437,434,0,0,3,423,14,830,393,322,55,23,14,9
16,DÂMBOVIŢA,"CĂMIN CULTURAL",215,"COSTEŞTII DIN VALE",67121,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:46:16",1255,1245,0,3,7,792,782,0,3,7,747,45,1380,588,364,315,49,10,9
16,DÂMBOVIŢA,"CĂMIN CULTURAL",423,VLĂDENI,179711,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:55:05",997,992,1,1,3,516,512,0,1,3,494,22,1090,574,297,101,33,53,10
