precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
19,GIURGIU,"AFTER SCHOOL VALEA DRAGULUI",232,"VALEA DRAGULUI",105776,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:24:29",1046,1016,0,18,12,1046,1016,0,18,12,822,39,1130,269,13,87,484,230,3,5
19,GIURGIU,"AGENȚIA PENTRU PROTECȚIA MEDIULUI GIURGIU SALA DE CONSILIU",23,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:28:13",1744,1728,4,9,3,648,636,0,9,3,608,40,1914,1266,20,219,246,94,21,8
19,GIURGIU,"CAMIN CULTURAL",110,DAIA,102446,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:26:12",565,497,1,47,20,404,337,0,47,20,375,23,547,148,7,78,260,25,2,3
19,GIURGIU,"CAMIN CULTURAL BUTURUGENI",87,BUTURUGENI,101617,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:53:03",622,588,0,17,17,474,440,0,17,17,466,7,660,186,14,109,308,30,3,2
19,GIURGIU,"CĂMIN CULTURAL VEDEA",244,VEDEA,105909,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:20:22",795,711,0,56,28,688,604,0,56,28,585,19,765,161,4,176,369,32,3,1
19,GIURGIU,"CĂMINUL CULTURAL",96,COLIBAŞI,102071,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:24:52",827,796,0,6,25,642,612,0,6,24,631,11,908,266,15,85,492,32,6,1
19,GIURGIU,"CĂMINUL CULTURAL BOLINTIN - DEAL",75,BOLINTIN-DEAL,101163,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:08:47",1453,1418,3,25,7,820,788,0,25,7,788,30,1562,744,37,280,397,57,7,10
19,GIURGIU,"CĂMINUL CULTURAL BULBUCATA",85,BULBUCATA,101519,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:14:45",1235,1082,2,149,2,914,763,0,149,2,901,13,1180,266,30,113,740,12,6,0
19,GIURGIU,"CĂMINUL CULTURAL CLEJANI",94,CLEJANI,101984,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:54:53",1340,1260,5,18,57,961,886,0,18,57,887,74,1441,480,6,22,819,36,2,2
19,GIURGIU,"CĂMINUL CULTURAL FRĂTEŞTI",120,FRĂTEŞTI,102909,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:06:38",1408,1327,2,41,38,875,796,0,41,38,826,44,1451,581,10,271,476,60,0,9
19,GIURGIU,"CĂMINUL CULTURAL GOGOŞARI",139,GOGOŞARI,103309,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:34:18",605,574,0,13,18,399,368,0,13,18,388,11,632,233,4,48,312,22,2,0
