precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL OAMENILOR LIBERI-voturi","PARTIDUL ROMÂNIA MARE-voturi"
28,MUREŞ,"CAMIN CULTURAL",305,CHEŢANI,116046,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:03:46",468,449,1,11,7,288,270,0,11,7,269,18,509,221,52,63,67,21,48,5,1,12
28,MUREŞ,"CAMIN CULTURAL",400,GORNEŞTI,117177,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:42:48",89,83,0,6,0,38,32,0,6,0,36,2,101,63,2,4,29,1,0,0,0,0
28,MUREŞ,"CAMIN CULTURAL",320,COZMA,116224,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:16:27",115,86,0,5,24,86,57,0,5,24,82,4,100,14,23,53,1,4,1,0,0,0
28,MUREŞ,"CAMIN CULTURAL",401,GORNEŞTI,117177,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:58:47",353,337,0,3,13,262,246,0,3,13,257,5,390,128,8,4,241,2,2,0,0,0
28,MUREŞ,"CAMIN CULTURAL",471,"PAPIU ILARIAN",118637,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:09:10",688,667,1,2,18,461,441,0,2,18,435,26,757,296,72,11,269,73,5,1,2,2
28,MUREŞ,"CAMIN CULTURAL",338,CUCI,116439,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:50:21",139,127,0,7,5,89,77,0,7,5,83,6,145,56,48,12,2,12,4,1,0,4
28,MUREŞ,"CĂMIN CULTURAL",339,CUCI,116439,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:37:21",427,405,0,10,12,243,221,0,10,12,223,20,458,215,76,129,1,8,5,2,0,2
28,MUREŞ,"CĂMIN CULTURAL",290,BRÂNCOVENEŞTI,115897,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:48:50",369,361,0,4,4,188,180,0,4,4,174,14,400,212,68,20,8,58,11,1,2,6
28,MUREŞ,"CĂMIN CULTURAL",265,BĂLA,115600,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:57:14",387,340,2,4,41,303,258,0,4,41,264,39,421,118,63,151,3,16,12,3,3,13
28,MUREŞ,"CĂMIN CULTURAL",158,"ORAŞ IERNUT",117827,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:28:16",255,244,2,9,0,114,105,0,9,0,101,13,280,166,43,27,2,21,6,0,1,1
28,MUREŞ,"CĂMIN CULTURAL AGRIŞTEU",268,BĂLĂUŞERI,115637,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:24:46",627,614,1,3,9,302,289,1,3,9,264,38,690,388,21,28,194,8,9,1,2,1
28,MUREŞ,"CĂMIN CULTURAL ALBEȘTI",223,ALBEŞTI,114603,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:52:49",1748,1734,2,5,7,859,846,1,5,7,796,63,1917,1058,303,165,141,84,70,12,6,15
28,MUREŞ,"CAMIN CULTURAL BAND",248,BAND,115389,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:46:53",1022,1013,1,8,0,506,497,1,8,0,367,139,1090,584,80,133,56,4,1,0,0,93
28,MUREŞ,"CĂMIN CULTURAL BATOŞ",259,BATOŞ,115520,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:32:29",1088,1076,0,6,6,586,574,0,6,6,557,29,1200,607,158,242,69,42,34,2,4,6
28,MUREŞ,"CĂMIN CULTURAL BERNADEA",240,BAHNEA,115307,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:02:04",159,157,0,2,0,90,88,0,2,0,72,18,180,90,19,24,3,12,5,1,3,5
28,MUREŞ,"CĂMIN CULTURAL BICHIŞ",282,BICHIŞ,115771,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:58:04",145,133,0,8,4,93,81,0,8,4,90,3,145,52,1,15,68,1,3,0,2,0
28,MUREŞ,"CĂMIN CULTURAL BOLINTINENI, SAT BOLINTINENI",479,PĂSĂRENI,118753,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:37:04",190,185,0,5,0,85,80,0,5,0,72,13,206,121,12,8,44,5,0,0,2,1
28,MUREŞ,"CĂMIN CULTURAL BORD",334,CUCERDEA,116395,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:27:40",102,94,0,4,4,68,60,0,4,4,58,10,111,43,10,40,0,4,4,0,0,0
28,MUREŞ,"CAMIN CULTURAL BOTEZ",235,AŢINTIŞ,115236,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:50:31",147,141,0,3,3,96,90,0,3,3,93,3,160,64,58,11,1,10,3,2,1,7
28,MUREŞ,"CAMIN CULTURAL BREAZA",293,BREAZA,115851,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:46:44",1088,1056,3,4,25,693,662,2,4,25,670,23,1160,467,84,134,320,40,83,5,1,3
28,MUREŞ,"CĂMIN CULTURAL CĂPUȘU DE CÎMPIE",428,ICLĂNZEL,117667,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:35:05",652,622,0,18,12,395,365,0,18,12,363,32,690,294,118,108,5,74,44,8,2,4
28,MUREŞ,"CĂMIN CULTURAL CERGHID",205,"ORAŞ UNGHENI",119894,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:01:28",425,405,1,8,11,264,245,0,8,11,251,13,450,186,74,113,3,20,24,1,5,11
28,MUREŞ,"CÂMIN CULTURAL CHINARI",528,"SÂNTANA DE MUREŞ",114453,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:19:46",620,610,2,6,2,373,364,1,6,2,351,22,701,328,73,76,125,33,15,18,7,4
28,MUREŞ,"CĂMIN CULTURAL CHIRILEU",515,SÂNPAUL,119466,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:50:46",725,714,3,6,2,416,408,0,6,2,260,156,790,374,88,68,48,31,16,0,4,5
28,MUREŞ,"CĂMIN CULTURAL CLOAȘTERF",496,SASCHIZ,119206,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:00:51",150,145,0,5,0,76,71,0,5,0,66,10,160,84,10,41,0,13,1,0,0,1
28,MUREŞ,"CĂMIN CULTURAL CRĂCIUNEŞTI SALA MICĂ",321,CRĂCIUNEŞTI,116288,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:14:31",751,726,0,9,16,283,258,0,9,16,249,34,824,541,16,7,220,2,2,1,1,0
28,MUREŞ,"CĂMIN CULTURAL CURTENI",529,"SÂNTANA DE MUREŞ",114453,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:03:36",897,881,5,3,8,570,559,0,3,8,553,17,979,409,32,48,451,6,5,11,0,0
28,MUREŞ,"CĂMIN CULTURAL DEDA",346,DEDA,116545,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:35:35",1548,1507,0,20,21,1064,1023,0,20,21,964,100,1650,586,571,74,1,252,52,5,5,4
28,MUREŞ,"CĂMIN CULTURAL DEDRAD",260,BATOŞ,115520,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:23:41",1344,1332,0,10,2,756,744,0,10,2,716,40,1462,706,456,121,6,79,35,6,6,7
28,MUREŞ,"CĂMIN CULTURAL DELENI",430,"IDECIU DE JOS",117783,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:39:40",211,194,0,9,8,161,144,0,9,8,152,9,210,41,19,75,2,32,24,0,0,0
28,MUREŞ,"CĂMIN CULTURAL DELENII",264,BĂGACIU,115575,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:43:57",873,856,0,8,9,518,501,0,8,9,489,29,951,433,95,41,291,22,24,5,6,5
28,MUREŞ,"CĂMIN CULTURAL DILEU VECHI",467,OGRA,118575,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:54:46",141,126,0,12,3,98,83,0,12,3,92,6,150,52,61,7,16,3,1,1,2,1
28,MUREŞ,"CĂMIN CULTURAL DULCEA",425,IBĂNEŞTI,117550,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:52:22",908,886,1,3,18,589,568,0,3,18,565,24,980,391,390,87,1,58,16,3,6,4
28,MUREŞ,"CĂMIN CULTURAL DUMITRENI",270,BĂLĂUŞERI,115637,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:43:42",360,336,0,9,15,181,157,0,9,15,158,8,400,234,3,1,152,1,0,1,0,0
28,MUREŞ,"CĂMIN CULTURAL FILITELNIC",271,BĂLĂUŞERI,115637,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:05:24",175,168,0,6,1,98,91,0,6,1,92,6,198,100,10,45,24,8,1,2,1,1
