precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
29,NEAMŢ,"ANEXĂ ȘCOALA NEGREȘTI",183,BIRA,121386,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:36:21",154,148,0,6,0,89,83,0,6,0,85,4,200,111,20,55,4,2,0,1,1,2,0
29,NEAMŢ,"BIBLIOTECA COMUNALA FAUREI",277,FĂUREI,122613,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:34:59",210,201,0,6,3,210,201,0,6,3,120,12,300,168,28,43,3,0,0,39,0,4,3
29,NEAMŢ,"CAMIN CULTURAL",174,BICAZ-CHEI,121297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:11:58",1091,1073,1,6,11,593,576,0,6,11,566,27,1200,607,224,272,31,2,2,5,4,19,7
29,NEAMŢ,"CAMIN CULTURAL",322,"ION CREANGĂ",123102,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:18:20",802,787,0,5,10,483,468,0,5,10,464,19,900,417,334,77,23,2,2,6,0,16,4
29,NEAMŢ,"CAMIN CULTURAL",311,HORIA,120922,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:00:16",1741,1731,1,1,8,779,770,0,1,8,739,40,1900,1121,225,202,160,7,8,103,4,22,8
29,NEAMŢ,"CAMIN CULTURAL",442,TAŞCA,124563,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:46:56",1359,1337,1,5,16,757,736,0,5,16,717,40,1500,743,214,209,137,7,6,45,46,35,18
29,NEAMŢ,"”CĂMIN CULTURAL”",206,BORLEŞTI,121732,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:30:28",244,237,0,7,0,96,89,0,7,0,92,4,300,204,36,41,4,1,0,6,0,3,1
29,NEAMŢ,"CĂMIN CULTURAL",325,"ION CREANGĂ",123102,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:35:25",658,646,0,7,5,374,362,0,7,5,360,14,700,326,167,156,18,1,1,12,0,4,1
29,NEAMŢ,"CĂMIN CULTURAL",178,"BICAZU ARDELEAN",121340,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:15:10",1286,1259,2,4,21,625,599,1,4,21,602,23,1400,775,113,325,67,3,3,50,3,29,9
29,NEAMŢ,"CĂMIN CULTURAL",324,"ION CREANGĂ",123102,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:54:50",685,655,0,10,20,394,364,0,10,20,378,16,700,306,197,144,15,1,2,7,0,10,2
