precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD-PUSL-voturi","ALIANȚA MIȘCAREA, NOI PLOIEȘTENII - REPER-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi"
31,PRAHOVA,"AGENŢIA PENTRU PROTECŢIA MEDIULUI PRAHOVA",110,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:00:53",1072,1067,3,2,0,476,474,0,2,0,451,25,1200,724,84,52,83,2,16,118,53,43
31,PRAHOVA,"ANEXA LICEULUI TEHNOLOGIC DE TRANSPORTURI (ANEXA GRUP SCOLAR INDUSTRIAL TRANSPORTURI (FOST LICEUL AUTO))",25,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:58:25",1570,1563,0,7,0,636,629,0,7,0,592,44,1700,1064,121,51,97,7,33,128,93,62
31,PRAHOVA,"ANEXA PRIMARIE SAT OLOGENI",513,"POIENARII BURCHII",134559,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:33:36",1072,1046,0,7,19,747,721,0,7,19,731,16,1300,553,97,80,46,17,44,426,12,9
31,PRAHOVA,"ANEXA ŞCOLII GIMNAZIALE ”SFÂNTA VINERI”",14,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:13:56",891,882,0,9,0,382,373,0,9,0,360,22,1000,618,75,40,53,9,16,104,38,25
31,PRAHOVA,"BAZA SPORTIVĂ STREJNICU",577,"TÂRGŞORU VECHI",130892,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:07:12",1877,1863,2,8,4,1009,997,0,8,4,959,50,2000,991,222,102,139,11,53,340,30,62
31,PRAHOVA,"BIBLIOTECA COMUNALĂ COSMINELE",390,COSMINELE,132841,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:49:53",822,796,0,24,2,618,592,0,24,2,582,36,867,249,332,81,10,0,22,132,1,4
31,PRAHOVA,"BIBLIOTECA ”DIMITRIE GUSTI” COMUNA POIANA-CĂMPINA",508,"POIANA CÂMPINA",131274,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:52:55",590,586,1,3,0,356,353,0,3,0,334,22,714,358,196,31,20,2,15,57,7,6
31,PRAHOVA,"BLOCUL 24B PARTER",40,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:05:51",1247,1239,0,8,0,510,502,0,8,0,483,22,1300,795,91,61,83,7,16,127,55,43
31,PRAHOVA,"CABANA DE VANATOARE",607,"VALEA CĂLUGĂREASCĂ",135949,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:06:48",92,83,0,9,0,45,36,0,9,0,41,4,102,57,25,10,1,0,0,5,0,0
31,PRAHOVA,"CAMIN CULTURAL",575,TĂTARU,135681,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:40:16",288,263,0,3,22,235,210,0,3,22,221,14,296,61,30,19,8,0,2,161,1,0
31,PRAHOVA,"CAMIN CULTURAL",601,"VALEA CĂLUGĂREASCĂ",135949,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:56:08",1129,1117,0,12,0,594,582,0,12,0,564,30,1200,606,226,71,53,10,26,161,7,10
31,PRAHOVA,"CAMIN CULTURAL",576,TĂTARU,135681,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:43:49",565,512,0,23,30,409,356,0,23,30,377,32,559,150,71,46,19,0,11,228,2,0
31,PRAHOVA,"CĂMIN CULTURAL",484,MĂNEŞTI,134194,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:08:41",868,855,0,10,3,462,449,0,10,3,439,23,898,436,235,49,26,4,20,88,9,8
31,PRAHOVA,"CĂMIN CULTURAL",566,ŞOIMARI,135501,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:03:49",398,397,1,0,0,228,227,1,0,0,213,15,400,172,33,42,11,1,18,84,2,22
31,PRAHOVA,"CĂMIN CULTURAL",285,ADUNAŢI,131899,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:11:14",817,802,0,5,10,575,560,0,5,10,543,32,920,345,401,42,15,0,8,76,0,1
