precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
32,"SATU MARE","AFTER SCHOOL, MARTINESTI NR. 51",246,ODOREU,138280,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:14:40",1035,1022,4,8,1,567,557,1,8,1,558,9,1200,633,19,91,179,192,7,47,8,15
32,"SATU MARE","ASOCIAŢIA CARITAS SATU MARE CANTRUL SOCIAL DESCHIS LA CASA PRIETENIEI",3,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:34:31",1005,992,2,10,1,439,427,1,10,1,430,9,1100,661,30,87,85,170,7,31,4,16
32,"SATU MARE","ASOCIAŢIA JUDEŢEANĂ DE FOTBAL ( ŞC. NR.15 )",46,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:36:17",1951,1917,12,10,12,1942,1917,3,10,12,1080,17,2100,1003,39,101,105,747,13,55,9,11
32,"SATU MARE","BIBLIOTECA ARDUD",90,"ORAŞ ARDUD",136848,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:48:54",1606,1599,0,6,1,708,701,0,6,1,601,107,1711,1002,137,61,152,200,3,18,8,22
32,"SATU MARE","BOINESTI SCOALA GENERALA",147,BIXAD,137069,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:40:57",1465,1429,0,26,10,733,697,0,26,10,651,82,1572,839,210,129,159,4,10,73,13,53
32,"SATU MARE","CAMIN CULTURAL",270,POMI,138618,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:09:11",121,110,0,8,3,87,76,0,8,3,83,4,130,43,5,35,6,1,34,2,0,0
32,"SATU MARE","CAMIN CULTURAL",172,CEHAL,137363,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:23:40",486,473,2,7,4,336,323,2,7,4,314,22,501,165,9,43,16,233,0,7,2,4
32,"SATU MARE","CAMIN CULTURAL",120,ACÂŞ,136713,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:18:32",1572,1554,3,8,7,869,854,0,8,7,729,135,1663,794,30,117,138,413,5,8,15,3
32,"SATU MARE","CAMIN CULTURAL",269,POMI,138618,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:54:34",83,66,0,13,4,78,61,0,13,4,60,1,96,35,3,36,11,0,3,4,0,3
32,"SATU MARE","CAMIN CULTURAL ATEA",199,DOROLŢ,137675,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:36:00",317,305,0,2,10,209,197,0,2,10,185,24,350,141,3,12,0,169,0,0,1,0
