precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLOREAN OVIDIU-IOSIF-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MOLDOVAN EMIL-RADU-PARTIDUL SOCIAL DEMOCRAT-voturi","SIGHIARTĂU ROBERT-IONATAN-PARTIDUL NAȚIONAL LIBERAL-voturi","SAS LÓRÁNT-ZOLTAN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","SIMIONCA IONUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","TALOŞ MIRCEA-PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi"
6,BISTRIŢA-NĂSĂUD,"AUTOGARA CĂLĂTORI",74,"ORAŞ NĂSĂUD",32544,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:08:30",1677,1658,0,17,2,752,733,0,17,2,728,24,1850,1098,32,281,391,9,13,2
6,BISTRIŢA-NĂSĂUD,"BIBLIOTECA COMUNALĂ SATU NOU",105,CETATE,32884,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:34:41",618,602,1,7,8,439,424,0,7,8,427,12,656,217,22,191,187,2,23,2
6,BISTRIŢA-NĂSĂUD,"BIBLIOTECA ORĂȘENEASCĂ BECLEAN „LIVIU REBREANU”",59,"ORAŞ BECLEAN",32483,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:41:14",1596,1525,3,42,26,902,834,0,42,26,884,12,1700,804,26,419,343,21,62,13
6,BISTRIŢA-NĂSĂUD,"CABANA STARSILVA FIAD",295,TELCIU,35054,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:47:12",158,149,0,9,0,90,81,0,9,0,85,5,200,110,4,40,36,0,5,0
6,BISTRIŢA-NĂSĂUD,"CĂMIN CULTURAL",242,"SÂNMIHAIU DE CÂMPIE",34477,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:36:05",176,146,0,25,5,128,98,0,25,5,125,3,150,22,6,92,17,0,6,4
6,BISTRIŢA-NĂSĂUD,"CAMIN CULTURAL ”GRIGORE PLETOSU”",259,ŞIEU-MĂGHERUŞ,34690,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:08:29",546,538,0,3,5,287,279,0,3,5,278,9,600,313,20,144,99,6,9,0
6,BISTRIŢA-NĂSĂUD,"CĂMIN CULTURAL JOSENII BÂRGĂULUI",148,"JOSENII BÂRGĂULUI",33382,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:14:00",827,815,2,6,4,461,450,1,6,4,447,14,915,454,79,221,99,8,36,4
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL",212,NUŞENI,34075,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:41:20",304,273,0,9,22,179,148,0,9,22,167,12,316,137,3,68,73,16,7,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL",276,ŞINTEREAG,34903,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:34:52",250,239,1,7,3,147,137,0,7,3,143,4,250,103,4,89,47,0,2,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL",244,"SILIVAŞU DE CÂMPIE",34422,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:22:01",741,696,0,19,26,553,508,0,19,26,525,28,783,230,71,322,109,1,21,1
