precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POPA ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","CHIRIAC FRANCISK-IULIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","SIMION MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ANDREI IONUŢ-VALENTIN-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","IONIŢĂ ANTONETA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","GAVRILĂ GELA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","RĂUREANU ADRIAN-CORNELIU-PARTIDUL S.O.S. ROMÂNIA-voturi","FĂTU NECULAI-PARTIDUL SOCIALIST ROMÂN-voturi"
9,BRĂILA,"CĂMIN CULTURAL",268,UNIREA,44355,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:16:12",1039,1023,0,11,5,650,634,0,11,5,594,56,1087,437,108,367,38,5,37,2,23,14
9,BRĂILA,"CĂMIN CULTURAL",164,"BERTEŞTII DE JOS",42842,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:20:13",248,241,0,7,0,170,163,0,7,0,156,14,300,130,101,34,10,0,0,0,11,0
9,BRĂILA,"CĂMIN CULTURAL",197,GROPENI,43313,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 15:29:38",1407,1391,0,7,9,929,913,0,7,9,866,62,1600,654,465,291,45,2,16,9,34,4
9,BRĂILA,"CĂMIN CULTURAL",267,UNIREA,44355,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:34:19",855,820,0,19,16,578,543,0,19,16,556,15,900,329,104,407,17,1,11,0,15,1
9,BRĂILA,"CĂMIN CULTURAL CONSTANTIN GABRIELESCU",167,"BORDEI VERDE",42913,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:37:56",501,490,0,9,2,330,319,0,9,2,321,9,550,220,111,187,12,3,2,1,5,0
9,BRĂILA,"CAMIN CULTURAL DIN FOSTUL SAT TIBANESTI",261,TUFEŞTI,44300,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:11:33",1048,1042,0,6,0,574,568,0,6,0,553,21,1150,453,71,407,39,0,17,2,16,1
9,BRĂILA,"CAMIN CULTURAL GRADISTEA",194,GRĂDIŞTEA,43279,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:56:39",1025,962,0,24,39,650,587,0,24,39,626,24,1098,448,516,73,25,0,3,0,9,0
9,BRĂILA,"CAMIN CULTURAL LATINU",209,MĂXINENI,43563,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:04:08",576,567,0,6,3,342,333,0,6,3,308,31,600,261,13,238,36,1,8,2,10,0
9,BRĂILA,"CAMIN CULTURAL M.MIRESII",214,"MOVILA MIRESII",43652,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:12:13",1140,1130,0,3,7,700,690,0,3,7,674,26,1289,589,198,368,29,36,7,6,29,1
9,BRĂILA,"CĂMIN CULTURAL SAT IBRIANU",195,GRĂDIŞTEA,43279,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:45:32",489,449,0,15,25,489,449,0,15,25,319,18,524,187,261,34,21,0,1,1,1,0
