precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLOREA DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ILIUŢĂ VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","BARBU VALENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","COARNĂ DUMITRU-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BELLANTONI AMALIA-PARTIDUL S.O.S. ROMÂNIA-voturi","DĂSCĂLESCU-TIRON CAMELIA-SANDA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
12,CĂLĂRAŞI,"CAMIN CULTURAL",162,LEHLIU,93851,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:19:22",1386,1321,0,26,39,937,872,0,26,39,897,40,1329,392,49,227,556,21,26,18
12,CĂLĂRAŞI,"CĂMIN CULTURAL ȘTEFĂNEȘTI",155,ILEANA,103764,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:04:38",613,599,1,13,0,355,342,0,13,0,342,13,653,297,37,262,26,6,9,2
12,CĂLĂRAŞI,"CANTINA DE AJUTOR SOCIAL",50,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:00:15",546,538,0,8,0,250,242,0,8,0,228,22,592,72,72,111,29,4,9,3
12,CĂLĂRAŞI,"CANTINA DE AJUTOR SOCIAL",53,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:15:22",1107,1097,0,7,3,591,581,0,7,3,564,27,1215,624,45,306,119,32,33,29
12,CĂLĂRAŞI,"CASA DE CULTURA",77,"ORAŞ LEHLIU-GARĂ",93888,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:50:30",1495,1471,0,16,8,915,891,0,16,8,895,20,1600,685,156,523,101,38,38,39
12,CĂLĂRAŞI,"CENTRUL CULTURAL MULTIFUNCȚIONAL",121,DOROBANŢU,93441,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:45:32",1188,1150,1,14,23,793,757,0,14,22,765,28,1243,450,49,167,515,12,16,6
12,CĂLĂRAŞI,"CENTRUL JUDEŢEAN DE RESURSE ŞI ASISTENŢĂ EDUCAŢIONALĂ CĂLĂRAŞI",4,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:36:53",727,720,1,6,0,363,357,0,6,0,346,17,720,357,55,144,69,23,17,38
12,CĂLĂRAŞI,"CENTRUL JUDEŢEAN DE RESURSE ŞI ASISTENŢĂ EDUCAŢIONALĂ CĂLĂRAŞI",3,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:18:46",995,942,1,10,42,455,403,0,10,42,438,17,1035,580,67,169,103,34,13,52
12,CĂLĂRAŞI,"COLEGIUL ECONOMIC SEDIU",51,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:58:20",1299,1285,5,9,0,651,642,0,9,0,625,26,1429,778,88,262,145,34,21,75
12,CĂLĂRAŞI,"COLEGIUL ECONOMIC SEDIUL B",43,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:04:31",1064,1053,0,10,1,482,471,0,10,1,463,10,1157,683,90,215,80,15,29,34
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ” BARBU ŞTIRBEI” CĂLĂRAŞI",34,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:22:16",1234,1219,2,13,0,538,525,0,13,0,522,16,1341,803,100,224,104,31,19,44
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ” BARBU ŞTIRBEI” CĂLĂRAŞI",35,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:02:26",1069,1060,0,9,0,488,479,0,9,0,469,19,1166,651,113,178,85,33,23,37
