precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MURAD MOHAMMAD-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MITROI FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","GRASA CĂTĂLIN-NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","STANCOVICI CRISTIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","PANĂ MIHAI-SIMION-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PALAZ CLAUDIU-IORGA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BĂDRĂGAN DUMITRU-PARTIDUL ECOLOGIST ROMÂN-voturi","LUPU MIHAI-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
14,CONSTANŢA,"AGENȚIA FISCALĂ NR.1-4",135,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:48:36",1364,1360,0,3,1,617,613,0,3,1,597,20,1500,883,77,209,131,18,11,110,20,21
14,CONSTANŢA,"AGENȚIA FISCALĂ NR.1-4",134,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:14:31",1574,1562,0,12,0,688,676,0,12,0,665,23,1700,1012,77,224,116,23,11,163,21,30
14,CONSTANŢA,"ANEXĂ A ȘCOLII GIMNAZIALE NR.1 SILIȘTEA-SALA 9",539,SILIŞTEA,62949,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:08:01",600,589,1,10,0,407,397,0,10,0,399,8,700,293,98,93,165,13,1,25,1,3
14,CONSTANŢA,"ANEXA - COLEGIUL NAȚIONAL ”KEMAL ATATURK”",260,"MUNICIPIUL MEDGIDIA",60847,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:45:34",833,823,2,8,0,317,309,0,8,0,304,13,900,583,31,129,82,26,5,16,4,11
14,CONSTANŢA,"ANEXA - COLEGIUL NAȚIONAL ”KEMAL ATATURK”",261,"MUNICIPIUL MEDGIDIA",60847,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:32:38",729,722,0,7,0,316,309,0,7,0,305,11,800,484,33,145,60,22,2,25,9,9
14,CONSTANŢA,"ANEXĂ LA COLEGIUL NAŢIONAL ”MIRCEA CEL BĂTRÂN”",200,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:38:04",573,562,3,8,0,265,257,0,8,0,258,7,800,535,26,67,45,12,9,85,7,7
14,CONSTANŢA,"ANEXĂ LA COLEGIUL NAŢIONAL ”MIRCEA CEL BĂTRÂN”",199,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:01:51",582,572,0,10,0,258,248,0,10,0,249,9,800,542,26,81,63,4,3,49,7,16
14,CONSTANŢA,"ANEXA LICEULUI TEHNOLOGIC ”NICOLAE DUMITRESCU”",430,CUMPĂNA,61620,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:17:44",1923,1911,3,7,2,958,949,0,7,2,935,23,2000,1042,166,220,360,38,5,105,17,24
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",34,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:55:49",1224,1220,1,3,0,448,445,0,3,0,434,14,1400,952,101,110,139,28,5,30,9,12
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",35,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:08:22",1044,1040,0,4,0,418,414,0,4,0,404,14,1100,682,79,103,94,24,8,66,20,10
