precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TELEHUZ DRAGOŞ-COSTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","OANCEA SILVIU-FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PAVEL MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","COSTEA ADRIAN-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PEIU GRIGORE-ADRIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","GAE IONEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","DUBĂLARU EUGEN-IONUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","CARAGAŢĂ FLORIN-PARTIDUL LEGE EDUCAȚIE UNITATE-voturi"
23,IALOMIŢA,"AGENȚIA NAȚIONALĂ DE ÎMBUNĂTĂȚIRI FUNCIARE – FILIALA IALOMIȚA",18,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:29:36",1352,1337,1,13,1,601,587,0,13,1,577,24,1492,891,178,36,238,5,19,17,56,28
23,IALOMIŢA,"CĂMIN CULTURAL",218,"VALEA MĂCRIŞULUI",105794,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:55:22",361,339,0,5,17,248,226,0,5,17,235,13,400,152,5,8,169,0,5,1,46,1
23,IALOMIŢA,"CĂMIN CULTURAL",102,BALACIU,92907,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:20:13",429,369,0,12,48,255,195,0,12,48,233,20,400,147,60,20,105,0,14,4,27,3
23,IALOMIŢA,"CĂMIN CULTURAL",217,"VALEA MĂCRIŞULUI",105794,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:43:36",901,845,0,17,39,663,607,0,17,39,609,54,965,302,33,23,418,2,16,6,105,6
23,IALOMIŢA,"CĂMIN CULTURAL FRĂȚILEȘTI",203,SĂVENI,94376,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:38:06",344,344,0,0,0,172,172,0,0,0,159,13,413,241,7,19,79,0,2,0,52,0
23,IALOMIŢA,"CĂMIN CULTURAL GHIMPAŢI",128,CIULNIŢA,93156,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:22:22",201,196,0,5,0,137,132,0,5,0,131,6,200,63,47,8,71,0,0,1,4,0
23,IALOMIŢA,"CĂMIN CULTURAL ION GHICA",126,CIULNIŢA,93156,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:19:01",474,460,0,14,0,294,280,0,14,0,286,8,500,206,116,17,128,0,10,5,9,1
23,IALOMIŢA,"CĂMIN CULTURAL MIHAIL KOGĂLNICEANU",172,"MIHAIL KOGĂLNICEANU",93995,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:58:31",1374,1340,3,11,20,887,855,1,11,20,852,35,1484,594,116,84,449,7,37,56,86,17
23,IALOMIŢA,"CAMIN CULTURAL PLATONEŞTI",189,PLATONEŞTI,180000,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:05:54",757,726,1,21,9,480,450,0,21,9,464,16,800,320,4,49,287,2,14,1,106,1
23,IALOMIŢA,"CĂMIN CULTURAL POIANA - SALA DE FESTIVITĂȚI",127,CIULNIŢA,93156,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:55:39",355,350,0,5,0,222,217,0,5,0,216,6,400,178,58,11,120,1,9,1,16,0
23,IALOMIŢA,"CĂMIN CULTURAL, SAT SINTEŞTI",114,BORĂNEŞTI,179784,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:26:08",318,311,0,7,0,227,220,0,7,0,216,11,347,120,80,14,67,0,6,6,43,0
23,IALOMIŢA,"CĂMINUL CULTURAL",220,VLĂDENI,94795,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:04:39",737,725,0,4,8,473,461,0,4,8,459,14,800,327,68,20,342,1,21,5,1,1
23,IALOMIŢA,"CĂMINUL CULTURAL",118,BUCU,93021,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:01:14",1021,1012,2,1,6,565,558,0,1,6,546,19,1100,535,81,49,313,9,23,2,60,9
23,IALOMIŢA,"CĂMINUL CULTURAL",154,GRINDU,93717,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:08:00",752,725,5,19,3,497,474,1,19,3,474,17,800,309,101,19,336,0,7,1,10,0
23,IALOMIŢA,"CĂMINUL CULTURAL",155,GRINDU,93717,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:38:57",725,708,0,16,1,501,484,0,16,1,486,15,788,287,116,23,317,2,13,2,12,1
23,IALOMIŢA,"CĂMINUL CULTURAL",119,BUCU,93021,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:18:06",1007,991,0,3,13,545,529,0,3,13,524,21,1103,558,110,36,297,4,18,4,45,10
23,IALOMIŢA,"CĂMINUL CULTURAL",219,VLĂDENI,94795,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:46:34",848,842,0,0,6,536,530,0,0,6,513,23,934,398,76,24,377,2,21,9,3,1
23,IALOMIŢA,"CĂMINUL CULTURAL COSÂMBEŞTI",132,COSÂMBEŞTI,93236,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:30:22",817,782,1,16,18,524,489,1,16,18,510,14,872,348,181,50,221,7,21,2,20,8
23,IALOMIŢA,"CAMINUL CULTURAL COSERENI",134,COŞERENI,102240,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:49:45",1252,1223,1,18,10,848,820,0,18,10,818,30,1360,512,229,58,327,3,47,114,33,7
23,IALOMIŢA,"CĂMINUL CULTURAL DRĂGOEŞTI",137,DRĂGOEŞTI,102641,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:39:28",768,693,0,50,25,582,507,0,50,25,550,32,789,207,8,71,420,1,12,4,32,2
23,IALOMIŢA,"CĂMINUL CULTURAL MALU,SALONUL DE NUNŢI SITUATĂ ÎN MALU",208,"SFÂNTU GHEORGHE",94456,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:31:26",844,839,2,2,1,573,569,1,2,1,560,13,919,346,234,33,200,5,19,7,61,1
23,IALOMIŢA,"CĂMINUL CULTURAL SAT LILIECI",210,SINEŞTI,105026,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:37:32",891,875,2,14,0,476,462,0,14,0,464,12,951,475,45,71,289,4,35,6,14,0
23,IALOMIŢA,"CĂMINUL CULTURAL SITUATĂ ÎN SATUL SINEŞTI, SINEŞTI",209,SINEŞTI,105026,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:55:13",1302,1273,0,29,0,824,795,0,29,0,797,27,1400,576,59,55,614,2,23,3,41,0
23,IALOMIŢA,"CASA DE CULTURĂ",62,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:38:43",1123,1114,0,9,0,564,555,0,9,0,545,19,1250,686,152,28,209,5,55,11,79,6
23,IALOMIŢA,"CASA MUNICIPALĂ DE CULTURĂ „NICOLAE ROTARU”",13,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:41:00",1295,1288,2,4,1,494,489,0,4,1,475,19,1458,964,100,55,209,7,22,20,44,18
23,IALOMIŢA,"CENTRUL COMUNITAR MULTIFUNCȚIONAL VALEA CIORII",216,"VALEA CIORII",94688,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:36:53",1467,1403,0,15,49,1015,951,0,15,49,977,38,1536,521,254,42,591,1,19,3,64,3
23,IALOMIŢA,"CENTRUL DE EDUCAȚIE NON-FORMALĂ",10,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:11:54",1370,1365,1,4,0,614,610,0,4,0,579,35,1550,929,124,60,296,13,12,0,35,39
23,IALOMIŢA,"CENTRUL SOCIAL AL PAROHIEI FETEȘTI GARĂ II",55,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:25:38",1273,1268,0,5,0,429,424,0,5,0,409,20,1400,971,42,35,273,1,17,18,22,1
23,IALOMIŢA,"CENTRU SOCIAL DE ZI VIITORUL",207,"SFÂNTU GHEORGHE",94456,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:58:52",605,584,1,6,14,434,413,1,6,14,425,9,660,226,148,37,190,3,19,2,21,5
23,IALOMIŢA,"CLUBUL SINDICATELOR",65,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 15:35:40",1541,1529,0,11,1,740,728,0,11,1,700,36,1700,960,171,53,280,4,87,7,93,5
23,IALOMIŢA,"COLEGIUL NAȚIONAL „MIHAI VITEAZUL” (FOST LICEU DE MATEMATICĂ-FIZICĂ)",5,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:20:50",1131,1125,0,6,0,499,493,0,6,0,487,12,1257,758,116,42,229,11,12,25,30,22
23,IALOMIŢA,"CONTAINER MODULAR(TEREN FOSTA GRĂDINIŢĂ COPUZU)",104,BALACIU,92907,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:10:17",224,222,0,2,0,124,122,0,2,0,109,15,250,126,23,24,36,1,4,5,15,1
23,IALOMIŢA,"CONTAINER(SITUAT IN CURTEA GRĂDINIȚEI CU PROGRAM NORMAL MARSILIENI)",92,ALBEŞTI,92783,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:14:43",409,387,0,4,18,281,259,0,4,18,259,22,450,169,20,20,204,2,6,0,7,0
23,IALOMIŢA,"DIRECȚIA PENTRU AGRICULTURĂ JUDEȚEANĂ IALOMIȚA",11,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:19:26",933,927,0,6,0,364,358,0,6,0,353,11,1050,685,90,27,191,3,11,10,10,11
23,IALOMIŢA,"FOSTA GRĂDINIȚĂ CU PROGRAM NORMAL FUNDATA",186,PERIEŢI,94161,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:37:31",401,393,0,7,1,219,211,0,7,1,215,4,430,211,65,30,85,6,7,3,14,5
23,IALOMIŢA,"FOSTĂ ȘCOALA GIMNAZIALĂ”MIHAI VITEAZUL” - LOCAL BULIGA",34,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:15:51",864,858,1,5,0,369,364,0,5,0,354,15,950,581,25,23,271,1,20,4,9,1
23,IALOMIŢA,"FOSTA ŞCOALA NR. 1",88,"ORAŞ ŢĂNDĂREI",92765,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:40:14",1098,1095,0,3,0,270,267,0,3,0,236,34,1228,958,17,9,187,1,3,8,11,0
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL BORDUȘELU",123,CIOCHINA,93101,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:05:44",611,556,0,55,0,485,430,0,55,0,463,22,600,115,259,10,182,1,2,6,2,1
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL FRUMUȘICA",100,AXINTELE,100923,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:20:44",759,748,0,8,3,478,470,0,8,0,438,40,830,352,99,84,191,2,7,5,46,4
23,IALOMIŢA,"GRADINIȚA CU PROGRAM NORMAL GIMBĂŞANI",133,COSÂMBEŞTI,93236,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:40:13",734,713,1,9,11,497,477,0,9,11,485,12,800,303,207,28,138,4,11,8,84,5
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL IAZU",206,SCÂNTEIA,94429,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:36:00",793,787,0,6,0,390,384,0,6,0,375,15,868,478,34,38,195,1,6,49,49,3
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL OREZU",124,CIOCHINA,93101,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:38:41",600,587,0,11,2,408,395,0,11,2,361,28,652,263,182,30,117,0,13,13,6,0
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL PROGRESU",145,FĂCĂENI,93575,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:30:05",501,491,0,8,2,230,220,0,8,2,223,7,567,337,9,93,87,1,10,2,19,2
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL SMIRNA",158,GRIVIŢA,93735,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:49:48",752,717,0,9,26,490,455,0,9,26,436,19,775,314,154,29,214,3,13,3,16,4
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM NORMAL TRAIAN",214,TRAIAN,179702,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:58:15",1214,1151,0,10,53,835,775,0,10,50,796,39,1300,465,388,23,367,0,10,1,5,2
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT",59,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:42:25",639,631,0,8,0,327,319,0,8,0,318,9,750,423,66,31,133,2,28,4,50,4
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ALBĂ CA ZĂPADA”",47,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:13:54",1020,1011,0,8,1,413,404,0,8,1,394,19,1100,687,35,41,261,4,16,14,19,4
