precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"HARPA DANIEL-VASILICĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","LAZĂR GEORGE-PARTIDUL NAȚIONAL LIBERAL-voturi","LAVRIC SORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MELINTE LUCIA-ROMÂNIA SOCIALISTĂ-voturi","CUCU RALUCA-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","APOSTOL MARIA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","NEGURIŢĂ CLAUDIU-ŞTEFAN-PARTIDUL S.O.S. ROMÂNIA-voturi"
29,NEAMŢ,"ANEXĂ ȘCOALA NEGREȘTI",183,BIRA,121386,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:36:21",154,148,0,6,0,89,83,0,6,0,88,1,200,111,21,57,5,0,0,3,2
29,NEAMŢ,"BIBLIOTECA COMUNALA FAUREI",277,FĂUREI,122613,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:34:59",210,201,0,6,3,210,201,0,6,3,125,7,300,168,24,45,2,0,0,49,5
29,NEAMŢ,"CAMIN CULTURAL",174,BICAZ-CHEI,121297,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:11:58",1091,1073,1,6,11,593,576,0,6,11,569,24,1200,607,215,283,43,0,4,7,17
29,NEAMŢ,"CAMIN CULTURAL",322,"ION CREANGĂ",123102,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:18:23",802,787,0,5,10,483,468,0,5,10,465,18,900,417,332,78,29,4,1,5,16
29,NEAMŢ,"CAMIN CULTURAL",311,HORIA,120922,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:00:16",1741,1731,1,1,8,779,770,0,1,8,741,38,1900,1121,215,211,159,7,11,112,26
29,NEAMŢ,"CAMIN CULTURAL",442,TAŞCA,124563,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:46:56",1359,1337,1,5,16,757,736,0,5,16,727,30,1500,743,190,309,142,7,2,41,36
29,NEAMŢ,"”CĂMIN CULTURAL”",206,BORLEŞTI,121732,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:30:28",244,237,0,7,0,96,89,0,7,0,93,3,300,204,40,37,7,0,0,7,2
29,NEAMŢ,"CĂMIN CULTURAL",325,"ION CREANGĂ",123102,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:35:25",658,646,0,7,5,374,362,0,7,5,358,16,700,326,165,153,22,2,0,11,5
29,NEAMŢ,"CĂMIN CULTURAL",178,"BICAZU ARDELEAN",121340,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:15:10",1286,1259,2,4,21,625,599,1,4,21,605,20,1400,775,96,351,79,1,2,53,23
29,NEAMŢ,"CĂMIN CULTURAL",324,"ION CREANGĂ",123102,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:54:49",685,655,0,10,20,394,364,0,10,20,378,16,700,306,178,159,23,0,2,6,10
29,NEAMŢ,"CĂMIN CULTURAL NOU ȘI BIBLIOTECĂ",320,"ION CREANGĂ",123102,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:13:22",956,947,0,1,8,571,562,0,1,8,546,25,1100,529,189,281,50,2,1,7,16
29,NEAMŢ,"CĂMIN CULTURAL NOU ȘI BIBLIOTECĂ",321,"ION CREANGĂ",123102,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:05:51",1166,1149,0,3,14,648,631,0,3,14,612,36,1300,652,202,312,44,4,4,16,30
29,NEAMŢ,"CĂMIN CULTURAL SABASA",201,BORCA,121652,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:57:39",951,948,0,2,1,595,592,0,2,1,568,27,1000,405,351,136,59,2,0,8,12
29,NEAMŢ,"CAMIN CULTURAL VALEA URSULUI",473,"VALEA URSULUI",124885,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:59:20",745,739,0,5,1,389,383,0,5,1,370,19,800,411,23,304,26,2,1,3,11
29,NEAMŢ,"CAMINUL CULTURAL",448,TĂMĂŞENI,124634,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:58:55",1046,1038,0,8,0,380,372,0,8,0,360,20,1100,720,59,158,16,2,4,113,8
29,NEAMŢ,"CAMINUL CULTURAL",445,TAZLĂU,124616,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:50:53",1187,1147,2,5,33,673,633,2,5,33,632,41,1300,627,232,303,33,9,2,27,26
29,NEAMŢ,"CĂMINUL CULTURAL",423,SECUIENI,124233,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:22:51",857,849,1,3,4,455,448,0,3,4,433,22,900,445,258,76,44,14,10,16,15
29,NEAMŢ,"CĂMINUL CULTURAL",421,SECUIENI,124233,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:05:45",737,725,0,4,8,393,381,0,4,8,368,25,800,407,139,123,59,4,8,15,20
