precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIHĂESCU MUGUR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","OPRESCU MARIUS-PARTIDUL SOCIAL DEMOCRAT-voturi","OPROIU IONEL-EMANUEL-PARTIDUL NAȚIONAL LIBERAL-voturi","ŢIU MIHAI-ADRIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","DOAGĂ MARIAN-EMANUEL-ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi"
30,OLT,"BIBLIOTECA COMUNALĂ",365,"VIŞINA NOUĂ",130375,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:34:13",1482,1365,1,20,96,917,800,1,20,96,903,14,1503,586,67,730,64,12,30
30,OLT,"CAMIN C ULTURAL",320,STREJEŞTI,129139,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:21:02",420,395,4,18,3,307,286,0,18,3,300,7,435,128,30,78,172,11,9
30,OLT,"CAMIN CULTURAL",151,CEZIENI,126102,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:01:25",177,171,0,3,3,115,109,0,3,3,112,3,187,72,8,68,26,9,1
30,OLT,"CĂMIN CULTURAL",283,RADOMIREŞTI,128472,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:11:07",976,946,0,10,20,541,511,0,10,20,493,22,1040,525,52,306,110,13,12
30,OLT,"CĂMIN CULTURAL",222,"GURA PADINII",130339,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:52:02",1451,1360,0,10,81,939,848,0,10,81,894,45,1491,552,55,700,101,18,20
30,OLT,"CĂMIN CULTURAL",276,PERIEŢI,128052,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:08:05",1666,1601,0,48,17,1081,1016,0,48,17,997,84,1745,664,110,539,256,36,56
30,OLT,"CĂMIN CULTURAL COMĂNIȚA",334,TESLUI,129380,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:51:17",734,687,0,24,23,512,465,0,24,23,492,20,784,272,50,344,76,16,6
30,OLT,"CAMIN CULTURAL LELEASCA",238,LELEASCA,127411,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:56:20",413,382,0,28,3,275,244,0,28,3,259,16,440,165,21,105,122,9,2
30,OLT,"CAMIN CULTURAL STUDINA",322,STUDINA,129184,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:50:49",1243,1170,1,24,48,801,728,1,24,48,755,46,1340,539,72,132,520,16,15
30,OLT,"CAMIN CULTURAL STUDINIȚA",323,STUDINA,129184,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:55:02",910,872,0,11,27,544,506,0,11,27,504,40,983,439,78,70,327,18,11
30,OLT,"CAMINUL CULTURAL",349,"VALEA MARE",129656,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:53:49",694,668,0,23,3,389,363,0,23,3,355,34,730,341,87,182,75,6,5
30,OLT,"CAMINUL CULTURAL",176,DĂNEASA,126585,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:38:44",422,401,0,13,8,266,245,0,13,8,248,18,465,199,31,158,18,8,33
30,OLT,"CĂMINUL CULTURAL",285,RADOMIREŞTI,128472,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:17:34",269,255,0,5,9,269,255,0,5,9,253,16,539,270,23,179,36,8,7
30,OLT,"CĂMINUL CULTURAL",180,DEVESELU,126647,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:08:12",1001,923,1,15,62,734,657,0,15,62,690,44,1084,350,161,341,149,28,11
30,OLT,"CĂMINUL CULTURAL",136,BOBICEŞTI,125873,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:21:22",1240,1212,1,8,19,700,673,0,8,19,685,15,1365,665,105,485,42,31,22
30,OLT,"CĂMINUL CULTURAL",266,ORLEA,127938,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:32:32",1275,1224,0,8,43,838,787,0,8,43,813,23,1345,507,103,508,165,20,17
30,OLT,"CĂMINUL CULTURAL",328,"ŞTEFAN CEL MARE",129282,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:07:01",941,799,1,91,50,724,583,0,91,50,696,28,940,216,34,232,404,8,18
30,OLT,"CĂMINUL CULTURAL",353,VĂDĂSTRIŢA,129745,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:40:51",1098,1058,0,31,9,756,716,0,31,9,685,71,1156,400,130,180,222,46,107
30,OLT,"CĂMINUL CULTURAL",145,BUCINIŞU,126077,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:13:44",1728,1513,0,162,53,1374,1159,0,162,53,1292,82,1700,326,173,566,500,33,20
30,OLT,"CĂMINUL CULTURAL",354,VĂDĂSTRIŢA,129745,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:41:02",1452,1423,0,14,15,1031,1002,0,14,15,950,81,1585,554,159,290,257,53,191
30,OLT,"CĂMINUL CULTURAL",352,VĂDASTRA,129718,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:23:49",1084,1016,1,32,35,809,742,0,32,35,765,44,1152,343,58,567,96,21,23
30,OLT,"CĂMINUL CULTURAL",267,ORLEA,127938,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:21:34",537,518,1,1,17,380,361,1,1,17,380,0,570,190,21,256,89,9,5
30,OLT,"CĂMINUL CULTURAL",178,DEVESELU,126647,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:05:57",1495,1354,0,70,71,994,853,0,70,71,944,48,1490,440,169,440,280,27,28
