precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DUMITRESCU IULIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","AXINIA ADRIAN-GEORGE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NANU VIRGILIU-DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","IONESCU GEORGE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PETRACHE ADRIAN-ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","NĂSULEA GHEORGHE-PARTIDUL S.O.S. ROMÂNIA-voturi","NEAGU MIHAI-CRISTIAN-ALIANȚA MIȘCAREA, NOI PLOIEȘTENII - REPER-voturi","MUŞUROIA GABRIEL-MIHAIL-PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi"
31,PRAHOVA,"AGENŢIA PENTRU PROTECŢIA MEDIULUI PRAHOVA",110,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:00:53",1072,1067,3,2,0,476,474,0,2,0,452,24,1200,724,63,51,146,80,4,17,45,46
31,PRAHOVA,"ANEXA LICEULUI TEHNOLOGIC DE TRANSPORTURI (ANEXA GRUP SCOLAR INDUSTRIAL TRANSPORTURI (FOST LICEUL AUTO))",25,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:58:25",1570,1563,0,7,0,636,629,0,7,0,600,36,1700,1064,107,53,147,108,7,31,85,62
31,PRAHOVA,"ANEXA PRIMARIE SAT OLOGENI",513,"POIENARII BURCHII",134559,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:33:31",1072,1046,0,7,19,747,721,0,7,19,690,57,1200,453,90,88,398,43,7,48,9,7
31,PRAHOVA,"ANEXA ŞCOLII GIMNAZIALE ”SFÂNTA VINERI”",14,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:13:56",891,882,0,9,0,382,373,0,9,0,361,21,1000,618,65,39,131,55,7,11,34,19
31,PRAHOVA,"BAZA SPORTIVĂ STREJNICU",577,"TÂRGŞORU VECHI",130892,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:07:12",1877,1863,2,8,4,1009,997,0,8,4,967,42,2008,999,188,80,380,160,13,50,34,62
31,PRAHOVA,"BIBLIOTECA COMUNALĂ COSMINELE",390,COSMINELE,132841,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:54:02",822,796,0,24,2,618,592,0,24,2,589,28,867,250,320,66,150,24,4,18,3,4
31,PRAHOVA,"BIBLIOTECA ”DIMITRIE GUSTI” COMUNA POIANA-CĂMPINA",508,"POIANA CÂMPINA",131274,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:52:55",590,586,1,3,0,356,353,0,3,0,336,20,714,358,182,28,81,23,2,10,5,5
31,PRAHOVA,"BLOCUL 24B PARTER",40,"MUNICIPIUL PLOIEŞTI",130534,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:05:51",1247,1239,0,8,0,510,502,0,8,0,488,17,1400,878,64,50,150,81,8,24,60,51
31,PRAHOVA,"CABANA DE VANATOARE",607,"VALEA CĂLUGĂREASCĂ",135949,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:06:48",92,83,0,9,0,45,36,0,9,0,41,4,100,55,21,4,11,1,1,2,0,1
31,PRAHOVA,"CAMIN CULTURAL",575,TĂTARU,135681,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:40:17",288,263,0,3,22,235,210,0,3,22,225,10,296,61,25,14,163,16,1,2,4,0
