precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"KUTTESCH PAUL-FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","SAVA AUGUSTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CÎMPEAN DANIELA-PARTIDUL NAȚIONAL LIBERAL-voturi","TRIF BOGDAN-GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","TRANCĂ LUCIAN-LIVIU-PARTIDUL PATRIOȚILOR-voturi","ECHERT ADRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","GLIGOR IOAN-PARTIDUL ECOLOGIST ROMÂN-voturi","DRAGOŞ PATRICHE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
34,SIBIU,"AUTOGARA MEDIAŞ",126,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:37:09",1170,1154,3,9,4,459,446,0,9,4,440,19,1250,791,25,26,112,73,115,65,19,5
34,SIBIU,"CAMIN CULTURAL",198,"ORAŞ MIERCUREA SIBIULUI",144928,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:38:58",667,652,6,8,1,297,287,1,8,1,266,31,720,423,5,94,115,41,3,6,2,0
34,SIBIU,"CAMIN CULTURAL",197,"ORAŞ MIERCUREA SIBIULUI",144928,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:51:54",1517,1464,5,37,11,490,442,0,37,11,452,34,1610,1120,36,51,244,97,11,6,5,2
34,SIBIU,"CĂMIN CULTURAL",248,BLĂJEL,144303,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:59:15",1442,1409,6,6,21,859,832,0,6,21,789,70,1580,721,13,53,398,260,22,28,9,6
34,SIBIU,"CĂMIN CULTURAL",234,"AXENTE SEVER",144116,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:02:07",1167,1148,2,8,9,519,502,0,8,9,507,12,1290,771,17,68,240,134,8,35,5,0
34,SIBIU,"CĂMIN CULTURAL",368,"ŞURA MARE",145765,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:08:34",775,764,4,5,2,441,433,1,5,2,424,17,840,399,20,31,213,103,3,29,20,5
34,SIBIU,"CĂMIN CULTURAL",235,"AXENTE SEVER",144116,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:45:26",137,123,2,12,0,137,123,2,12,0,132,5,310,173,1,4,104,19,2,2,0,0
34,SIBIU,"CĂMIN CULTURAL ACILIU",205,"ORAŞ SĂLIŞTE",145499,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:47:22",195,178,0,17,0,112,95,0,17,0,110,2,190,78,3,7,56,35,1,5,3,0
34,SIBIU,"CĂMIN CULTURAL ALĂMOR",291,LOAMNEŞ,144795,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:54:10",611,595,0,7,9,379,363,0,7,9,360,19,650,271,4,16,82,233,0,23,2,0
34,SIBIU,"CĂMIN CULTURAL ARPAȘU DE JOS",227,"ARPAŞU DE JOS",143959,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:15:46",921,911,2,8,0,595,587,0,8,0,556,39,1000,405,6,32,87,359,36,9,26,1
