precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŢOLE MARIN-PARTIDUL NAȚIONAL LIBERAL-voturi","GÂDEA ADRIAN-IONUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","FLOREA GABRIEL-FLORINEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","STĂVĂRACHE COSTEL-CONSTANTIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MARDALE GEORGE-CĂTĂLIN-PARTIDUL S.O.S. ROMÂNIA-voturi"
36,TELEORMAN,"CĂMIN CULTURAL",115,BRÂNCENI,152252,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:56:20",1223,1155,1,16,51,901,834,0,16,51,769,65,1338,504,61,544,121,20,23
36,TELEORMAN,"CĂMIN CULTURAL",121,BUZESCU,152332,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:32:48",1208,1074,1,81,52,774,641,0,81,52,741,33,1240,466,182,481,52,10,16
36,TELEORMAN,"CĂMIN CULTURAL",256,RĂDOIEŞTI,153865,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:30:31",474,442,0,6,26,282,250,0,6,26,282,0,510,227,50,227,3,2,0
36,TELEORMAN,"CĂMIN CULTURAL",147,CRÂNGENI,152617,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:33:15",1113,1067,0,1,45,591,552,0,1,38,542,49,1180,589,254,185,29,42,32
36,TELEORMAN,"CĂMIN CULTURAL",141,CIUPERCENI,151709,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:01:57",755,681,0,39,35,509,435,0,39,35,504,5,790,281,83,385,18,11,7
36,TELEORMAN,"CĂMIN CULTURAL",300,TALPA,154521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:53:43",689,532,0,82,75,617,460,0,82,75,605,12,670,53,365,240,0,0,0
36,TELEORMAN,"CĂMIN CULTURAL CONŢEŞTI",144,CONŢEŞTI,152564,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:15:53",1165,1096,0,11,58,802,733,0,11,58,770,21,1270,468,55,652,42,4,17
36,TELEORMAN,"CĂMIN CULTURAL CUCUEŢI",272,SCRIOAŞTEA,154013,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:52:22",701,645,0,32,24,514,458,0,32,24,507,7,700,186,6,459,19,14,9
36,TELEORMAN,"CĂMIN CULTURAL SAT PURANI",331,VITĂNEŞTI,153776,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:38:03",567,519,1,13,34,337,290,0,13,34,320,17,605,268,25,216,52,9,18
36,TELEORMAN,"CĂMIN CULTURAL SAT SILIŞTEA",332,VITĂNEŞTI,153776,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:09:28",663,560,1,29,73,416,314,0,29,73,416,0,695,279,21,389,6,0,0
