precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
1,ALBA,"CĂMIN CULTURAL, SAT IZVORUL AMPOIULUI",178,"ORAŞ ZLATNA",1936,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:07:38",389,380,1,7,1,219,211,0,7,1,210,9,465,246,143,34,33
1,ALBA,"CĂMIN CULTURAL, SAT VÂLTORI",183,"ORAŞ ZLATNA",1936,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:18:24",164,155,0,9,0,95,86,0,9,0,92,3,215,120,69,14,9
1,ALBA,"LICEUL ”CORNELIU MEDREA” ZLATNA",175,"ORAŞ ZLATNA",1936,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:51:48",1291,1277,3,9,2,641,630,0,9,2,627,14,1446,805,423,75,129
1,ALBA,"ŞCOALA GIMNAZIALĂ „ AVRAM IANCU” ZLATNA",173,"ORAŞ ZLATNA",1936,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:22:08",1171,1154,1,11,5,618,602,0,11,5,596,22,1322,704,396,92,108
1,ALBA,"ŞCOALA GIMNAZIALĂ „ AVRAM IANCU” ZLATNA",174,"ORAŞ ZLATNA",1936,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:20:51",968,957,0,5,6,539,528,0,5,6,528,11,1090,551,341,61,126
1,ALBA,"ŞCOALA GIMNAZIALĂ ” SAVA ALBESCU ” SAT FENEŞ",176,"ORAŞ ZLATNA",1936,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:06:15",726,698,0,8,20,544,516,0,8,20,534,10,844,300,365,31,138
1,ALBA,"ŞCOALA PRIMARĂ , SAT GALAŢI",177,"ORAŞ ZLATNA",1936,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:14:00",287,275,0,7,5,162,150,0,7,5,160,2,356,194,120,16,24
1,ALBA,"ŞCOALA PRIMARĂ , SAT PĂTRÂNGENI",179,"ORAŞ ZLATNA",1936,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:58:17",492,483,0,5,4,271,262,0,5,4,265,6,586,315,180,22,63
1,ALBA,"ŞCOALA PRIMARĂ , SAT PIRITA",180,"ORAŞ ZLATNA",1936,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:50:57",377,365,0,9,3,227,215,0,9,3,222,5,453,226,164,23,35
1,ALBA,"ŞCOALA PRIMARĂ , SAT TRÂMPOIELE",181,"ORAŞ ZLATNA",1936,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:38:42",310,290,1,7,12,210,191,0,7,12,205,5,377,167,127,71,7
1,ALBA,"ŞCOALA PRIMARĂ , SAT VALEA MICĂ",182,"ORAŞ ZLATNA",1936,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:39:41",336,323,1,7,5,240,228,0,7,5,234,6,407,167,130,85,19
