precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
3,ARGEŞ,"BIBLIOTECA JUDEŢEANĂ ARGEŞ ”DINICU GOLESCU”",1,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:39:45",1207,1199,4,4,0,432,428,0,4,0,421,10,1300,868,150,45,123,12,14,77
3,ARGEŞ,"COLEGIUL ECONOMIC ”MARIA TEIULEANU”",2,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:14:59",1074,1024,42,8,0,465,457,0,8,0,449,16,1200,735,162,53,125,7,9,93
3,ARGEŞ,"COLEGIUL ECONOMIC ”MARIA TEIULEANU” (FOST LICEUL TEHNOLOGIC „ION MINCU”)",4,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:59:34",1404,1392,1,11,0,653,642,0,11,0,611,32,1602,159,221,85,149,12,15,129
3,ARGEŞ,"COLEGIUL NAŢIONAL ”ALEXANDRU ODOBESCU”",73,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:33:00",1508,1502,0,6,0,565,559,0,6,0,548,17,1700,1135,210,70,139,3,35,91
3,ARGEŞ,"COLEGIUL NAŢIONAL ”ALEXANDRU ODOBESCU”",72,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:40:24",2200,2188,5,6,1,948,941,0,6,1,921,27,2300,1352,338,95,228,29,25,206
3,ARGEŞ,"COLEGIUL NAŢIONAL ”ION C. BRĂTIANU”",17,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:41:04",838,822,9,6,1,364,357,0,6,1,351,13,1000,636,87,33,145,6,13,67
3,ARGEŞ,"COLEGIUL TEHNIC ” ARMAND CĂLINESCU”",46,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:05:20",1276,1260,8,8,0,531,523,0,8,0,516,15,1500,969,164,60,166,5,10,111
3,ARGEŞ,"COLEGIUL TEHNIC ” ARMAND CĂLINESCU”",45,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:26:09",698,664,19,12,3,314,299,0,12,3,301,12,800,487,105,30,80,11,5,70
3,ARGEŞ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",63,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:51:54",1472,1466,0,6,0,516,510,0,6,0,495,21,1700,1184,177,79,121,12,21,85
3,ARGEŞ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",64,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:47:47",1749,1744,1,4,0,742,738,0,4,0,712,30,2000,1258,246,109,159,11,17,170
3,ARGEŞ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",65,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:11:17",1496,1489,1,6,0,596,590,0,6,0,576,19,1700,1105,243,75,118,17,17,106
