precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
3,ARGEŞ,"LICEUL TEORETIC ”ION MIHALACHE’’ TOPOLOVENI",180,"ORAŞ TOPOLOVENI",13757,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:36:42",902,891,2,9,0,473,464,0,9,0,468,5,1000,527,99,76,236,57
3,ARGEŞ,"LICEUL TEORETIC ”ION MIHALACHE’’ TOPOLOVENI",181,"ORAŞ TOPOLOVENI",13757,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:19:55",875,860,3,11,1,505,504,0,0,1,490,15,1000,457,106,62,269,53
3,ARGEŞ,"MUZEU ORĂȘENESC",182,"ORAŞ TOPOLOVENI",13757,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:50:37",680,673,1,6,0,391,385,0,6,0,372,19,800,409,60,53,231,28
3,ARGEŞ,"ŞCOALA GENERALĂ ŢIGĂNEŞTI - CENTRU",188,"ORAŞ TOPOLOVENI",13757,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:02:21",657,649,0,8,0,383,375,0,8,0,366,17,700,317,49,30,247,40
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ” NICOLAE CRISTESCU” SALA DE SPORT",185,"ORAŞ TOPOLOVENI",13757,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:08:56",1071,1064,1,6,0,601,595,0,6,0,590,10,1096,496,133,71,305,81
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”NICOLAE CRISTESCU” TOPOLOVENI",184,"ORAŞ TOPOLOVENI",13757,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:02:27",889,887,0,2,0,442,440,0,2,0,432,10,1011,569,127,33,208,64
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”NICOLAE CRISTESCU” TOPOLOVENI",183,"ORAŞ TOPOLOVENI",13757,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:27:18",864,848,5,8,3,497,486,0,8,3,489,8,876,379,82,62,291,54
3,ARGEŞ,"ŞCOALA PRIMARĂ GOLEŞTII-BADII",179,"ORAŞ TOPOLOVENI",13757,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:47:32",819,815,1,3,0,464,460,1,3,0,454,10,900,436,86,46,281,41
3,ARGEŞ,"ŞCOALA PRIMARĂ INURI",186,"ORAŞ TOPOLOVENI",13757,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:04:39",261,253,2,5,1,181,175,0,5,1,174,7,300,119,31,7,121,15
3,ARGEŞ,"ŞCOALA PRIMARĂ ŢIGĂNEŞTI- LINIE",187,"ORAŞ TOPOLOVENI",13757,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:44:56",613,607,0,6,0,405,399,0,6,0,395,10,700,295,58,45,265,27
