precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA SÂRBILOR DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
2,ARAD,"AGENȚIA NAȚIONALĂ DE ADMINISTRARE FISCALĂ, FOSTA DIRECȚIE VAMALĂ",74,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:23:13",1023,993,21,9,0,353,344,0,9,0,342,11,1180,827,52,33,2,91,53,18,16,67,10
2,ARAD,"AGENȚIA NAȚIONALĂ DE ADMINISTRARE FISCALĂ, FOSTA DIRECȚIE VAMALĂ",75,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:55:02",1372,1227,139,6,0,465,459,0,6,0,456,9,1420,955,51,38,13,85,109,17,10,122,11
2,ARAD,"CÂMPUL ALBINELOR",115,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:28:49",169,161,0,8,0,85,77,0,8,0,78,7,195,110,20,3,0,15,22,10,2,4,2
2,ARAD,"CÂMPUL DUMBRAVA ROŞIE",114,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:01:38",99,87,3,9,0,37,28,0,9,0,35,2,110,73,10,1,0,4,9,4,0,5,2
2,ARAD,"CENTRU PENTRU ACORDAREA AJUTOARELOR BĂNEŞTI PENTRU ÎNCĂLZIREA LOCUINŢELOR",78,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:26:02",1433,1381,38,12,2,438,424,0,12,2,417,21,1620,1182,66,31,5,84,101,27,19,71,13
2,ARAD,"COLEGIUL „CSIKY GERGELY”",93,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:32:12",1064,1040,9,10,5,361,346,0,10,5,347,14,1180,819,46,69,6,62,63,17,20,63,1
2,ARAD,"COLEGIUL DE ARTE „SABIN DRĂGOI”",9,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:30:16",914,903,4,7,0,374,366,1,7,0,366,8,1010,636,31,32,6,78,96,7,23,85,8
2,ARAD,"COLEGIUL DE ARTE „SABIN DRĂGOI”",10,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:57:27",1154,1105,28,18,3,458,436,1,18,3,445,13,1250,792,56,40,8,107,82,22,15,105,10
2,ARAD,"COLEGIUL ECONOMIC ARAD - (SALA DE CLASĂ B22)",1,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:43:09",1522,1489,22,7,4,348,335,2,7,4,345,3,860,512,48,33,0,88,60,18,7,82,9
2,ARAD,"COLEGIUL NAŢIONAL „VASILE GOLDIŞ”",8,"MUNICIPIUL ARAD",9262,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:22:32",2097,1835,204,22,36,784,725,1,22,36,764,20,2110,1326,101,73,18,147,179,20,22,194,10
