precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL SOCIAL DEMOCRAT UNIT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","BLOCUL SUVERANIST ROMÂN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","GHEORGHE ŞTEFAN-voturi"
48,"Sector 5","CLUBUL COPIILOR SECTOR 5",927,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:24:26",1269,1264,3,2,0,566,564,0,2,0,557,9,1400,834,173,52,16,132,2,150,1,4,6,11,10
48,"Sector 5","CLUBUL COPIILOR SECTOR 5",926,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:53:03",1229,1216,6,7,0,599,592,0,7,0,581,18,1400,801,190,59,29,123,2,137,10,1,1,14,15
48,"Sector 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",957,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:47:06",852,802,49,1,0,311,311,0,0,0,298,13,900,588,86,23,17,115,2,33,4,1,1,7,9
48,"Sector 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",956,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:33:30",630,614,11,5,0,299,294,0,5,0,289,9,700,402,79,24,21,124,4,20,2,0,2,6,7
48,"Sector 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",960,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 20:36:58",589,566,1,7,15,220,197,1,7,15,212,8,800,580,64,22,23,75,0,15,2,1,1,5,4
48,"Sector 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",959,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:47:11",727,692,24,11,0,304,292,1,11,0,293,11,800,496,77,24,28,118,4,25,3,0,1,8,5
48,"Sector 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",958,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:37:00",442,421,18,2,1,155,152,0,2,1,141,14,600,445,47,14,9,43,3,15,2,1,0,2,5
48,"Sector 5","COLEGIUL TEHNIC ENERGETIC",864,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 16:58:33",1327,1301,19,7,0,582,575,0,7,0,560,22,1400,818,170,71,17,107,3,148,6,4,2,13,19
48,"Sector 5","COLEGIUL TEHNIC ENERGETIC",865,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:14:24",1009,1002,2,5,0,432,427,0,5,0,416,16,1100,668,111,50,17,76,5,116,10,1,1,17,12
48,"Sector 5","COLEGIUL TEHNIC ENERGETIC",866,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:36:17",1142,1039,95,8,0,435,427,0,8,0,420,15,1100,665,107,51,13,99,4,111,3,0,2,19,11
48,"Sector 5","COLEGIUL TEHNIC ENERGETIC",863,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 09:06:46",1198,1181,8,8,1,495,486,0,8,1,472,23,1300,805,130,56,25,95,3,127,8,1,5,13,9
48,"Sector 5","FACULTATEA DE DREPT",953,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 04:46:22",654,622,7,24,1,310,284,1,24,1,300,6,800,494,94,30,26,118,1,19,0,1,1,1,9
