precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-voturi","PARTIDUL VERDE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE-voturi","CHIRILESCU DORIN-voturi","LUNCANU CLARA-voturi"
4,BACĂU,"ADMINISTRAȚIA FINANȚELOR PUBLICE BACĂU",21,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:33:03",953,942,1,10,0,381,371,0,10,0,365,16,1000,619,33,121,3,30,103,12,8,13,13,20,9
4,BACĂU,"BAZINUL OLIMPIC BACĂU",103,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:58:40",1533,1525,0,8,0,233,225,0,8,0,222,11,1700,1467,39,67,3,18,48,2,5,30,4,3,3
4,BACĂU,"BAZINUL OLIMPIC BACĂU",102,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:19:40",1785,1778,0,7,0,348,341,0,7,0,341,7,2000,1652,46,99,3,37,70,10,8,49,6,6,7
4,BACĂU,"CASA NATIONALA DE ASIGURĂRI DE SĂNĂTATE BACĂU",104,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:43:55",1693,1686,2,5,0,303,298,0,5,0,292,11,1908,1605,38,96,5,19,64,6,8,31,16,3,6
4,BACĂU,"CASA NATIONALĂ DE ASIGURĂRI DE SĂNĂTATE BACĂU",105,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:42:57",1241,1234,2,5,0,267,262,0,5,0,256,11,1400,1133,28,91,1,17,60,11,4,23,8,8,5
4,BACĂU,"CENTRUL DE ZI ”CLUBUL PENSIONARILOR” BACĂU",106,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 12:04:05",1350,1253,0,32,65,588,491,0,32,65,570,18,1406,818,53,208,11,55,102,20,15,52,20,15,19
4,BACĂU,"CLĂDIRE CĂMIN (CARE A APARȚINUT FOSTULUI COLEGIU TEHNIC ”LETEA”",70,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:02:58",1508,1505,3,0,0,548,548,0,0,0,523,25,1700,1152,51,150,4,45,129,14,11,62,19,19,19
4,BACĂU,"CLĂDIRE CĂMIN (CARE A APARȚINUT FOSTULUI COLEGIU TEHNIC ”LETEA”",69,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:22:15",1727,1718,1,8,0,634,626,0,8,0,622,12,1900,1266,61,178,3,42,165,27,14,74,20,18,20
4,BACĂU,"CLĂDIRE CĂMIN (CARE A APARȚINUT FOSTULUI COLEGIU TEHNIC ”LETEA”",71,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:11:52",1604,1597,0,6,1,579,572,0,6,1,554,25,1800,1221,65,158,4,50,140,25,5,55,22,18,12
4,BACĂU,"COLEGIUL ECONOMIC ”ION GHICA”",119,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:22:14",1248,1234,7,5,2,603,596,0,5,2,593,10,1400,797,37,163,4,48,201,16,16,27,35,26,20
4,BACĂU,"COLEGIUL ECONOMIC ”ION GHICA”",120,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:11:57",1011,1002,2,7,0,310,303,0,7,0,296,14,1100,790,51,70,1,35,66,19,8,11,19,10,6
4,BACĂU,"COLEGIUL ”MIHAI EMINESCU”",44,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:43:09",1274,1247,2,16,9,439,422,1,7,9,428,11,1400,961,63,136,8,35,96,20,5,29,22,10,4
4,BACĂU,"COLEGIUL ”MIHAI EMINESCU”",43,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:51:31",1021,1014,2,5,0,412,406,1,5,0,391,21,1100,688,32,143,5,39,82,13,8,26,17,18,8
4,BACĂU,"COLEGIUL NAȚIONAL DE ARTĂ ”GEORGE APOSTU”",49,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:07:25",691,678,6,6,1,283,276,0,6,1,269,13,808,525,27,91,3,15,66,12,8,13,18,7,9
4,BACĂU,"COLEGIUL NAŢIONAL ”FERDINAND I”",26,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:05:33",919,911,0,8,0,374,366,0,8,0,357,17,1000,626,33,99,6,30,100,8,12,21,22,14,12
4,BACĂU,"COLEGIUL NAŢIONAL ”FERDINAND I”",27,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:22:11",1451,1440,6,5,0,554,549,0,5,0,532,22,1600,1046,41,181,0,47,144,13,12,32,22,24,16
4,BACĂU,"COLEGIUL NAŢIONAL ”FERDINAND I”",25,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:15:46",1074,1064,1,9,0,434,425,0,9,0,415,19,1200,766,34,118,0,50,120,15,5,21,12,19,21
4,BACĂU,"COLEGIUL NAȚIONAL ”FERDINAND I”",28,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:03:20",1161,1154,1,6,0,464,458,0,6,0,452,12,1304,840,48,134,3,43,138,15,11,26,11,17,6
4,BACĂU,"COLEGIUL NAȚIONAL ”FERDINAND I”",29,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:35:08",1497,1491,0,6,0,646,640,0,6,0,622,24,1700,1054,60,227,8,45,157,28,14,26,24,18,15
4,BACĂU,"COLEGIUL NAŢIONAL ”GHEORGHE VRÂNCEANU”",22,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:34:31",1368,1356,2,10,0,656,646,0,10,0,636,20,1513,857,51,166,6,47,217,23,17,30,19,29,31
4,BACĂU,"COLEGIUL NAŢIONAL ”GHEORGHE VRÂNCEANU”",23,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:01:40",1201,1194,2,5,0,475,470,0,5,0,461,14,1300,825,20,142,3,30,137,20,8,30,12,49,10
4,BACĂU,"COLEGIUL NAȚIONAL PEDAGOGIC ”ŞTEFAN CEL MARE”",51,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:38:28",1442,1395,15,6,26,526,494,0,6,26,503,23,1523,997,51,164,8,42,135,16,13,34,14,16,10
4,BACĂU,"COLEGIUL NAȚIONAL PEDAGOGIC ”ŞTEFAN CEL MARE”",50,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:25:16",1254,1242,3,9,0,502,493,0,9,0,489,13,1400,898,40,158,5,43,143,11,10,39,14,16,10
4,BACĂU,"COLEGIUL NATIONAL ”VASILE ALECSANDRI”",47,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:39:26",821,810,2,9,0,331,322,0,9,0,318,13,900,569,36,106,3,17,73,12,19,16,18,8,10
4,BACĂU,"COLEGIUL NATIONAL ”VASILE ALECSANDRI”",48,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:03:49",810,801,1,8,0,341,333,0,8,0,324,17,900,559,19,80,6,25,92,9,8,36,24,20,5
4,BACĂU,"COLEGIUL ”N.VASILESCU-KARPEN”",40,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:39:40",1548,1539,1,8,0,625,617,0,8,0,610,15,1704,1079,61,169,4,57,163,15,9,59,30,29,14
4,BACĂU,"COLEGIUL ”N.VASILESCU-KARPEN”",39,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:49:58",1350,1342,0,8,0,209,201,0,8,0,207,2,1508,1299,18,65,0,16,62,6,5,9,14,9,3
4,BACĂU,"COLEGIUL ”N.VASILESCU-KARPEN”",37,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:47:10",1459,1449,2,8,0,612,604,0,8,0,589,23,1600,988,54,168,16,71,140,15,9,44,36,18,18
4,BACĂU,"COLEGIUL ”N.VASILESCU-KARPEN”",38,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:38:18",1689,1681,0,8,0,627,619,0,8,0,604,23,1900,1273,63,186,4,45,161,22,15,46,28,23,11
4,BACĂU,"COLEGIUL TEHNOLOGIC ”ANGHEL SALIGNY” - CORPUL F",42,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:17:56",1246,1246,0,0,0,516,516,0,0,0,488,28,1400,99,49,149,7,51,107,30,12,32,27,13,11
4,BACĂU,"COLEGIUL TEHNOLOGIC ”ANGHEL SALIGNY” - CORPUL F",41,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:28:32",1699,1659,3,5,32,639,602,0,5,32,608,31,1800,1161,70,198,20,51,139,22,14,49,23,11,11
4,BACĂU,"DIRECŢIA PENTRU AGRICULTURĂ BACĂU",30,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:45:19",1436,1427,0,9,0,648,639,0,9,0,639,9,1600,952,54,166,3,44,190,18,21,64,27,24,28
4,BACĂU,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”CRAI NOU”",16,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:58:30",1042,1033,2,7,0,383,376,0,7,0,369,14,1124,741,46,94,0,31,130,9,8,19,12,14,6
4,BACĂU,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”CRAI NOU”",15,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:50:24",1028,1019,4,5,0,358,353,0,5,0,346,12,977,619,37,79,0,38,94,7,8,39,17,16,11
4,BACĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATĂ”",82,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:59:25",1053,1040,0,11,2,383,370,0,11,2,367,16,1200,817,45,101,3,51,97,10,7,24,12,7,10
4,BACĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATĂ”",81,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:23:25",1116,1106,1,9,0,399,390,0,9,0,378,21,1200,801,30,126,4,37,89,17,5,38,9,17,6
4,BACĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.12",46,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:17:28",951,945,0,6,0,365,359,0,6,0,353,12,1000,635,32,106,2,34,98,11,9,25,12,13,11
4,BACĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.21 (CORPUL I)",88,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:40:03",824,817,0,7,0,367,360,0,7,0,357,10,900,533,20,99,8,30,100,10,6,45,14,15,10
4,BACĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.23",111,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:30:43",1162,1154,1,7,0,419,412,0,7,0,406,13,1300,881,32,133,3,40,106,16,7,30,20,12,7
4,BACĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.23",110,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:18:22",1052,1045,0,7,0,385,378,0,7,0,370,13,1208,825,48,111,2,33,87,9,7,43,14,13,3
4,BACĂU,"GRADINITA CU PROGRAM PRELUNGIT NR.24",64,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:54:03",1535,1523,3,8,1,590,581,0,8,1,563,27,1721,1131,47,181,5,52,139,27,9,62,17,13,11
4,BACĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.27",98,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:18:49",1295,1288,2,5,0,486,481,0,5,0,469,17,1400,914,54,127,2,49,132,24,8,43,15,8,7
4,BACĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.27",97,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:24:05",1177,1170,0,7,0,428,421,0,7,0,415,13,1300,872,30,137,1,31,116,14,8,54,9,12,3
4,BACĂU,"GRADINITA CU PROGRAM PRELUNGIT NR.29",33,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:56:17",1047,1040,0,7,0,402,395,0,7,0,391,11,1100,698,33,108,2,32,112,15,13,30,18,9,19
4,BACĂU,"GRADINITA CU PROGRAM PRELUNGIT NR.29",31,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:27:33",1186,1180,1,5,0,461,456,0,5,0,445,16,1300,839,49,142,4,36,135,11,9,27,15,7,10
4,BACĂU,"GRADINITA CU PROGRAM PRELUNGIT NR.29",32,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:33:25",1006,1001,0,5,0,451,446,0,5,0,416,10,1100,665,34,97,1,35,156,19,14,32,1,17,10
4,BACĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.31",83,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:17:57",1029,1020,0,9,0,400,391,0,9,0,385,15,1100,700,41,122,3,33,96,8,8,34,14,16,10
4,BACĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.33",112,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:41:07",1220,1214,0,6,0,527,521,0,6,0,506,17,1400,873,47,189,3,39,141,9,10,27,23,12,6
4,BACĂU,"GRĂDNIŢA CU PROGRAM PRELUNGIT NR.30",91,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:34:17",1010,996,2,11,1,399,386,1,11,1,383,6,1100,711,31,77,7,26,56,13,10,141,14,4,4
4,BACĂU,"GRĂDNIŢA CU PROGRAM PRELUNGIT NR.30",92,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:23:44",915,909,0,6,0,378,372,0,6,0,368,10,1000,622,29,93,5,24,55,13,8,113,13,4,11
4,BACĂU,"LICEUL CU PROGRAM SPORTIV",115,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:40:27",1112,1104,0,8,0,526,518,0,8,0,522,4,1200,674,45,154,2,31,197,6,9,36,21,11,10
4,BACĂU,"LICEUL CU PROGRAM SPORTIV",113,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:35:43",1008,1004,0,4,0,419,415,0,4,0,409,9,1102,682,33,122,2,30,117,23,5,23,26,14,14
