precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
4,BACĂU,"BIBLIOTECA ORAŞULUI COMĂNEȘTI",195,"ORAŞ COMĂNEŞTI",20821,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:23:27",1339,1331,1,7,0,589,582,0,7,0,573,14,1500,911,191,268,41,44,29
4,BACĂU,"CENTRUL 5",191,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:18:05",1097,1083,5,6,3,505,496,0,6,3,486,19,1200,695,190,183,42,49,22
4,BACĂU,"CLĂDIRE ŞIPOTENI (FOSTĂ ȘCOALĂ ȘIPOTENI)",207,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:58:43",636,625,5,5,1,283,277,0,5,1,279,4,700,417,114,95,15,39,16
4,BACĂU,"PRIMĂRIA ORAȘULUI COMĂNEȘTI",199,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:41:01",1348,1338,2,8,0,550,542,0,8,0,531,19,1500,950,161,278,20,54,18
4,BACĂU,"SCOALA CIPRIAN PORUMBESCU",194,"ORAŞ COMĂNEŞTI",20821,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:31:30",497,491,0,5,1,213,207,0,5,1,204,9,508,295,28,118,3,30,25
4,BACĂU,"ŞCOALA CIPRIAN PORUMBESCU",192,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:57:43",1199,1193,2,4,0,532,528,0,4,0,515,17,1300,768,182,212,27,76,18
4,BACĂU,"ȘCOALA CIPRIAN PORUMBESCU",193,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:32:11",1214,1171,2,6,35,527,486,0,6,35,513,14,1300,773,128,234,26,95,30
4,BACĂU,"ŞCOALA COSTACHI S.CIOCAN LĂLOAIA",203,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:55:30",694,690,1,2,1,301,298,0,2,1,297,4,800,499,95,144,20,23,15
4,BACĂU,"ŞCOALA DIMITRIE GHICA ZĂVOI",205,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:37:34",1242,1226,3,10,3,479,466,0,10,3,470,9,1300,821,181,177,27,56,29
4,BACĂU,"ŞCOALA LĂLOAIA",201,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:49:54",1153,1153,0,0,0,547,547,0,0,0,530,17,1300,753,204,220,24,53,29
4,BACĂU,"SCOALA LIVIU REBREANU",196,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:27:24",1538,1531,1,6,0,610,604,0,6,0,600,10,1700,1090,182,292,38,56,32
4,BACĂU,"ŞCOALA LIVIU REBREANU",197,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:10:03",1007,998,1,8,0,428,420,0,8,0,392,36,1100,672,131,176,32,39,14
4,BACĂU,"ŞCOALA LIVIU REBREANU",198,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:43:37",586,582,0,4,0,229,225,0,4,0,221,8,700,471,69,110,9,25,8
4,BACĂU,"ŞCOALA NR.3 LEORDA",204,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:48:20",1294,1292,1,1,0,627,626,0,1,0,607,20,1400,773,212,281,6,79,29
4,BACĂU,"ŞCOALA NR.5 BIS SUBLĂLOAIA",202,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:41:05",1453,1439,3,10,1,654,643,0,10,1,622,32,1600,946,170,266,38,97,51
4,BACĂU,"ŞCOALA ŞUPAN",200,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:24:41",1430,1423,0,6,1,620,613,0,6,1,590,30,1600,980,163,317,13,63,34
4,BACĂU,"ŞCOALA VERMEŞTI",206,"ORAŞ COMĂNEŞTI",20821,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:12:49",1043,1037,0,6,0,416,410,0,6,0,405,11,1100,684,103,187,14,67,34
