precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi","MAIOR LIVIU-voturi"
5,BIHOR,"CLĂDIREA MUZEULUI",195,"ORAŞ SĂCUENI",30915,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:36:48",1465,1439,7,9,10,781,761,1,9,10,726,54,1580,799,43,37,5,304,318,13,6
5,BIHOR,"CLUBUL TINERETULUI",197,"ORAŞ SĂCUENI",30915,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 22:57:24",753,711,1,6,35,551,510,0,6,35,512,25,824,287,13,5,3,409,77,4,1
5,BIHOR,"GRĂDINIȚĂ CU PROGRAM PRELUNGIT",193,"ORAŞ SĂCUENI",30915,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:45:24",1179,1161,2,11,5,675,659,0,11,5,655,20,1284,598,44,39,11,326,222,10,3
5,BIHOR,"GRĂDINIȚA DE LA LOCUL DE CASĂ",194,"ORAŞ SĂCUENI",30915,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:49:57",876,862,2,7,5,492,480,0,7,5,476,16,955,463,49,57,12,180,158,19,1
5,BIHOR,"GRĂDINIȚA ȘI ȘCOALA CU CLASELE I-IV",192,"ORAŞ SĂCUENI",30915,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 13:18:49",1487,1473,1,7,6,975,962,0,7,6,848,127,1640,665,69,38,7,476,254,4,0
5,BIHOR,"ȘCOALA CU CLASELE I-IV",191,"ORAŞ SĂCUENI",30915,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 12:51:00",1148,1132,0,10,6,674,658,0,10,6,621,42,1252,581,49,22,14,310,208,15,3
5,BIHOR,"ŞCOALA GENERALĂ",198,"ORAŞ SĂCUENI",30915,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:24:22",714,691,0,11,12,464,441,0,11,12,446,18,765,301,33,17,5,299,81,10,1
5,BIHOR,"ŞCOALA GENERALĂ",199,"ORAŞ SĂCUENI",30915,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:05:57",435,422,0,9,4,276,263,0,9,4,254,22,471,195,7,30,4,138,64,11,0
5,BIHOR,"ŞCOALA GENERALĂ",200,"ORAŞ SĂCUENI",30915,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:50:15",720,702,3,6,9,434,419,0,6,9,404,30,794,360,22,6,6,276,89,5,0
5,BIHOR,"ŞCOALA GENERALĂ",196,"ORAŞ SĂCUENI",30915,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:00:00",881,853,1,9,18,519,492,0,9,18,469,50,962,443,16,21,16,309,99,8,0
