precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BUZA-CĂTUN",111,CHIOCHIŞ,33015,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:58:38",96,92,0,4,0,62,58,0,4,0,62,0,100,38,20,19,6,8,1,8
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL JIMBOR",113,CHIOCHIŞ,33015,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:03:20",345,339,0,1,5,216,210,0,1,5,205,6,340,129,95,46,35,4,4,21
6,BISTRIŢA-NĂSĂUD,"GRĂDINIȚA BOZIEŞ",110,CHIOCHIŞ,33015,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:04:07",512,489,0,2,21,352,329,0,2,21,344,8,510,158,103,73,148,9,8,3
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI CHIOCHIŞ",108,CHIOCHIŞ,33015,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:19:02",293,283,0,0,10,193,183,0,0,10,183,10,300,107,48,40,59,22,8,6
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ APATIU",109,CHIOCHIŞ,33015,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:44:33",224,220,0,3,1,153,149,0,3,1,144,9,230,77,53,69,8,9,4,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ CHEŢIU",112,CHIOCHIŞ,33015,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:55:06",262,250,0,3,9,172,160,0,3,9,165,7,263,91,78,69,11,5,1,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ MANIC",114,CHIOCHIŞ,33015,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:32:29",124,120,0,1,3,124,120,0,1,3,116,8,180,56,57,29,9,12,1,8
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ SÎNNICOARĂ",115,CHIOCHIŞ,33015,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:45:32",98,86,0,9,3,68,56,0,9,3,66,2,100,32,38,19,2,2,5,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ STRUGURENI",116,CHIOCHIŞ,33015,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:22:37",164,154,0,5,5,113,103,0,5,5,111,2,175,62,16,9,82,3,0,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ ŢENTEA",117,CHIOCHIŞ,33015,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:17:18",78,75,1,2,0,54,52,0,2,0,52,2,85,31,10,22,6,7,7,0
