precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","STOICIUC MIHAELA-VIORICA-voturi","BOTEZATU DANIEL-voturi","CĂRĂUŞU IONUŢ-BOGDAN-voturi"
7,BOTOŞANI,"COLEGIUL ECONOMIC „OCTAV ONICESCU”",59,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:58:59",1210,1200,0,10,0,537,527,0,10,0,524,13,1300,760,48,245,138,2,29,6,19,6,18,13
7,BOTOŞANI,"COLEGIUL ECONOMIC „OCTAV ONICESCU”",57,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:04:55",931,924,0,7,0,363,356,0,7,0,349,14,1000,637,43,170,85,3,12,5,7,12,5,7
7,BOTOŞANI,"COLEGIUL ECONOMIC „OCTAV ONICESCU”",58,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:03:58",1465,1457,2,6,0,745,739,0,6,0,720,25,1600,855,71,317,226,5,41,3,22,10,13,12
7,BOTOŞANI,"COLEGIUL NAŢIONAL „A.T. LAURIAN”",64,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:33:58",1267,1230,28,8,1,551,542,0,8,1,522,24,1400,854,25,224,154,6,46,0,20,12,20,15
7,BOTOŞANI,"COLEGIUL NAŢIONAL „A.T. LAURIAN”",65,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:31:59",1237,1227,0,10,0,516,506,0,10,0,490,16,1400,894,51,237,107,4,23,5,22,17,16,8
7,BOTOŞANI,"COLEGIUL NAŢIONAL „MIHAI EMINESCU”",18,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:04:01",1265,1256,1,8,0,480,472,0,8,0,461,19,1400,920,37,228,112,1,26,9,11,10,11,16
7,BOTOŞANI,"COLEGIUL NAŢIONAL „MIHAI EMINESCU”",19,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:38:55",1026,1019,0,7,0,455,448,0,7,0,442,13,1100,645,30,224,126,3,13,4,5,7,16,14
7,BOTOŞANI,"COLEGIUL NAŢIONAL „MIHAI EMINESCU”",20,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:25:48",1430,1420,0,10,0,642,632,0,10,0,614,28,1600,957,19,309,160,4,46,6,14,15,21,20
7,BOTOŞANI,"COLEGIUL NAŢIONAL „MIHAI EMINESCU”",21,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:34:09",1096,1089,0,7,0,447,440,0,7,0,435,12,1200,753,37,225,116,1,22,4,8,9,4,9
7,BOTOŞANI,"COLEGIUL TEHNIC „GHEORGHE ASACHI”",29,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:43:35",1028,1016,6,6,0,394,388,0,6,0,380,14,1100,706,48,185,94,4,22,4,12,2,2,7
