precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
8,BRAŞOV,"GRUP ŞCOLAR INDUSTRIAL VICTOR JINGA",244,"MUNICIPIUL SĂCELE",40438,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:21:39",1058,1045,0,10,3,435,422,0,10,3,421,14,1200,765,43,28,187,94,69
8,BRAŞOV,"GRUP ŞCOLAR INDUSTRIAL VICTOR JINGA",243,"MUNICIPIUL SĂCELE",40438,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:33:32",1017,1006,0,10,1,397,386,0,10,1,387,10,1095,698,40,19,170,107,51
8,BRAŞOV,"LICEUL GEORGE MOROIANU",238,"MUNICIPIUL SĂCELE",40438,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:08:11",1759,1747,0,10,2,896,884,0,10,2,882,12,1900,1005,41,331,169,231,110
8,BRAŞOV,"LICEUL GEORGE MOROIANU CORPUL C",234,"MUNICIPIUL SĂCELE",40438,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:09:55",1604,1594,3,7,0,911,904,0,7,0,887,24,1800,889,37,433,159,172,86
8,BRAŞOV,"LICEUL GEORGE MOROIANU CORPUL C",235,"MUNICIPIUL SĂCELE",40438,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:01:22",1463,1452,2,9,0,690,681,0,9,0,678,12,1600,910,47,151,202,167,111
8,BRAŞOV,"LICEU ZAJZONI RAB ISTVAN",233,"MUNICIPIUL SĂCELE",40438,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:00:40",1641,1612,0,29,0,756,727,0,29,0,727,16,1800,1057,47,277,126,152,125
8,BRAŞOV,"SALA DE SPORT",236,"MUNICIPIUL SĂCELE",40438,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:07:05",1452,1443,0,9,0,649,640,0,9,0,637,12,1600,951,39,55,264,182,97
8,BRAŞOV,"SALA DE SPORT",237,"MUNICIPIUL SĂCELE",40438,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:42:47",1377,1372,1,4,0,655,651,0,4,0,628,27,1500,845,49,70,271,170,68
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1, CORPUL A (LÂNGĂ GRĂDINIŢĂ)",229,"MUNICIPIUL SĂCELE",40438,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:38:33",1290,1280,0,9,1,614,604,0,9,1,593,11,1400,796,44,175,140,137,97
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1 CORPUL B",230,"MUNICIPIUL SĂCELE",40438,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:30:09",1342,1332,2,7,1,565,557,0,7,1,549,16,1500,935,43,74,189,180,63
