precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DEMOCRAȚIEI ȘI SOLIDARITAȚII-DEMOS-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"COLEGIUL ECONOMIC ”REGELE MIHAI I”",57,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:21:19",1052,1042,5,5,0,443,438,0,5,0,429,14,1100,657,231,68,27,19,20,64
10,BUZĂU,"COLEGIUL NAȚIONAL ”B. P. HASDEU”",34,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:20:37",1347,1338,4,0,5,608,599,4,0,5,582,26,1500,892,308,85,46,30,20,93
10,BUZĂU,"COLEGIUL NAȚIONAL ”MIHAI EMINESCU”",75,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:55:01",1742,1733,0,9,0,567,558,0,9,0,516,51,1900,1333,231,115,56,65,9,40
10,BUZĂU,"COLEGIUL NAȚIONAL PEDAGOGIC ”SPIRU HARET”",47,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:25:17",1535,1522,2,11,0,617,606,0,11,0,600,17,1700,1083,324,95,53,20,17,91
10,BUZĂU,"COLEGIUL NAȚIONAL PEDAGOGIC ”SPIRU HARET”",49,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:21:19",1227,1217,3,7,0,494,487,0,7,0,471,23,1400,906,276,60,25,21,22,67
10,BUZĂU,"COLEGIUL NAȚIONAL PEDAGOGIC ”SPIRU HARET”",48,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:29:29",1114,1110,2,2,0,495,493,0,2,0,477,18,1200,705,274,48,41,20,18,76
10,BUZĂU,"COLEGIUL NAȚIONAL PEDAGOGIC ”SPIRU HARET”",50,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:44:53",1544,1535,1,8,0,641,633,0,8,0,618,23,1700,1059,360,78,49,22,25,84
10,BUZĂU,"COLEGIUL UNIVERSITAR ECONOMIC",13,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:54:24",1555,1553,1,1,0,676,675,0,1,0,670,6,1800,1124,441,83,51,33,2,60
10,BUZĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”BOBOCEII DIN MICRO III”",72,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:36:25",1324,1316,0,8,0,574,566,0,8,0,552,22,1400,826,324,73,44,22,24,65
10,BUZĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 1",51,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:48:36",1416,1413,3,0,0,759,759,0,0,0,740,19,1500,741,421,118,31,17,34,119
10,BUZĂU,"GRADINIȚA CU PROGRAM PRELUNGIT NR.4",62,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:29:11",1215,1208,0,7,0,521,514,0,7,0,504,17,1300,779,284,69,35,20,17,79
10,BUZĂU,"GRADINIȚA CU PROGRAM PRELUNGIT NR.8",44,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:23:16",944,932,5,7,0,433,426,0,7,0,419,14,1000,567,247,52,32,26,10,52
