precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL ROMÂNIA MARE-voturi","VAMOŞ SORIN-VIRGIL-voturi"
13,CLUJ,"ASOCIAŢIA ”CARITATEA”",57,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:02:45",1213,1110,88,15,0,667,652,0,15,0,653,13,1301,634,45,50,40,209,6,2,206,74,4,17
13,CLUJ,"CENTRUL REGIONAL DE EXCELENŢĂ,",35,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:40:02",1565,1532,26,7,0,723,715,1,7,0,706,17,1719,996,63,36,161,168,14,11,169,62,1,21
13,CLUJ,"COLEGIUL DE MUZICĂ ”SIGISMUND TODUŢĂ” (FOSTUL GRUP SCOLAR DE MATERIAL RULANT- UNIREA)",136,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:37:29",1568,1545,10,13,0,747,734,0,13,0,740,7,1710,963,83,75,96,245,11,7,136,47,12,28
13,CLUJ,"COLEGIUL DE MUZICĂ ”SIGISMUND TODUŢĂ” (FOSTUL GRUP SCOLAR DE MATERIAL RULANT- UNIREA)",137,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:56:07",947,911,22,13,1,434,418,2,13,1,431,3,1040,605,40,27,83,121,8,7,83,40,7,15
13,CLUJ,"COLEGIUL ECONOMIC ”IULIAN POP”",1,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:44:35",1056,1048,0,8,0,30,22,0,8,0,29,1,1559,1529,3,3,8,7,2,0,3,0,3,0
13,CLUJ,"COLEGIUL ECONOMIC ”IULIAN POP”",2,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:12:42",1147,1069,71,6,1,471,464,0,6,1,459,12,1666,1195,44,37,110,122,7,3,87,31,7,11
13,CLUJ,"COLEGIUL NAŢIONAL ”GEORGE COŞBUC”",67,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:48:11",1105,1078,12,14,1,572,557,0,14,1,553,8,1221,660,71,55,62,151,11,4,125,49,9,16
13,CLUJ,"COLEGIUL NAŢIONAL ”GEORGE COŞBUC”",68,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:03:31",1214,1143,35,16,20,527,492,0,16,19,511,16,1274,747,66,47,64,145,15,4,102,45,5,18
13,CLUJ,"COLEGIUL NAŢIONAL ”GEORGE COŞBUC”",69,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:31:00",890,875,8,7,0,422,415,0,7,0,413,9,879,457,44,32,77,130,8,6,78,24,4,10
13,CLUJ,"COLEGIUL NAȚIONAL „GHEORGHE ȘINCAI”",75,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:45:50",1346,1330,9,7,0,635,628,0,7,0,618,17,1484,849,67,51,60,212,7,11,133,55,2,20
13,CLUJ,"COLEGIUL NAȚIONAL „GHEORGHE ȘINCAI”",72,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:38:25",1623,1587,21,9,6,793,778,0,9,6,776,17,1770,977,96,76,66,232,26,6,165,67,11,31
13,CLUJ,"COLEGIUL NAȚIONAL „GHEORGHE ȘINCAI”",73,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:56:23",1105,1093,0,12,0,590,578,0,12,0,586,4,1207,617,87,55,31,205,7,9,121,47,6,18
13,CLUJ,"COLEGIUL NAȚIONAL „GHEORGHE ȘINCAI”",74,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:06:46",1398,1376,10,12,0,631,619,0,12,0,617,14,1526,895,70,64,33,230,17,13,118,54,6,12
13,CLUJ,"COLEGIUL NAȚIONAL „GHEORGHE ȘINCAI”",70,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-11 13:15:12",1432,1401,24,7,0,670,662,1,7,0,656,14,1577,907,81,57,76,189,9,6,148,63,5,22
13,CLUJ,"COLEGIUL NAȚIONAL „GHEORGHE ȘINCAI”",71,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:11:59",1151,1131,1,16,3,601,581,1,16,3,597,4,1048,447,75,52,66,157,12,9,163,54,3,6
