precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL NAȚIONAL VATRA ROMÂNEASCĂ-voturi"
13,CLUJ,"COLEGIUL ”EMIL NEGRUŢIU”",258,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:48:54",1188,1182,1,5,0,578,572,1,5,0,561,17,1300,722,80,20,124,170,12,4,127,19,5
13,CLUJ,"COLEGIUL NAŢIONAL ”MIHAI VITEAZU”",257,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:53:13",1011,995,4,9,3,446,434,0,9,3,438,8,1118,672,67,58,80,85,8,3,120,6,11
13,CLUJ,"COLEGIUL TEHNIC",255,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:49:50",1152,1134,1,3,14,519,501,1,3,14,506,13,1252,733,86,47,132,104,6,5,112,8,6
13,CLUJ,"COLEGIUL TEHNIC",256,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:26:41",1171,1113,6,4,48,574,522,0,4,48,549,25,1239,665,75,79,111,137,11,2,120,7,7
13,CLUJ,"COLEGIUL TEHNIC ”DR.IOAN RAŢIU”",254,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:03:49",1060,1048,3,9,0,421,412,0,9,0,392,29,1177,756,69,19,102,147,8,3,37,5,2
13,CLUJ,"COLEGIUL TEHNIC ”DR.IOAN RAŢIU”",253,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:42:51",894,886,0,5,3,451,443,0,5,3,434,17,991,540,48,14,143,181,10,1,25,8,4
13,CLUJ,"COLEGIUL TEHNIC ”DR.IOAN RAŢIU”",252,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:58:25",1306,1299,0,6,1,594,587,0,6,1,575,14,1444,855,81,56,119,165,24,4,110,12,4
13,CLUJ,"LICEUL TEORETIC ”JOSIKA MIKLOS”",247,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:44:18",1121,1106,1,12,2,563,549,0,12,2,548,15,1239,676,93,70,129,85,12,12,124,19,4
13,CLUJ,"LICEUL TEORETIC ”JOSIKA MIKLOS”",246,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:28:43",981,967,4,10,0,396,386,0,10,0,381,15,1081,685,40,50,75,100,6,5,91,10,4
13,CLUJ,"LICEUL TEORETIC ”LIVIU REBREANU”",271,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:22:21",1314,1307,0,6,1,568,561,0,6,1,559,9,1468,900,97,31,113,165,21,8,111,7,6
13,CLUJ,"LICEUL TEORETIC ”LIVIU REBREANU”",272,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:55:19",1168,1156,2,10,0,540,530,0,10,0,531,9,1314,774,82,30,121,113,15,12,138,11,9
13,CLUJ,"LICEUL TEORETIC ”LIVIU REBREANU”",274,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:45:04",1008,1001,1,6,0,377,371,0,6,0,365,12,1108,731,61,16,95,90,9,4,77,9,4
13,CLUJ,"LICEUL TEORETIC ”LIVIU REBREANU”",269,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:03:12",1296,1288,0,8,0,580,572,0,8,0,571,9,1419,839,79,15,143,130,8,9,164,12,11
13,CLUJ,"LICEUL TEORETIC ”LIVIU REBREANU”",273,"MUNICIPIUL TURDA",55259,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:57:19",1441,1411,3,9,18,628,601,0,9,18,614,14,1556,928,83,22,166,144,4,15,154,8,18
13,CLUJ,"LICEUL TEORETIC ”LIVIU REBREANU”",270,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:13:30",1317,1299,3,14,1,536,521,0,14,1,520,16,1473,937,91,21,128,144,10,6,97,10,13
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”ANDREI ŞAGUNA”",261,"MUNICIPIUL TURDA",55259,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:09:56",1030,1018,5,7,0,461,452,2,7,0,446,13,1137,678,78,40,104,123,8,2,78,11,2
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”ANDREI ŞAGUNA”",259,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:42:15",1227,1220,0,7,0,505,498,0,7,0,491,7,1363,858,76,23,117,158,11,2,94,9,1
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”ANDREI ŞAGUNA”",260,"MUNICIPIUL TURDA",55259,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:03:57",948,940,0,7,1,444,436,0,7,1,423,13,1051,590,62,40,99,96,16,6,90,10,4
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”AVRAM IANCU”",265,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:51:41",1186,1177,0,8,1,525,516,0,8,1,506,19,1316,791,86,13,127,123,11,4,130,6,6
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”AVRAM IANCU”",264,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:19:28",1028,1021,2,4,1,456,451,0,4,1,446,10,1144,688,77,24,108,108,6,5,107,8,3
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”AVRAM IANCU”",263,"MUNICIPIUL TURDA",55259,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:05:45",1071,1064,1,6,0,436,430,0,6,0,422,11,1182,746,99,28,80,111,10,6,85,2,1
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”AVRAM IANCU”",262,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:56:31",948,941,1,6,0,424,418,0,6,0,418,6,1036,612,73,12,91,116,12,7,98,6,3
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”HOREA CLOŞCA ŞI CRIŞAN”",278,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:34:12",1245,1236,3,5,1,543,537,0,5,1,511,32,1391,848,82,28,108,162,13,7,92,10,9
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”HOREA CLOŞCA ŞI CRIŞAN”",281,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:07:59",1284,1276,2,4,2,510,503,1,4,2,500,10,1425,915,81,28,125,132,10,8,106,8,2
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”HOREA CLOŞCA ŞI CRIŞAN”",280,"MUNICIPIUL TURDA",55259,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:41:23",1131,1126,0,5,0,496,491,0,5,0,486,10,1246,750,82,29,119,114,22,8,102,5,5
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”HOREA CLOŞCA ŞI CRIŞAN”",277,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:23:11",1347,1336,2,9,0,582,573,0,9,0,567,15,1488,906,74,12,151,185,16,7,105,8,9
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”HOREA CLOŞCA ŞI CRIŞAN”",279,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:21:09",1140,1130,1,8,1,471,462,0,8,1,462,9,1268,797,78,23,107,124,16,3,99,6,6
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”HOREA CLOŞCA ŞI CRIŞAN”",275,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:14:07",1335,1329,2,4,0,562,558,0,4,0,550,12,1486,924,89,32,99,147,13,9,145,6,10
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”HOREA CLOŞCA ŞI CRIŞAN”",276,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:21:57",1286,1277,1,8,0,573,565,0,8,0,555,18,1418,845,94,19,111,179,19,10,107,10,6
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”ION OPRIŞ”",268,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:54:18",1299,1256,1,3,39,615,573,0,3,39,606,9,1386,771,126,43,138,106,10,12,152,16,3
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”ION OPRIŞ”",266,"MUNICIPIUL TURDA",55259,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:19:36",1127,1120,1,6,0,534,528,0,6,0,522,12,1259,713,96,15,109,105,12,15,156,7,7
13,CLUJ,"ŞCOALA GIMNAZIALĂ ”ION OPRIŞ”",267,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:37:50",960,950,4,6,0,463,457,0,6,0,455,8,1050,587,113,25,89,84,17,7,111,5,4
13,CLUJ,"ȘCOALA GIMNAZIALĂ ”TEODOR MURĂŞANU”",250,"MUNICIPIUL TURDA",55259,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:49:47",1136,1119,6,11,0,542,531,0,11,0,526,16,1263,721,74,61,126,90,16,4,141,6,8
13,CLUJ,"ȘCOALA GIMNAZIALĂ ”TEODOR MURĂŞANU”",248,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:00:46",1067,1059,1,6,1,473,466,0,6,1,466,7,1185,712,84,58,93,88,4,7,115,15,2
13,CLUJ,"ȘCOALA GIMNAZIALĂ ”TEODOR MURĂŞANU”",251,"MUNICIPIUL TURDA",55259,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:34:14",1134,1124,0,8,2,498,488,0,8,2,481,14,1256,761,62,17,117,94,29,3,129,19,11
13,CLUJ,"ȘCOALA GIMNAZIALĂ ”TEODOR MURĂŞANU”",249,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:50:43",1465,1458,0,7,0,637,630,0,7,0,627,10,1605,968,88,88,128,94,19,12,159,25,14
13,CLUJ,"ŞCOALA PROFESIONALĂ POIANA",282,"MUNICIPIUL TURDA",55259,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:47:19",1239,1237,0,2,0,559,557,0,2,0,537,22,1381,822,102,66,117,140,12,9,79,12,0
13,CLUJ,"ŞCOALA PROFESIONALĂ POIANA",283,"MUNICIPIUL TURDA",55259,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:59:12",1517,1505,0,12,0,839,827,0,12,0,792,47,1740,901,80,63,363,206,12,8,49,3,8
