precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL VATRA ROMÂNEASCĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi","CRĂCIUNAŞ ILINCA-RAMONA-voturi"
13,CLUJ,"CĂMIN CULTURAL CORPADEA",312,APAHIDA,55687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:03:34",354,340,0,9,5,186,172,0,9,5,181,5,383,197,1,34,74,19,2,9,19,1,22
13,CLUJ,"CĂMIN CULTURAL SÎNNICOARĂ",316,APAHIDA,55687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:20:40",1195,1186,2,7,0,737,730,0,7,0,723,14,1312,575,12,256,202,82,0,10,95,3,63
13,CLUJ,"CĂMINUL CULTURAL DEZMIR",313,APAHIDA,55687,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:54:15",1385,1365,6,8,6,829,814,1,8,6,815,14,1524,681,21,312,158,54,7,18,172,5,68
13,CLUJ,"CĂMINUL CULTURAL DEZMIR",314,APAHIDA,55687,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:56:52",1218,1193,3,10,12,695,673,0,10,12,674,21,1313,618,28,245,138,39,2,10,135,4,73
13,CLUJ,"CĂMINUL CULTURAL SÂNNICOARĂ",317,APAHIDA,55687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:40:58",1081,1070,1,10,0,593,583,0,10,0,578,15,1243,650,12,174,145,62,0,13,102,5,65
13,CLUJ,"SALA SPORT LICEU TEHNOLOGIC ”ŞTEFAN PASCU”",308,APAHIDA,55687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:14:22",1972,1956,2,11,3,1052,1038,0,11,3,1021,31,2174,1122,38,283,286,70,0,19,127,8,190
13,CLUJ,"SALA SPORT LICEU TEHNOLOGIC ”ŞTEFAN PASCU”",307,APAHIDA,55687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:58:41",1780,1758,5,17,0,985,968,0,17,0,966,19,1961,976,22,375,204,67,2,31,139,3,123
13,CLUJ,"SALA SPORT LICEU TEHNOLOGIC ”ŞTEFAN PASCU”",310,APAHIDA,55687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:00:10",1957,1924,7,21,5,1090,1064,0,21,5,1054,36,2112,1022,21,402,239,64,1,15,160,3,149
13,CLUJ,"SALA SPORT LICEU TEHNOLOGIC ”ŞTEFAN PASCU”",309,APAHIDA,55687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:07:51",1815,1802,5,8,0,957,949,0,8,0,938,19,1984,1027,15,325,236,48,2,20,198,5,89
13,CLUJ,"SEDIU PRIMARIE PATA",315,APAHIDA,55687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:08:23",533,515,2,10,6,348,331,1,10,6,335,13,572,224,42,53,187,18,0,6,16,0,13
13,CLUJ,"SEDIU SECTOR PISCICOLA",311,APAHIDA,55687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:13:02",255,240,2,13,0,167,154,0,13,0,167,0,264,97,3,55,19,16,1,7,34,1,31
