precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MAVRODIN MARIAN-GHEORGHE-voturi"
12,CĂLĂRAŞI,"CANTINA DE AJUTOR SOCIAL",53,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:15:21",1107,1097,0,7,3,591,581,0,7,3,558,33,1215,624,41,300,128,20,6,25,21,17
12,CĂLĂRAŞI,"COLEGIUL NAȚIONAL ”NEAGOE BASARAB”",59,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:43:05",1743,1717,3,12,11,870,847,0,12,11,821,23,1914,1028,50,524,145,13,8,51,8,22
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ”NEAGOE BASARAB” - SALA DE SPORT",57,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:28:47",1635,1615,1,17,2,817,798,0,17,2,804,13,1814,975,43,414,182,14,21,36,53,41
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ”NEAGOE BASARAB” - SALA DE SPORT",56,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:54:44",1686,1653,2,14,17,870,839,0,14,17,837,23,1824,950,53,479,164,25,9,30,53,24
12,CĂLĂRAŞI,"DIRECŢIA DE CULTURĂ",62,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:48:26",1550,1536,0,13,1,722,708,0,13,1,691,21,1709,997,32,335,200,22,7,44,27,24
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 1,",55,"MUNICIPIUL OLTENIŢA",100610,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:48:04",1368,1350,3,14,1,702,687,0,14,1,674,28,1516,814,45,387,147,13,4,37,26,15
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR.1",54,"MUNICIPIUL OLTENIŢA",100610,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:14:15",1091,1079,0,12,0,555,543,0,12,0,538,14,1208,655,30,286,147,13,7,21,27,7
12,CĂLĂRAŞI,"GRADINIȚA CU PROGRAM NORMAL NR.2",65,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:32:29",1492,1481,2,8,1,783,774,0,8,1,745,29,1644,870,48,427,156,29,21,28,25,11
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4",60,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:22:05",1582,1572,1,7,2,749,740,0,7,2,702,47,1744,995,48,416,137,14,16,17,36,18
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR.4",61,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:38:28",1572,1565,0,6,1,686,679,0,6,1,657,22,1761,1082,34,424,107,21,10,21,22,18
12,CĂLĂRAŞI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 5",58,"MUNICIPIUL OLTENIŢA",100610,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:01:59",1718,1700,1,14,3,775,758,0,14,3,763,12,1876,1101,52,476,126,29,6,36,27,11
12,CĂLĂRAŞI,"GRADINIȚA CU PROGRAM NORMAL NR. 6 ( INCINTA ȘCOALA GIMNAZIALĂ” ALEXANDRU D. GHICA”)",52,"MUNICIPIUL OLTENIŢA",100610,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:43:44",1896,1882,0,12,2,991,977,0,12,2,935,42,2088,1111,62,544,196,44,15,26,23,25
12,CĂLĂRAŞI,"ŞCOALA CU CLS I-IV ”CONSTANTIN DECULESCU”",63,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:44:28",1703,1691,0,10,2,712,700,0,10,2,667,33,1876,1176,36,357,175,24,10,24,22,19
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ ”MIRCEA ELIADE” - SALA DE SPORT",64,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:53:36",1208,1195,3,10,0,568,558,0,10,0,555,13,1320,750,31,305,140,14,7,13,33,12
