precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA PMP - FORȚA DREPTEI-voturi"
12,CĂLĂRAŞI,"CANTINA DE AJUTOR SOCIAL",50,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:00:14",546,538,0,8,0,250,242,0,8,0,226,24,592,342,113,6,31,67,2,5,2,0
12,CĂLĂRAŞI,"CENTRUL JUDEŢEAN DE RESURSE ŞI ASISTENŢĂ EDUCAŢIONALĂ CĂLĂRAŞI",4,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:36:58",727,720,1,6,0,363,357,0,6,0,348,15,720,357,145,42,70,54,7,13,3,14
12,CĂLĂRAŞI,"CENTRUL JUDEŢEAN DE RESURSE ŞI ASISTENŢĂ EDUCAŢIONALĂ CĂLĂRAŞI",3,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:18:42",995,942,1,10,42,455,403,0,10,42,436,19,1035,580,170,59,101,61,7,12,14,12
12,CĂLĂRAŞI,"COLEGIUL ECONOMIC SEDIU",51,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:58:20",1299,1285,5,9,0,651,642,0,9,0,626,25,1429,778,262,90,135,84,9,19,14,13
12,CĂLĂRAŞI,"COLEGIUL ECONOMIC SEDIUL B",43,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:04:31",1064,1053,0,10,1,482,471,0,10,1,463,8,1157,676,217,41,57,109,4,14,9,12
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ” BARBU ŞTIRBEI” CĂLĂRAŞI",34,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:22:16",1234,1219,2,13,0,538,525,0,13,0,520,18,1341,803,231,30,100,110,1,18,14,16
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ” BARBU ŞTIRBEI” CĂLĂRAŞI",35,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:02:26",1069,1060,0,9,0,488,479,0,9,0,478,10,1166,672,182,41,87,118,6,20,14,10
12,CĂLĂRAŞI,"CREŞA NR. 1 CĂLĂRAŞI ( FOSTA CREŞA SĂPTĂMÂNALĂ CU 100 LOCURI)",29,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:55:56",735,725,0,10,0,275,265,0,10,0,265,10,855,580,87,11,67,78,0,8,9,5
12,CĂLĂRAŞI,"CREŞA NR. 1 CĂLĂRAŞI ( FOSTA CREŞA SĂPTĂMÂNALĂ CU 100 LOCURI)",28,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:03:43",1329,1320,0,9,0,1329,1320,0,9,0,505,0,1463,923,197,39,80,141,4,29,7,8
12,CĂLĂRAŞI,"GRĂDINIŢA CU PR.NORMAL NR.4 CALARASI",8,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:07:47",1464,1451,6,7,0,641,634,0,7,0,608,33,1596,902,291,30,101,113,4,32,30,7
