precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOLIDARITĂȚII SOCIALE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ROGIN TUDOR-BOGDAN-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL CUPTOARE",66,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:50:18",267,258,2,7,0,104,97,0,7,0,103,1,287,183,36,9,48,1,6,3,0,0
11,CARAŞ-SEVERIN,"CASA MUNICIPALĂ DE CĂSĂTORII",16,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:48:20",1255,1242,6,7,0,492,485,0,7,0,485,6,1448,956,105,32,288,9,35,8,2,6
11,CARAŞ-SEVERIN,"CASA MUNICIPALĂ DE CĂSĂTORII",15,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:11:37",1108,1102,0,6,0,482,476,0,6,0,423,12,1220,744,74,28,237,10,45,9,5,15
11,CARAŞ-SEVERIN,"COLEGIUL NAȚIONAL ”MIRCEA ELIADE” - GRĂDINIȚA MONIOM (CORP F)",70,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:49:01",280,274,0,6,0,113,107,0,6,0,112,1,299,186,27,16,59,0,3,3,3,1
11,CARAŞ-SEVERIN,"COLEGIUL NAŢIONAL”MIRCEA ELIADE”,REŞIŢA",42,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:28:49",871,864,0,6,1,296,289,0,6,1,289,7,954,658,64,29,148,4,22,15,1,6
11,CARAŞ-SEVERIN,"COLEGIUL NAŢIONAL”MIRCEA ELIADE”REŞIŢA",41,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:59:52",916,905,5,6,0,306,300,0,6,0,294,12,1007,701,54,18,173,4,24,12,2,7
11,CARAŞ-SEVERIN,"COLEGIUL NAȚIONAL ”MIRCEA ELIADE” - ȘCOALA CÂLNIC (CORP D)",65,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:39:18",1361,1354,2,4,1,526,521,0,4,1,507,19,1495,969,179,42,219,4,24,18,10,11
11,CARAŞ-SEVERIN,"COLEGIUL NAȚIONAL ”TRAIAN LALESCU”",22,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:48:39",1146,1139,1,6,0,388,382,0,6,0,378,10,1306,918,80,28,216,14,22,12,1,5
11,CARAŞ-SEVERIN,"COLEGIUL NAȚIONAL ”TRAIAN LALESCU”",23,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:37:39",680,666,6,7,1,269,261,0,7,1,261,8,765,496,59,16,145,3,24,4,3,7
11,CARAŞ-SEVERIN,"COLEGIUL NAȚIONAL ”TRAIAN LALESCU”",21,"MUNICIPIUL REŞIŢA",50790,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:41:02",907,892,12,3,0,907,892,12,3,0,290,6,997,104,74,32,134,8,29,5,2,6
11,CARAŞ-SEVERIN,"COLEGIUL NAȚIONAL ”TRAIAN LALESCU”",20,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:16:06",1032,1023,2,7,0,327,320,0,7,0,319,8,1135,808,60,22,194,5,18,11,2,7
