precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi"
16,DÂMBOVIŢA,"CLUB CRISTIAN ( UZINA AUTOMECANICĂ MORENI )",67,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:27:08",662,656,1,5,0,330,325,0,5,0,323,7,720,390,190,55,27,6,38,7
16,DÂMBOVIŢA,"CLUB FLACĂRA NR.2",70,"MUNICIPIUL MORENI",65841,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:59:34",786,780,0,6,0,407,401,0,6,0,395,12,850,443,188,44,26,7,113,17
16,DÂMBOVIŢA,"GRĂDINIŢA CU PROGRAM NORMAL NR.2",69,"MUNICIPIUL MORENI",65841,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:10:29",715,706,0,8,1,372,363,0,8,1,357,15,780,408,177,54,21,11,75,19
16,DÂMBOVIŢA,"GRĂDINIŢA CU PROGRAM NORMAL NR.7 ŢUICANI",68,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:35:50",371,365,1,3,2,173,168,0,3,2,172,1,400,227,98,16,17,2,35,4
16,DÂMBOVIŢA,"GRĂDINIŢA CU PROGRAM NORMAL TISA",71,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:43:49",526,517,0,8,1,318,309,0,8,1,303,15,570,252,138,78,20,6,57,4
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC DE PETROL",85,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:12:46",1387,1374,1,9,3,646,634,0,9,3,628,18,1510,864,238,120,61,17,154,38
16,DÂMBOVIŢA,"LICEUL TEORETIC ”ION LUCA CARAGIALE”",84,"MUNICIPIUL MORENI",65841,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:56:29",679,662,4,11,2,320,307,0,11,2,300,20,730,410,143,39,31,4,70,13
16,DÂMBOVIŢA,"SALA DE SPORT",82,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:00:31",699,686,0,11,2,338,325,0,11,2,331,7,760,422,163,62,23,7,65,11
16,DÂMBOVIŢA,"SALA DE SPORT",83,"MUNICIPIUL MORENI",65841,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:13:35",635,632,0,3,0,322,319,0,3,0,313,9,700,378,140,47,36,7,69,14
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR.2",66,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:26:30",1045,1035,1,7,2,510,500,1,7,2,490,20,1145,635,281,81,41,10,61,16
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR.3",74,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:42:54",698,695,1,2,0,341,339,0,2,0,331,10,770,429,165,47,25,8,74,12
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR.3",76,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:29:29",928,917,0,6,5,428,417,0,6,5,417,11,1020,592,178,69,28,7,119,16
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR.3",72,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:19:56",1234,1231,1,1,1,624,622,0,1,1,612,12,1360,736,302,120,38,8,122,22
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR.3",75,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:11:18",926,918,0,6,2,442,434,0,6,2,439,3,1010,568,197,65,51,6,110,10
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR.3",73,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:55:34",718,712,0,5,1,347,341,0,5,1,331,16,790,443,144,81,17,10,65,14
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR.4",79,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:16:57",829,820,0,7,2,390,381,0,7,2,366,24,910,520,154,58,30,9,104,11
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR.4",77,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:57:03",908,897,1,7,3,402,392,0,7,3,393,9,990,588,161,58,33,4,113,24
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR.4",80,"MUNICIPIUL MORENI",65841,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:54:34",877,869,0,6,2,426,418,0,6,2,418,8,960,534,136,82,44,7,133,16
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR.4",78,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:00:27",619,613,0,5,1,271,265,0,5,1,262,9,670,399,103,44,20,6,75,14
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR.4",81,"MUNICIPIUL MORENI",65841,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:39:45",802,792,0,8,2,400,390,0,8,2,389,11,870,470,191,59,26,4,99,10
