precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BĂDESCU GHEORGHE-voturi"
16,DÂMBOVIŢA,"CENTRUL DE ZI DE SOCIALIZARE ȘI PETRECERE A TIMPULUI LIBER - TIP CLUB",110,"ORAŞ PUCIOASA",65921,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:16:09",1103,1097,1,5,0,520,515,0,5,0,501,13,1210,690,31,372,41,35,22
16,DÂMBOVIŢA,"COLEGIUL NATIONAL „NICOLAE TITULESCU”",109,"ORAŞ PUCIOASA",65921,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:29:32",1048,1034,2,5,7,469,457,0,5,7,448,21,1160,691,55,301,34,35,23
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL ”NICOLAE TITULESCU””",108,"ORAŞ PUCIOASA",65921,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:49:18",1127,1114,5,6,2,531,523,0,6,2,512,19,1240,709,62,346,42,41,21
16,DÂMBOVIŢA,"GRADINITA DE COPII CU PROGRAM PRELUNGIT NR.5 ”PARADISUL PITICILOR”",113,"ORAŞ PUCIOASA",65921,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:05:32",1046,1038,0,7,1,486,478,0,7,1,472,14,1137,651,68,314,42,22,26
16,DÂMBOVIŢA,"GRĂDINIȚA DIACONEȘTI NR.9",112,"ORAŞ PUCIOASA",65921,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:45:31",825,815,1,9,0,417,408,0,9,0,403,14,900,483,51,260,69,15,8
16,DÂMBOVIŢA,"ȘCOALA GENERALĂ NR.2 PUCIOASA",103,"ORAŞ PUCIOASA",65921,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:55:18",1244,1224,6,4,10,616,600,2,4,10,600,16,1369,753,72,417,25,46,40
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”DONICI ELENA CANTACUZINO” PUCIOASA",107,"ORAŞ PUCIOASA",65921,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:42:29",1248,1235,0,7,6,559,546,0,7,6,542,17,1380,821,382,68,35,33,24
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ MALURI",114,"ORAŞ PUCIOASA",65921,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:34:46",102,94,1,7,0,60,52,1,7,0,59,1,110,50,0,49,6,4,0
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”MIHAI VITEAZUL” PUCIOASA",105,"ORAŞ PUCIOASA",65921,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:12:17",1171,1156,5,6,4,564,554,0,6,4,544,20,1290,726,63,375,42,45,19
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”MIHAI VITEAZUL” PUCIOASA",104,"ORAŞ PUCIOASA",65921,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:05:03",999,986,2,11,0,477,466,0,11,0,461,16,1090,613,49,326,25,39,22
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ NR. 1 „MIHAI VITEAZUL” PUCIOASA",106,"ORAŞ PUCIOASA",65921,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:36:15",799,789,0,10,0,354,344,0,10,0,346,8,880,526,45,213,19,55,14
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ NR. 3 PUCIOASA",111,"ORAŞ PUCIOASA",65921,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:18:40",1163,1153,0,9,1,485,475,0,9,1,469,16,1280,795,35,372,25,23,14
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ PUCIOASA-SAT",115,"ORAŞ PUCIOASA",65921,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:44:59",338,333,0,3,2,182,177,0,3,2,178,4,370,188,15,137,15,10,1
