precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
17,DOLJ,"GRĂDINIŢA CU PROGRAM NORMAL NR. 2 BĂILEȘTI",187,"MUNICIPIUL BĂILEŞTI",70316,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:48:31",971,967,0,4,0,342,338,0,4,0,320,22,1100,758,202,19,35,64
17,DOLJ,"GRĂDINIŢA CU PROGRAM NORMAL NR. 8 BĂILEȘTI",185,"MUNICIPIUL BĂILEŞTI",70316,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:10:02",1281,1271,0,6,4,502,492,0,6,4,491,11,1400,898,306,33,28,124
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 7 BĂILEȘTI",180,"MUNICIPIUL BĂILEŞTI",70316,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:01:10",743,731,0,9,3,338,326,0,9,3,326,12,900,562,212,11,26,77
17,DOLJ,"LICEUL TEHNOLOGIC” ŞTEFAN ANGHEL” BĂILEȘTI",186,"MUNICIPIUL BĂILEŞTI",70316,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:15:20",619,612,0,7,0,253,246,0,7,0,249,4,700,447,124,19,27,79
17,DOLJ,"LICEUL TEORETIC ”MIHAI VITEAZUL” BĂILEȘTI",181,"MUNICIPIUL BĂILEŞTI",70316,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:42:06",900,890,1,8,1,369,360,0,8,1,351,18,1000,631,218,20,18,95
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”AMZA PELLEA ” BĂILEȘTI",184,"MUNICIPIUL BĂILEŞTI",70316,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:54:24",730,715,3,12,0,290,278,0,12,0,267,11,800,522,155,19,24,69
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”AMZA PELLEA ” BĂILEȘTI",183,"MUNICIPIUL BĂILEŞTI",70316,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:02:55",968,961,1,4,2,393,386,1,4,2,372,21,1100,707,223,15,41,93
17,DOLJ,"ŞCOALA GIMNAZIALĂ”AMZA PELLEA” BĂILEȘTI",182,"MUNICIPIUL BĂILEŞTI",70316,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:14:35",1440,1434,0,5,1,505,499,0,5,1,482,23,1500,995,272,15,23,172
17,DOLJ,"ŞCOALA GIMNAZIALĂ NR. 1 BĂILEȘTI",174,"MUNICIPIUL BĂILEŞTI",70316,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:27:36",1369,1362,0,6,1,568,561,0,6,1,535,33,1495,927,343,21,41,130
17,DOLJ,"ȘCOALA GIMNAZIALĂ NR. 1 BĂILEȘTI",175,"MUNICIPIUL BĂILEŞTI",70316,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:39:41",1091,1083,1,7,0,335,328,0,7,0,317,18,1200,865,168,23,25,101
17,DOLJ,"ŞCOALA GIMNAZIALĂ NR. 3 BĂILEȘTI",176,"MUNICIPIUL BĂILEŞTI",70316,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:14:41",468,460,0,8,0,182,174,0,8,0,177,5,600,418,117,11,15,34
17,DOLJ,"ŞCOALA GIMNAZIALĂ NR. 3 BĂILEȘTI",177,"MUNICIPIUL BĂILEŞTI",70316,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:04:31",638,627,0,9,2,267,256,0,9,2,217,50,700,433,137,10,18,52
17,DOLJ,"ŞCOALA GIMNAZIALĂ NR. 3 BĂILEȘTI",178,"MUNICIPIUL BĂILEŞTI",70316,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:09:58",861,852,0,8,1,383,374,0,8,1,359,24,900,517,220,8,15,116
17,DOLJ,"ŞCOALA GIMNAZIALĂ NR. 5 ”AV. P. IVANOVICI” BĂILEȘTI",179,"MUNICIPIUL BĂILEŞTI",70316,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:57:22",896,886,3,7,0,323,316,0,7,0,311,11,1000,677,181,15,26,89
17,DOLJ,"ŞCOALA GIMNAZIALĂ NR. 6 BĂILEȘTI",188,"MUNICIPIUL BĂILEŞTI",70316,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:19:27",1280,1271,0,3,6,1280,1271,0,3,6,542,15,1300,734,257,29,88,168
17,DOLJ,"ŞCOALA PRIMARĂ BALASAN",189,"MUNICIPIUL BĂILEŞTI",70316,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:14:23",463,460,0,3,0,250,247,0,3,0,237,13,500,250,118,3,15,101
