precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL MESTEACĂN",57,"MUNICIPIUL BRAD",87291,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:25:21",415,408,2,3,2,228,222,1,3,2,221,7,492,264,20,97,80,11,13
22,HUNEDOARA,"CĂMINUL CULTURAL RUDA-BRAD",58,"MUNICIPIUL BRAD",87291,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:06:23",157,151,0,6,0,67,61,0,6,0,63,4,211,144,10,26,23,4,0
22,HUNEDOARA,"CASA DE CULTURA",48,"MUNICIPIUL BRAD",87291,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:03:35",914,903,0,7,4,430,419,0,7,4,417,13,1017,587,69,199,87,47,15
22,HUNEDOARA,"CASA DE CULTURA",47,"MUNICIPIUL BRAD",87291,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:20:49",804,792,5,7,0,352,344,1,7,0,341,11,971,619,26,177,82,50,6
22,HUNEDOARA,"GRĂDINIŢA P.P. ”FLOARE DE COLŢ”",55,"MUNICIPIUL BRAD",87291,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:21:50",1051,1032,2,6,11,464,446,1,6,11,440,24,1163,699,75,187,136,32,10
22,HUNEDOARA,"LICEUL TEORETIC „AVRAM IANCU” BRAD",53,"MUNICIPIUL BRAD",87291,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:51:04",960,951,3,6,0,425,419,0,6,0,411,14,1055,630,79,203,87,34,8
22,HUNEDOARA,"LICEUL TEORETIC „AVRAM IANCU” BRAD",54,"MUNICIPIUL BRAD",87291,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:55:20",1005,1001,2,2,0,453,450,1,2,0,436,17,1113,660,74,181,122,51,8
22,HUNEDOARA,"ȘCOALA GENERALĂ ŢĂRĂŢEL",59,"MUNICIPIUL BRAD",87291,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:11:53",575,567,1,7,0,280,273,0,7,0,275,5,628,348,53,135,50,32,5
22,HUNEDOARA,"ŞCOALA GENERALĂ VALEA BRADULUI",60,"MUNICIPIUL BRAD",87291,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:39:25",583,575,1,7,0,269,262,0,7,0,260,9,653,384,68,104,55,26,7
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ „HOREA CLOŞCA ŞI CRIŞAN”",56,"MUNICIPIUL BRAD",87291,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:11:18",1041,1036,2,3,0,416,413,0,3,0,403,13,1138,722,64,213,62,38,26
22,HUNEDOARA,"ŞCOALA GIMNAZIALA „MIRCEA SÂNTIMBREANU”",49,"MUNICIPIUL BRAD",87291,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:01:54",1373,1370,1,2,0,598,596,0,2,0,577,21,1518,920,79,278,124,83,13
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ „MIRCEA SÂNTIMBREANU”",51,"MUNICIPIUL BRAD",87291,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:19:33",1187,1183,0,4,0,478,474,0,4,0,465,9,1283,705,90,221,109,34,11
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ „MIRCEA SÂNTIMBREANU”",52,"MUNICIPIUL BRAD",87291,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:40:16",1221,1202,2,2,15,480,463,0,2,15,463,17,1325,845,63,290,54,41,15
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ „MIRCEA SÂNTIMBREANU”",50,"MUNICIPIUL BRAD",87291,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:51:45",1179,1176,0,3,0,462,459,0,3,0,452,10,1277,815,80,223,88,58,3
