precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
21,HARGHITA,"COLEGIUL TEHNIC ”BATTHYÁNY IGNÁC”",33,"MUNICIPIUL GHEORGHENI",83561,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:05:36",1919,1897,8,7,7,820,806,0,7,7,794,19,2000,1187,615,32,2,143,2
21,HARGHITA,"CORP DE CLĂDIRE CU 20 DE APARTAMENTE",34,"MUNICIPIUL GHEORGHENI",83561,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:53:17",84,76,0,8,0,42,34,0,8,0,42,0,500,458,15,22,1,3,1
21,HARGHITA,"LICEUL TEHNOLOGIC ”FOGARASY MIHÁLY”",32,"MUNICIPIUL GHEORGHENI",83561,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:42:04",1733,1712,6,12,3,729,714,0,12,3,700,29,1900,1171,535,32,5,122,6
21,HARGHITA,"LICEUL TEORETIC ”SALAMON ERNŐ”",31,"MUNICIPIUL GHEORGHENI",83561,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:45:38",1764,1715,18,24,7,815,784,0,24,7,778,37,1900,1085,558,33,41,142,4
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”KÓS KÁROLY”",25,"MUNICIPIUL GHEORGHENI",83561,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:08:16",1832,1807,16,7,2,710,701,0,7,2,680,30,1800,1090,537,58,23,53,9
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”KÓS KÁROLY”",27,"MUNICIPIUL GHEORGHENI",83561,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:43:54",1773,1760,5,2,6,687,679,0,2,6,666,21,2000,1313,447,72,5,130,12
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”KÓS KÁROLY”",26,"MUNICIPIUL GHEORGHENI",83561,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:55:26",1682,1661,7,14,0,717,702,1,14,0,709,8,1800,1083,471,99,0,130,9
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”VASKERTES”",28,"MUNICIPIUL GHEORGHENI",83561,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:33:49",1623,1596,10,12,5,687,668,2,12,5,673,14,1800,1113,452,70,5,141,5
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”VASKERTES”",30,"MUNICIPIUL GHEORGHENI",83561,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:16:21",1820,1791,17,5,7,838,827,0,5,6,812,16,2000,1171,574,32,2,201,3
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”VASKERTES”",29,"MUNICIPIUL GHEORGHENI",83561,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:09:38",1600,1589,0,8,3,605,594,0,8,3,594,11,1600,995,406,51,4,124,9
