precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PATRIOȚILOR-voturi"
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",78,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:43:28",1838,1826,1,11,0,733,722,0,11,0,685,42,1996,1269,464,121,17,75,8
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",79,"ORAŞ PANTELIMON",179515,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:26:03",1870,1867,0,3,0,722,719,0,3,0,689,33,2117,1395,427,136,16,91,19
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",76,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:12:39",1252,1236,10,6,0,507,501,0,6,0,487,0,1400,913,343,70,11,49,14
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",75,"ORAŞ PANTELIMON",179515,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:36:26",1378,1367,6,5,0,606,601,0,5,0,576,30,1500,894,408,87,17,46,18
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",77,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:25:30",1246,1240,0,6,0,522,516,0,6,0,507,7,1399,885,345,67,16,71,8
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",64,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:46:30",1691,1676,6,9,0,680,669,2,9,0,643,37,1900,1220,456,94,18,65,10
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",66,"ORAŞ PANTELIMON",179515,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:42:05",1856,1843,2,10,1,816,805,0,10,1,778,38,2000,1184,532,127,18,81,20
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",71,"ORAŞ PANTELIMON",179515,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:57:32",1519,1507,8,4,0,611,607,0,4,0,584,27,1700,1089,354,75,24,114,17
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",67,"ORAŞ PANTELIMON",179515,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:52:20",1882,1874,1,7,0,831,824,0,7,0,807,24,2050,1219,496,149,25,112,25
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",69,"ORAŞ PANTELIMON",179515,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:03:32",1508,1493,7,8,0,707,699,0,8,0,677,30,1650,943,484,77,13,90,13
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",65,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:18:16",1762,1750,0,12,0,762,750,0,12,0,736,26,1900,1138,434,98,19,166,19
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",72,"ORAŞ PANTELIMON",179515,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:25:04",1076,1063,5,8,0,480,472,0,8,0,469,11,1200,720,255,117,18,62,17
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",74,"ORAŞ PANTELIMON",179515,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:11:07",1782,1740,30,12,0,643,631,0,12,0,625,18,1900,1257,275,105,16,208,21
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",73,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:30:40",1524,1503,8,13,0,569,556,0,13,0,537,19,1613,1044,243,67,13,191,23
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",63,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:57:36",1567,1552,3,11,1,650,638,0,11,1,622,27,1700,1049,416,76,34,81,15
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",70,"ORAŞ PANTELIMON",179515,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:41:55",1558,1550,1,7,0,738,731,0,7,0,700,38,1700,962,535,91,18,36,20
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",68,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:26:33",1242,1236,0,6,0,528,522,0,6,0,494,31,1400,872,354,60,12,54,14
