precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL VERTICALA NOUĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL VERDE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","FORȚA DREPTEI-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ZAINEA SERGIU-FLORIAN-voturi"
26,MARAMUREŞ,"ADMINISTRAȚIA BAZELOR SPORTIVE",47,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:11:01",1390,1373,5,12,0,637,625,0,12,0,609,16,1500,875,129,43,32,145,84,7,7,8,98,13,8,7,20,2,1,5
26,MARAMUREŞ,"AGENȚIA DE PLĂȚI ȘI INTERVENȚIE PENTRU AGRICULTURĂ MARAMUREȘ",1,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:07:55",1741,1711,16,14,0,917,903,0,14,0,898,19,1800,883,196,34,77,229,136,3,18,7,129,22,4,10,21,2,7,3
26,MARAMUREŞ,"ANSAMBLUL FOLCLORIC NAȚIONAL „TRANSILVANIA”",42,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:59:42",1309,1286,12,11,0,579,556,12,11,0,556,14,1400,830,118,63,25,103,75,3,11,12,100,11,4,12,11,0,4,4
26,MARAMUREŞ,"BIBLIOTECA JUDEȚEANĂ „PETRE DULFU”",50,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:18:30",1206,1195,1,9,1,623,613,0,9,1,612,11,1300,677,113,146,33,90,47,4,11,5,100,11,6,4,27,2,5,8
26,MARAMUREŞ,"CENTRUL COMUNITAR ROMANII",84,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:29:48",1116,1105,1,10,0,375,364,1,10,0,313,62,1300,925,49,27,30,108,11,1,27,9,19,1,5,1,21,0,3,1
26,MARAMUREŞ,"CENTRUL „PHOENIX”",71,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:33:37",1332,1321,1,10,0,430,420,0,10,0,397,33,1500,1070,59,23,59,98,51,3,15,5,47,6,0,5,19,3,3,1
26,MARAMUREŞ,"CENTRUL „SALVAȚI FAMILIA”",83,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:53:28",1948,1935,2,11,0,780,769,0,11,0,769,11,2200,1420,170,54,56,145,119,7,19,11,123,13,9,8,17,0,11,7
26,MARAMUREŞ,"CENTRUL „SFÂNTUL FRANCISC DE ASSISI”",79,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:27:42",1380,1370,2,8,0,475,467,0,8,0,455,20,1600,1125,74,27,40,109,59,6,13,8,69,6,4,7,9,3,11,10
26,MARAMUREŞ,"CENTRUL SOCIAL „ASSOC”",46,"MUNICIPIUL BAIA MARE",106318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:41:08",1397,1380,11,6,0,597,591,0,6,0,589,8,1600,1003,114,29,49,139,85,8,10,10,100,8,4,8,12,4,7,2
26,MARAMUREŞ,"CENTRUL UNIVERSITAR NORD - „FACULTATEA DE LITERE”",14,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:36:53",1330,1310,10,9,1,610,599,1,9,1,590,20,1498,888,90,103,22,109,70,7,4,14,112,17,4,4,22,1,4,7
