precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","FORȚA DREPTEI-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA POPORULUI SUVERAN-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BILŢ PETRU-voturi"
26,MARAMUREŞ,"COLEGIUL TEHNIC DE TRANSPORTURI AUTO",118,"ORAŞ BAIA SPRIE",106684,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:33:31",1172,1163,1,6,2,530,522,0,6,2,501,29,1200,670,124,184,29,105,14,8,6,7,1,0,17,6
26,MARAMUREŞ,"COLEGIUL TEHNIC DE TRANSPORTURI AUTO",121,"ORAŞ BAIA SPRIE",106684,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:41:47",1241,1213,1,11,16,581,554,0,11,16,569,12,1400,819,181,109,56,110,55,6,2,0,10,4,29,7
26,MARAMUREŞ,"COLEGIUL TEHNIC DE TRANSPORTURI AUTO",120,"ORAŞ BAIA SPRIE",106684,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:19:21",1056,1046,1,8,1,412,403,0,8,1,402,10,1100,688,153,57,29,83,29,11,2,8,3,3,15,9
26,MARAMUREŞ,"COLEGIUL TEHNIC DE TRANSPORTURI AUTO",119,"ORAŞ BAIA SPRIE",106684,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:55:08",1228,1215,3,6,4,602,592,0,6,4,570,4,1300,726,192,156,29,110,38,7,6,4,3,1,21,3
26,MARAMUREŞ,"SALA DE SPORT",124,"ORAŞ BAIA SPRIE",106684,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:54:49",1045,1039,3,2,1,567,564,0,2,1,554,13,1200,633,166,24,52,183,48,20,5,5,10,18,17,6
26,MARAMUREŞ,"SALA DE SPORT",125,"ORAŞ BAIA SPRIE",106684,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:49:54",1234,1226,1,7,0,524,517,0,7,0,508,16,1300,776,144,64,48,153,32,9,1,10,6,6,22,13
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ",126,"ORAŞ BAIA SPRIE",106684,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:03:53",516,514,1,1,0,283,282,0,1,0,275,8,658,375,87,6,23,27,73,3,0,1,0,1,4,50
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ",122,"ORAŞ BAIA SPRIE",106684,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:38:39",1557,1546,3,7,1,546,537,1,7,1,520,26,1700,1154,151,52,70,137,25,12,24,5,5,8,26,5
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ",123,"ORAŞ BAIA SPRIE",106684,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:57:02",1481,1465,1,10,5,614,599,0,10,5,591,23,1700,1086,165,88,61,143,62,12,1,13,2,9,26,9
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „IOAN SLAVICI”",127,"ORAŞ BAIA SPRIE",106684,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:16:18",1002,991,2,9,0,553,544,0,9,0,538,12,1000,446,323,4,29,92,48,13,2,11,0,2,7,7
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „IOAN SLAVICI”",128,"ORAŞ BAIA SPRIE",106684,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:40:29",1290,1272,2,9,7,534,518,0,9,7,513,21,1500,966,81,34,63,110,83,4,19,21,3,5,86,4
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „IOAN SLAVICI”",129,"ORAŞ BAIA SPRIE",106684,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:36:49",1262,1255,1,4,2,571,565,0,4,2,550,21,1400,829,139,24,24,130,113,10,4,15,8,10,64,9
