precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SIGHIȘOARA PUTERNICĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ALIANȚA ELECTORALĂ UIPS - FORȚA DREPTEI-voturi"
28,MUREŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.2",115,"MUNICIPIUL SIGHIŞOARA",114514,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:09:48",1195,1188,0,7,0,492,485,0,7,0,481,11,1320,828,94,66,111,37,18,12,69,74
28,MUREŞ,"LICEUL TEHNOLOGIC NR. 2",111,"MUNICIPIUL SIGHIŞOARA",114514,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:57:17",899,877,4,11,7,368,349,1,11,7,353,15,1000,632,38,32,82,37,18,15,62,69
28,MUREŞ,"LICEUL TEHNOLOGIC NR. 2",110,"MUNICIPIUL SIGHIŞOARA",114514,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:40:46",1042,1030,10,2,0,392,389,1,2,0,378,14,1150,758,52,48,109,52,18,5,50,44
28,MUREŞ,"LICEUL TEORETIC ”JOSEPH HALTRICH”",114,"MUNICIPIUL SIGHIŞOARA",114514,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:08:03",1047,1027,11,6,3,352,343,0,6,3,334,18,1140,788,51,35,63,49,11,9,48,68
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”AUREL MOSORA”",126,"MUNICIPIUL SIGHIŞOARA",114514,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:41:53",1346,1334,3,6,3,583,574,0,6,3,565,18,1470,887,73,94,138,45,22,12,84,97
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”AUREL MOSORA”",127,"MUNICIPIUL SIGHIŞOARA",114514,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:47:46",1280,1267,8,3,2,546,540,1,3,2,529,17,1420,874,76,71,104,72,22,12,93,79
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”MIRON NEAGU”",113,"MUNICIPIUL SIGHIŞOARA",114514,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:35:56",1270,1258,6,6,0,478,470,2,6,0,456,22,1400,922,57,54,100,41,37,6,50,111
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”MIRON NEAGU”",112,"MUNICIPIUL SIGHIŞOARA",114514,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:14:37",1303,1291,5,7,0,454,446,1,7,0,445,9,1430,976,56,63,82,49,21,21,49,104
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ” NICOLAE IORGA ”",117,"MUNICIPIUL SIGHIŞOARA",114514,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:56:06",938,935,0,3,0,379,376,0,3,0,372,7,1040,661,53,73,80,36,22,6,47,55
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ” NICOLAE IORGA ”",119,"MUNICIPIUL SIGHIŞOARA",114514,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:00:07",1086,1081,0,5,0,368,363,0,5,0,356,12,1200,832,40,69,73,34,18,10,33,79
