precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi"
28,MUREŞ,"CAMIN CULTURAL BAND",248,BAND,115389,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:46:53",1022,1013,1,8,0,506,497,1,8,0,383,123,1190,684,83,10,58,97,51,84
28,MUREŞ,"CĂMIN CULTURAL OROIU",255,BAND,115389,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:08:38",236,228,0,8,0,123,115,0,8,0,115,8,250,127,52,12,2,46,2,1
28,MUREŞ,"CĂMINUL CULTURAL DRĂCULEA BANDULUI",250,BAND,115389,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:13:36",95,89,0,6,0,46,40,0,6,0,44,2,100,54,8,17,2,11,5,1
28,MUREŞ,"GRĂDINIȚA CU PROGRAM NORMAL BAND",249,BAND,115389,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:43:47",770,763,0,6,1,446,439,0,6,1,380,66,852,406,63,16,5,148,136,12
28,MUREŞ,"SALĂ FESTIVĂ ȚIPTELNIC",257,BAND,115389,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:40:53",108,102,0,6,0,58,52,0,6,0,54,4,120,62,10,9,1,28,3,3
28,MUREŞ,"SALĂ ȘEDINȚĂ-PAROHIA REFORMATĂ NEGRENII DE CÂMPIE",254,BAND,115389,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:20:13",107,97,0,10,0,59,49,0,10,0,56,3,110,51,11,18,2,6,19,0
28,MUREŞ,"ŞCOALA GIMNAZIALĂ FÂNAȚE",251,BAND,115389,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:38:47",310,304,0,6,0,155,149,0,6,0,146,9,340,185,66,57,2,17,3,1
28,MUREŞ,"ŞCOALA PRIMARĂ FÂNAȚE",252,BAND,115389,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:46:45",175,169,0,6,0,90,84,0,6,0,88,2,190,100,29,36,2,16,3,2
28,MUREŞ,"ȘCOALA PRIMARĂ MĂRĂȘEȘTI",253,BAND,115389,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:46:24",263,255,0,7,1,167,159,0,7,1,164,3,280,113,49,43,1,57,12,2
28,MUREŞ,"ŞCOALA PRIMARĂ PETEA",256,BAND,115389,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:46:47",165,159,0,6,0,87,81,0,6,0,84,3,180,93,40,11,1,31,0,1
28,MUREŞ,"ȘCOALA PRIMARĂ VALEA RECE",258,BAND,115389,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:52:38",204,196,0,8,0,92,84,0,8,0,87,5,220,128,29,5,1,44,4,4
28,MUREŞ,"SCOALA PROFESIONALA BAND",246,BAND,115389,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:47:42",676,668,0,8,0,387,379,0,8,0,373,14,721,333,92,21,5,89,163,3
28,MUREŞ,"ȘCOALA PROFESIONALĂ BAND",247,BAND,115389,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:17:00",776,771,1,2,2,363,359,0,2,2,314,38,845,493,44,7,23,71,163,6
