precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
30,OLT,"CENTRUL CULTURAL MUNICIPAL CARACAL",61,"MUNICIPIUL CARACAL",125472,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:46:07",1148,1111,0,20,17,671,634,0,20,17,648,23,1246,575,408,45,47,129,19
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL NR.4",51,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:07:05",1521,1498,1,13,9,740,718,0,13,9,717,12,1665,936,471,39,54,135,18
30,OLT,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.1",50,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:54:03",1823,1818,0,5,0,777,772,0,5,0,719,58,2011,1234,513,34,51,98,23
30,OLT,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.3",55,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:25:39",1533,1522,1,10,0,632,622,0,10,0,616,16,1691,1059,372,24,61,141,18
30,OLT,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",60,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:42:14",1513,1490,0,11,12,690,667,0,11,12,666,24,1650,960,435,29,89,98,15
30,OLT,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.4",59,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:43:23",1486,1477,0,5,4,678,669,0,5,4,670,8,1643,961,417,35,67,119,32
30,OLT,"LICEUL MIHAI VITEAZUL",53,"MUNICIPIUL CARACAL",125472,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:20:14",1288,1233,1,7,47,625,571,0,7,47,591,34,1430,805,351,52,54,115,19
30,OLT,"LICEUL TEHNOLOGIC CONSTANTIN FILIPESCU",52,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:00:30",1800,1788,3,6,3,759,750,0,6,3,732,27,1976,1217,469,31,98,116,18
30,OLT,"LICEUL TEHNOLOGIC MATEI BASARAB",54,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:29:29",1640,1603,1,33,3,727,691,0,33,3,708,19,1785,1058,446,58,61,126,17
30,OLT,"LICEUL TEORETIC IONIŢĂ ASAN",49,"MUNICIPIUL CARACAL",125472,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:30:32",1776,1762,0,9,5,686,672,0,9,5,645,41,1959,1273,510,17,45,61,12
30,OLT,"ŞCOALA GIMNAZIALĂ GHEORGHE MAGHERU",62,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:56:06",1770,1758,0,5,7,896,884,0,5,7,877,19,1954,1057,574,41,112,114,36
30,OLT,"ŞCOALA GIMNAZIALĂ NICOLAE TITULESCU",56,"MUNICIPIUL CARACAL",125472,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:10:32",1448,1444,0,2,2,668,664,0,2,2,652,16,1698,1030,375,29,79,155,14
30,OLT,"ŞCOALA GIMNAZIALĂ NICOLAE TITULESCU",57,"MUNICIPIUL CARACAL",125472,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:39:32",1323,1313,1,9,0,606,597,0,9,0,588,18,1463,857,349,30,48,140,21
30,OLT,"ŞCOALA GIMNAZIALĂ NR.1",65,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:06:35",1515,1510,0,3,2,815,810,0,3,2,778,32,1674,864,501,36,100,131,10
30,OLT,"ŞCOALA GIMNAZIALĂ NR.2",58,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:08:36",1490,1476,0,12,2,691,677,0,12,2,678,13,1644,953,367,44,90,162,15
30,OLT,"ŞCOALA GIMNAZIALĂ NR. 3",63,"MUNICIPIUL CARACAL",125472,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:23:30",1662,1643,0,13,6,850,831,0,13,6,822,28,1821,971,519,138,97,44,24
30,OLT,"ŞCOALA GIMNAZIALĂ NR. 3",64,"MUNICIPIUL CARACAL",125472,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:13:18",1841,1823,1,6,11,933,916,0,6,11,896,37,2024,1091,649,54,95,86,12
