precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","GÂJMAN DORU-voturi"
31,PRAHOVA,"CASA DE CULTURĂ (FOAIER)",277,"ORAŞ VĂLENII DE MUNTE",131817,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:53:37",1082,1063,0,9,10,611,592,0,9,10,583,28,1211,600,47,302,32,8,11,105,30,48
31,PRAHOVA,"CASA DE CULTURĂ (SALA MICĂ)",276,"ORAŞ VĂLENII DE MUNTE",131817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:28:00",1342,1330,0,7,5,748,736,0,7,5,728,20,1500,752,69,340,56,21,15,122,48,57
31,PRAHOVA,"CENTRUL CULTURAL ”NICOLAE IORGA” VĂLENII DE MUNTE (BIBLIOTECA ORĂȘENEASCĂ ”MIRON RADU PARASCHIVESCU”)",275,"ORAŞ VĂLENII DE MUNTE",131817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:57:09",970,961,1,7,1,499,491,0,7,1,490,9,1093,594,40,243,49,6,12,89,12,39
31,PRAHOVA,"CLUBUL COPIILOR",278,"ORAŞ VĂLENII DE MUNTE",131817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:45:04",863,856,3,4,0,453,449,0,4,0,438,15,900,447,24,207,36,12,13,80,29,37
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1",280,"ORAŞ VĂLENII DE MUNTE",131817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:10:10",1424,1412,1,1,10,774,763,0,1,10,757,17,1605,831,53,372,60,19,17,143,38,55
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL NR. 4",281,"ORAŞ VĂLENII DE MUNTE",131817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:13:21",960,954,0,5,1,544,538,0,5,1,525,19,1002,458,64,292,28,10,8,72,16,35
31,PRAHOVA,"LICEUL TEHNOLOGIC AGROMONTAN ”ROMEO CONSTANTINESCU”",282,"ORAŞ VĂLENII DE MUNTE",131817,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:48:20",945,937,0,7,1,500,492,0,7,1,485,15,1000,500,44,249,24,10,14,85,12,47
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ ”INGINER GHEORGHE PĂNCULESCU”",279,"ORAŞ VĂLENII DE MUNTE",131817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:45:35",1247,1242,1,4,0,675,671,0,4,0,654,21,1400,725,48,333,52,36,23,102,22,38
31,PRAHOVA,"ȘCOALA PRIMARĂ NR.2 (VALEA GARDULUI)",284,"ORAŞ VĂLENII DE MUNTE",131817,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:59:37",836,830,0,6,0,543,537,0,6,0,524,19,936,393,54,318,33,8,6,66,12,27
31,PRAHOVA,"ȘCOALA PRIMARĂ NR.4 (MIULEȘTI)",283,"ORAŞ VĂLENII DE MUNTE",131817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:02:33",1247,1240,3,4,0,641,636,1,4,0,619,22,1300,659,59,257,41,10,13,114,58,67
