precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","FORȚA DREPTEI-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi"
31,PRAHOVA,"CABANA DE VANATOARE",607,"VALEA CĂLUGĂREASCĂ",135949,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:06:47",92,83,0,9,0,45,36,0,9,0,44,1,98,53,28,5,6,1,1,2,1,0
31,PRAHOVA,"CAMIN CULTURAL",601,"VALEA CĂLUGĂREASCĂ",135949,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:56:08",1129,1117,0,12,0,594,582,0,12,0,574,20,1200,606,270,51,160,6,21,29,26,11
31,PRAHOVA,"COLEGIUL AGRICOL GHEORGHE IONESCU SISESTI",609,"VALEA CĂLUGĂREASCĂ",135949,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:17:18",769,763,0,5,1,335,329,0,5,1,317,18,800,465,154,34,77,10,17,13,7,5
31,PRAHOVA,"GRADINITA COSLEGI",602,"VALEA CĂLUGĂREASCĂ",135949,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:37:56",539,532,0,7,0,280,273,0,7,0,273,6,600,321,199,14,37,2,9,1,10,1
31,PRAHOVA,"GRADINITA CU PROGRAM NORMAL CASUTA FERMECATA SAT RACHIERI",605,"VALEA CĂLUGĂREASCĂ",135949,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:05:41",1204,1197,0,7,0,638,631,0,7,0,591,47,1300,662,323,39,212,1,7,4,4,1
31,PRAHOVA,"GRADINITA DIRVARI",603,"VALEA CĂLUGĂREASCĂ",135949,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:50:03",480,473,0,7,0,281,274,0,7,0,266,15,500,219,220,9,23,1,4,4,4,1
31,PRAHOVA,"GRADINITA RADILA",606,"VALEA CĂLUGĂREASCĂ",135949,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:33:23",241,233,0,5,3,127,119,0,5,3,120,7,300,173,64,12,20,1,19,1,3,0
31,PRAHOVA,"SCOALA GIMNAZIALA ION IONESCU VALEA CALUGAREASCA",600,"VALEA CĂLUGĂREASCĂ",135949,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:41:10",933,933,0,0,0,435,435,0,0,0,421,14,1000,565,275,27,80,7,16,12,3,1
31,PRAHOVA,"SCOALA GIMNAZIALA ION IONESCU VALEA CALUGAREASCA",599,"VALEA CĂLUGĂREASCĂ",135949,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:01:45",1358,1348,4,5,1,629,623,0,5,1,611,18,1574,945,336,29,130,5,58,31,17,5
31,PRAHOVA,"SCOAL GIMNAZIALA NICOVANI",608,"VALEA CĂLUGĂREASCĂ",135949,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:12:20",1155,1151,0,4,0,568,564,0,4,0,542,26,1300,732,266,60,143,8,16,34,13,2
31,PRAHOVA,"SCOAL PRIMARA PANTAZI",604,"VALEA CĂLUGĂREASCĂ",135949,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:46:34",946,941,0,5,0,412,407,0,5,0,398,14,1000,588,245,38,68,10,11,11,13,2
