precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ILIEŞ BOGDAN-voturi"
33,SĂLAJ,"CASA MUNICIPALĂ DE CULTURĂ",2,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:36:23",1881,1852,15,8,6,948,934,0,8,6,934,10,2050,1092,115,286,61,387,40,5,3,28,9
33,SĂLAJ,"CLĂDIREA TRANSILVANIA",10,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:11:30",1336,1312,13,10,1,638,627,0,10,1,624,14,1400,762,104,282,63,101,30,6,2,27,9
33,SĂLAJ,"CLUB S.C. COMPANIA DE APĂ SOMEŞ S.A. SUCURSALA MUNICIPIULUI ZALĂU",37,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:22:19",1206,1199,2,5,0,484,479,0,5,0,477,7,1350,866,86,206,44,62,28,4,5,29,13
33,SĂLAJ,"COLEGIUL NAŢIONAL ”SILVANIA”",1,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:27:16",1908,1859,38,9,2,982,970,1,9,2,967,15,2056,1074,205,330,75,244,42,17,2,39,13
33,SĂLAJ,"COLEGIUL TEHNIC ”ALESANDRU PAPIU ILARIAN”",33,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:47:32",1062,1056,0,6,0,401,395,0,6,0,394,7,1200,799,61,168,16,61,38,5,2,30,13
33,SĂLAJ,"COLEGIUL TEHNIC ”ALESANDRU PAPIU ILARIAN”",34,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:46:32",881,874,0,7,0,365,358,0,7,0,353,12,1000,635,56,172,23,59,21,5,1,12,4
33,SĂLAJ,"DIRECŢIA DE SĂNĂTATE PUBLICĂ SĂLAJ",9,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:37:24",1074,1049,14,11,0,533,522,0,11,0,520,13,1150,617,95,221,32,100,39,8,1,14,10
33,SĂLAJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”LICURICI”",29,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:24:33",1636,1619,4,10,3,623,610,0,10,3,609,14,1849,1223,109,254,56,63,66,13,1,32,15
33,SĂLAJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 1",3,"MUNICIPIUL ZALĂU",139704,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:12:06",1859,1832,20,6,1,894,887,0,6,1,881,13,2000,1106,156,318,68,231,41,14,3,40,10
33,SĂLAJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PITICII ISTEȚI”",32,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:35:03",1529,1495,2,10,22,632,599,1,10,22,628,4,1650,1018,115,283,50,55,63,23,1,26,12
