precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","GRIGORAŞ EMIL-voturi"
35,SUCEAVA,"SCOALA ANTOCENI",311,FORĂŞTI,148514,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:43:51",263,252,0,5,6,147,136,0,5,6,137,9,320,173,14,62,0,53,6,2
35,SUCEAVA,"SCOALA GIMNAZIALA ONICENI",315,FORĂŞTI,148514,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:36:02",774,762,1,3,8,401,390,0,3,8,386,15,840,439,47,124,1,180,20,14
35,SUCEAVA,"SCOALA PRIMARA BOURA",312,FORĂŞTI,148514,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:53:59",463,448,1,5,9,262,248,0,5,9,254,8,510,248,11,74,19,118,31,1
35,SUCEAVA,"SCOALA PRIMARA RUSI",317,FORĂŞTI,148514,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:37:10",196,186,0,5,5,196,186,0,5,5,188,8,323,127,34,51,1,93,8,1
35,SUCEAVA,"SCOALA PRIMARA UIDESTI",319,FORĂŞTI,148514,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:07:59",137,131,0,5,1,86,80,0,5,1,84,2,134,48,5,20,1,54,4,0
35,SUCEAVA,"SCOALA ROSIORI",316,FORĂŞTI,148514,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:33:14",295,280,0,8,7,168,153,0,8,7,161,7,309,141,19,34,2,95,8,3
35,SUCEAVA,"SCOALA TOLESTI",318,FORĂŞTI,148514,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:43:46",306,297,0,5,4,196,187,0,5,4,184,12,330,134,3,104,2,67,7,1
35,SUCEAVA,"SCOALA VIISOARA, CATUN VIISOARA",314,FORĂŞTI,148514,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 00:45:36",164,157,0,3,4,101,94,0,3,4,94,7,180,79,4,31,14,45,0,0
35,SUCEAVA,"SEDIUL FOSTEI PRIMARII MANOLEA",313,FORĂŞTI,148514,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:48:40",384,372,0,7,5,220,208,0,7,5,212,5,420,203,4,46,61,96,5,0
35,SUCEAVA,"SEDIUL PRIMARIEI FORASTI",310,FORĂŞTI,148514,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:01:12",476,457,0,4,15,270,251,0,4,15,253,17,530,260,35,79,1,124,11,3
