precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ROMÂNIA PUTERNICĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","INDEPENDENȚII COMUNEI MOȘNIȚA-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","PARTIDUL LIBERAL TIMIȘ-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
37,TIMIŞ,"CLĂDIREA COMUNEI MOȘNIȚA NOUĂ FOSTA ȘCOALĂ PRIMARĂ ALBINA",481,"MOŞNIŢA NOUĂ",157834,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:53:59",415,399,0,16,0,270,254,0,16,0,261,9,600,330,34,23,48,116,1,0,21,7,3,1,5,2
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ COMUNA MOȘNIȚA NOUĂ",480,"MOŞNIŢA NOUĂ",157834,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:30:48",1368,1342,0,25,1,871,845,0,25,1,858,13,1600,729,51,66,128,196,6,5,205,84,2,8,87,20
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ COMUNA MOȘNIȚA NOUĂ",479,"MOŞNIŢA NOUĂ",157834,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:34:43",1467,1437,8,15,7,783,761,0,15,7,773,10,1600,817,62,55,86,211,7,4,159,64,4,4,79,38
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ MOȘNIȚA NOUĂ",478,"MOŞNIŢA NOUĂ",157834,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:32:37",1757,1721,5,31,0,1112,1081,0,31,0,1101,11,1800,688,55,70,119,254,6,4,224,145,1,17,131,75
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ MOȘNIȚA NOUĂ",477,"MOŞNIŢA NOUĂ",157834,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:26:04",1572,1555,4,6,7,886,873,0,6,7,856,30,1700,814,172,67,107,205,8,3,67,73,4,10,121,19
37,TIMIŞ,"ŞCOALA PRIMARĂ MOŞNIŢA VECHE",482,"MOŞNIŢA NOUĂ",157834,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:57:42",1732,1716,8,8,0,938,929,1,8,0,909,28,1800,863,37,97,200,213,5,6,76,48,32,45,131,19
37,TIMIŞ,"ŞCOALA PRIMARĂ MOŞNIŢA VECHE",483,"MOŞNIŢA NOUĂ",157834,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:18:44",1639,1607,18,14,0,1029,1013,2,14,0,1010,19,1600,571,34,81,119,194,7,4,218,137,4,40,141,31
37,TIMIŞ,"ȘCOALA PRIMARĂ MOȘNIȚA VECHE",484,"MOŞNIŢA NOUĂ",157834,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:04:08",1885,1849,12,24,0,1192,1168,0,24,0,1160,14,2009,817,39,43,140,255,7,8,358,104,5,14,123,64
37,TIMIŞ,"ŞCOALA PRIMARĂ URSENI",485,"MOŞNIŢA NOUĂ",157834,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:54:00",1207,1184,7,12,4,676,660,0,12,4,653,20,1200,527,29,53,86,151,17,5,122,53,22,7,76,32
37,TIMIŞ,"ȘCOALA PRIMARĂ URSENI",486,"MOŞNIŢA NOUĂ",157834,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:39:56",1125,1107,7,9,2,622,611,0,9,2,605,17,1177,555,58,64,100,139,63,14,75,18,6,6,49,13
