precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ZÎRNĂ CRISTIAN-voturi"
41,VRANCEA,"AGENŢIA JUDEŢEANĂ PENTRU PLĂŢI ŞI INSPECŢIE SOCIALĂ",33,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:54:14",1393,1384,0,9,0,541,532,0,9,0,513,28,1528,987,225,122,56,7,16,72,15
41,VRANCEA,"ATENEUL POPULAR „MAIOR GHEORGHE PASTIA” FOCȘANI",3,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:49:13",637,623,0,14,0,637,623,0,14,0,616,20,1540,903,281,149,53,86,13,14,20
41,VRANCEA,"COLEGIUL NAŢIONAL ”AL. I. CUZA”",22,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:53:23",853,838,2,8,5,354,341,0,8,5,345,9,927,573,130,81,41,6,11,61,15
41,VRANCEA,"COLEGIUL NAȚIONAL PEDAGOGIC „SPIRU HARET” FOCȘANI",41,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:52:34",1608,1601,1,6,0,757,751,0,6,0,746,11,1768,1011,323,172,85,24,22,99,21
41,VRANCEA,"COLEGIUL NAŢIONAL ”UNIREA”",30,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:24:29",1096,1083,3,8,2,419,409,0,8,2,401,18,1200,781,189,87,35,8,16,57,9
41,VRANCEA,"COLEGIUL TEHNIC AUTO „TRAIAN VUIA”",8,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:27:58",679,670,2,7,0,337,330,0,7,0,328,9,745,408,127,93,35,5,11,48,9
41,VRANCEA,"COLEGIUL TEHNIC AUTO „TRAIAN VUIA”",9,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:38:54",1044,1035,1,8,0,480,472,0,8,0,468,12,1139,659,188,138,43,16,12,59,12
41,VRANCEA,"COLEGIUL TEHNIC ”EDMOND NICOLAU”",34,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:37:36",1139,1131,0,8,0,491,483,0,8,0,476,15,1254,763,204,130,32,4,18,64,24
41,VRANCEA,"COLEGIUL TEHNIC „GHEORGHE ASACHI” FOCȘANI",23,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:09:00",1314,1310,0,3,1,560,556,0,3,1,546,14,1472,912,239,116,64,8,18,87,14
41,VRANCEA,"COLEGIUL TEHNIC „GHEORGHE ASACHI” FOCȘANI",24,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:59:47",1573,1560,3,10,0,624,613,1,10,0,612,12,1750,1126,285,138,61,8,22,79,19
41,VRANCEA,"COLEGIUL TEHNIC „ION MINCU” FOCȘANI",26,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:34:47",944,937,0,7,0,419,412,0,7,0,398,13,1041,629,152,127,34,9,9,52,15
41,VRANCEA,"COLEGIUL TEHNIC „ION MINCU” FOCȘANI",27,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:20:20",860,853,0,7,0,359,352,0,7,0,344,15,943,584,135,74,64,3,12,46,10
41,VRANCEA,"COLEGIUL TEHNIC „ION MINCU” FOCȘANI",25,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:36:43",994,984,0,8,2,392,382,0,8,2,369,23,1085,693,160,79,48,6,19,46,11
41,VRANCEA,"COLEGIUL TEHNIC ”VALERIU D. COTEA”",21,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-11 19:36:14",1283,1251,3,11,18,573,549,0,11,13,560,13,1371,798,249,130,56,15,25,69,16
41,VRANCEA,"DIRECŢIA JUDEŢEANĂ A SPORTURILOR VRANCEA",37,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:50:26",1364,1350,1,13,0,564,551,0,13,0,543,21,1494,930,246,114,62,12,27,74,8
41,VRANCEA,"DIRECŢIA SANITAR-VETERINARĂ",55,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 15:35:30",1829,1812,0,10,7,858,841,0,10,7,828,30,2002,1144,393,180,79,10,32,115,19
41,VRANCEA,"DIRECTIA SILVICĂ VRANCEA",1,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:34:36",1326,1313,0,13,0,595,582,0,13,0,566,23,1450,855,273,119,54,10,29,63,18
41,VRANCEA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4 FOCȘANI",57,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:35:45",1549,1543,0,6,0,672,666,0,6,0,646,26,1700,1028,306,168,63,15,13,63,18
41,VRANCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 1",54,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:59:43",897,885,2,10,0,362,352,0,10,0,348,14,976,614,181,51,47,9,4,42,14
41,VRANCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 13",52,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:26:18",1665,1655,0,10,0,709,699,0,10,0,689,20,1832,1123,293,168,75,21,28,81,23
41,VRANCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 13",53,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:15:56",1773,1753,1,17,2,802,783,0,17,2,780,20,1936,1136,373,168,83,22,21,88,25
41,VRANCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 15",16,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:08:40",1700,1692,0,8,0,754,746,0,8,0,715,35,1866,1116,290,176,72,24,29,98,26
41,VRANCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 15",15,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:47:35",884,879,1,4,0,398,393,1,4,0,379,19,963,565,164,89,43,10,21,38,14
41,VRANCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 15 FOCȘANI",14,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 12:02:42",1460,1454,0,6,0,598,592,0,6,0,572,26,1609,1011,257,119,65,10,22,75,24
41,VRANCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 16",28,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-11 12:30:19",1261,1249,0,12,0,461,449,0,12,0,448,13,1383,922,198,94,34,8,21,75,18
41,VRANCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 16",29,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:56:11",1550,1540,0,10,0,588,578,0,10,0,573,15,1710,1122,288,113,53,18,22,64,15
