precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
41,VRANCEA,"LICEUL TEHNOLOGIC ”EREMIA GRIGORESCU”",77,"ORAŞ MĂRĂŞEŞTI",174922,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:03:06",1563,1552,5,5,1,593,586,1,5,1,570,17,931,344,34,271,114,95,12,44
41,VRANCEA,"LICEUL TEHNOLOGIC ”EREMIA GRIGORESCU”",78,"ORAŞ MĂRĂŞEŞTI",174922,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:15:14",1417,1384,2,4,27,578,547,0,4,27,553,24,1524,945,35,211,141,98,28,40
41,VRANCEA,"ŞCOALA DOAGA",81,"ORAŞ MĂRĂŞEŞTI",174922,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:00:59",222,214,0,8,0,77,69,0,8,0,70,7,235,158,1,16,24,14,6,9
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”ECATERINA TEODOROIU”",75,"ORAŞ MĂRĂŞEŞTI",174922,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:39:19",766,759,0,5,2,320,313,0,5,2,301,9,843,523,8,97,115,60,7,14
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”ECATERINA TEODOROIU”",74,"ORAŞ MĂRĂŞEŞTI",174922,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:03:18",1333,1324,0,3,6,646,637,0,3,6,617,23,1455,815,30,219,188,134,15,31
41,VRANCEA,"ŞCOALA GIMNAZIALĂ NR.2",79,"ORAŞ MĂRĂŞEŞTI",174922,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:49:27",1156,1144,3,8,1,444,435,0,8,1,428,16,1258,814,34,170,112,60,15,37
41,VRANCEA,"ŞCOALA GIMNAZIALĂ NR.2",80,"ORAŞ MĂRĂŞEŞTI",174922,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:01:20",307,297,0,9,1,119,109,0,9,1,115,4,328,209,7,41,35,20,5,7
41,VRANCEA,"ŞCOALA PĂDURENI",84,"ORAŞ MĂRĂŞEŞTI",174922,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:47:43",413,401,0,10,2,203,191,0,10,2,197,6,440,237,5,68,22,87,1,14
41,VRANCEA,"ŞCOALA PRIMARĂ CĂLIMĂNEŞTI",82,"ORAŞ MĂRĂŞEŞTI",174922,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:16:25",466,460,0,6,0,244,238,0,6,0,228,16,504,260,7,100,70,25,8,18
41,VRANCEA,"ŞCOALA PRIMARĂ HARET",83,"ORAŞ MĂRĂŞEŞTI",174922,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:57:39",304,297,0,5,2,304,297,0,5,2,277,27,585,281,25,90,69,48,12,33
41,VRANCEA,"ŞCOALA PRIMARĂ ”SIRETU”",76,"ORAŞ MĂRĂŞEŞTI",174922,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:34:28",1913,1904,0,7,2,722,713,0,7,2,602,120,2099,1377,7,196,285,49,14,51
