precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NOUA DREAPTĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","SÂRBU BOGDAN-IOAN-voturi","VLAŞIN ORANIA-voturi","RACOVIŢĂ IOAN-voturi"
39,VASLUI,"COLEGIUL NAŢIONAL ”GHEORGHE ROŞCA CODREANU”",93,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:57:03",940,932,0,8,0,355,347,0,8,0,339,16,1000,645,24,47,139,48,1,4,6,12,26,12,20
39,VASLUI,"COLEGIUL NAŢIONAL ”GHEORGHE ROŞCA CODREANU”",94,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:04:32",1469,1463,0,6,0,475,469,0,6,0,450,25,1600,1125,29,40,203,83,3,6,26,26,22,8,4
39,VASLUI,"COLEGIUL NAŢIONAL ”GHEORGHE ROŞCA CODREANU”",95,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:32:57",976,964,0,3,9,402,393,0,0,9,385,17,1000,598,44,48,164,57,6,2,12,8,19,10,15
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”LICURICI”",133,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:19:46",813,807,0,6,0,319,313,0,6,0,305,14,1015,696,18,31,110,61,1,6,7,19,41,6,5
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”LICURICI”",132,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:25:55",1243,1241,0,2,0,505,503,0,2,0,495,10,1400,895,35,62,203,88,1,3,10,26,46,12,9
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”LICURICI”",131,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:34:06",1132,1128,0,4,0,441,437,0,4,0,434,7,1200,759,27,34,192,77,1,2,16,18,40,13,14
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 5",96,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:01:05",1058,1052,0,5,1,453,447,0,5,1,410,20,1200,746,33,55,171,71,4,6,13,16,23,11,7
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 5",97,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:00:56",841,833,0,8,0,322,314,0,8,0,308,14,1000,678,15,44,126,50,1,1,11,10,40,4,6
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 9",103,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:27:29",1464,1461,0,3,0,386,383,0,3,0,373,13,2000,1614,25,22,184,63,1,6,14,14,22,21,1
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 9",109,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:19:28",1307,1301,0,6,0,424,418,0,6,0,412,12,1400,976,30,49,219,51,3,4,12,15,20,6,3
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 9",104,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:27:34",1259,1217,0,9,33,453,411,0,9,33,438,15,1400,947,23,52,209,54,4,8,18,24,31,11,4
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 9",105,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:06:57",1276,1270,0,6,0,509,503,0,6,0,494,15,1400,891,50,50,230,77,1,1,9,21,34,17,4
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 9",106,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:22:02",1126,1121,0,5,0,328,323,0,5,0,312,16,1200,872,31,37,154,40,0,3,10,15,11,6,5
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 9",107,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:23:57",1159,1159,0,0,0,421,421,0,0,0,407,14,1200,779,28,47,206,55,2,3,16,13,23,10,4
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 9",108,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:03:31",1292,1285,1,6,0,447,441,0,6,0,430,17,1400,953,32,37,211,69,3,5,8,20,32,11,2
39,VASLUI,"LICEUL PEDAGOGIC ”IOAN POPESCU”",129,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:26:18",1326,1321,1,4,0,466,462,0,4,0,451,15,1600,1134,43,53,219,47,0,5,15,26,31,7,5
39,VASLUI,"LICEUL PEDAGOGIC ”IOAN POPESCU”",128,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:26:33",1261,1254,0,7,0,452,445,0,7,0,437,15,1300,848,38,51,172,84,1,4,9,22,33,16,7
39,VASLUI,"LICEUL PEDAGOGIC ”IOAN POPESCU”",127,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:52:55",1056,1051,1,4,0,391,387,0,4,0,382,9,1200,809,33,39,166,73,1,4,12,9,23,14,8
39,VASLUI,"LICEUL PEDAGOGIC ”IOAN POPESCU”",130,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:57:31",1124,1119,0,4,1,383,378,0,4,1,365,18,1200,817,31,50,134,61,3,7,20,25,19,8,7
39,VASLUI,"LICEUL TEHNOLOGIC ”PETRU RAREŞ”",110,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:27:30",1000,996,1,3,0,385,382,0,3,0,372,13,1200,815,41,35,172,34,5,3,13,21,16,27,5
39,VASLUI,"LICEUL TEHNOLOGIC ”PETRU RAREŞ”",112,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:31:21",1426,1419,1,6,0,465,459,0,6,0,449,16,1600,1129,44,42,187,67,2,1,21,31,24,22,8
39,VASLUI,"LICEUL TEHNOLOGIC ”PETRU RAREŞ”",111,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:47:02",1344,1337,2,5,0,556,551,0,5,0,523,33,1400,844,40,61,264,58,3,7,22,33,18,13,4
39,VASLUI,"SALA DE SPORT A ȘCOLII GIMNAZIALE ”EPISCOP IACOV ANTONOVICI”",101,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:43:33",1423,1419,0,4,0,473,469,0,4,0,449,24,1600,1127,38,65,186,61,1,3,11,9,52,18,5
