precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
39,VASLUI,"CASA DE CULTURĂ A SINDICATELOR ”CONSTANTIN TĂNASE”",2,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:34:58",1499,1491,3,5,0,531,525,1,5,0,493,23,1600,1084,221,59,68,125,6,14
39,VASLUI,"CASA DE CULTURĂ A SINDICATELOR ”CONSTANTIN TĂNASE”",1,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:08:21",1391,1383,0,5,3,601,593,0,5,3,570,26,1400,804,272,60,73,139,9,17
39,VASLUI,"CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ",4,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 00:22:04",1738,1733,0,5,0,12,7,0,5,0,10,2,1800,1788,1,1,2,2,2,2
39,VASLUI,"CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ",3,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:41:44",1842,1834,1,7,0,144,137,0,7,0,135,9,2000,1856,64,24,17,25,2,3
39,VASLUI,"CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",28,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:14:32",943,936,0,6,1,259,252,0,6,1,244,15,1000,741,88,38,28,76,9,5
39,VASLUI,"CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",26,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:26:49",1777,1768,0,9,0,21,12,0,9,0,21,0,2000,1979,10,3,2,3,2,1
39,VASLUI,"CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",25,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:56:03",1859,1853,0,4,2,721,715,0,4,2,704,17,1853,1132,298,108,102,167,21,8
39,VASLUI,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",27,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:11:44",1725,1716,0,9,0,49,40,0,9,0,47,2,1800,1751,23,4,3,15,1,1
39,VASLUI,"CLUBUL PENSIONARILOR",85,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,CL,CL_SV,"2024-06-09 23:59:14",1868,1860,0,8,0,23,15,0,8,0,23,0,2000,1977,6,6,4,5,1,1
39,VASLUI,"CLUBUL PENSIONARILOR",84,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:04:08",1788,1777,0,11,0,35,24,0,11,0,31,4,2000,1965,14,5,2,8,2,0
39,VASLUI,"CLUBUL ”PRIETENIA”",83,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,CL,CL_SV,"2024-06-09 23:24:11",1579,1571,0,8,0,10,2,0,8,0,10,0,1600,1590,3,1,2,3,1,0
39,VASLUI,"CLUBUL ”PRIETENIA”",82,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:17:22",1517,1509,0,8,0,41,33,0,8,0,41,0,1600,1559,13,5,11,10,2,0
39,VASLUI,"COLEGIUL ECONOMIC ”ANGHEL RUGINĂ”",61,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:23:24",568,562,0,6,0,241,235,0,6,0,234,7,600,359,85,30,48,57,8,6
39,VASLUI,"COLEGIUL ECONOMIC ”ANGHEL RUGINĂ”",60,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:28:35",1716,1710,0,6,0,481,475,0,6,0,471,10,1800,1319,180,60,70,137,14,10
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL",72,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:20:10",1860,1855,3,2,0,869,867,0,2,0,836,33,2000,1131,348,131,119,185,33,20
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL NR.12",46,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:47:10",1246,1239,0,5,2,449,442,0,5,2,426,23,1300,851,194,64,41,106,13,8
39,VASLUI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 22",79,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:23:18",1927,1923,0,4,0,46,42,0,4,0,45,1,2000,1954,13,12,8,10,1,1
39,VASLUI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 22",80,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:48:51",1885,1879,0,6,0,315,309,0,6,0,309,6,2000,1685,125,61,47,60,7,9
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 22",81,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:24:59",1868,1861,0,7,0,98,91,0,7,0,97,1,2000,1902,31,23,12,28,1,2
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.14",11,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:23:58",976,961,0,15,0,348,343,0,5,0,331,12,1000,657,108,51,53,93,20,6
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.14",10,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:37:25",1023,1016,0,6,1,374,367,0,6,1,358,16,1204,830,129,60,75,76,9,9
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.15",12,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:50:51",1392,1385,1,6,0,486,480,0,6,0,462,24,1600,1114,201,54,59,108,13,27
39,VASLUI,"GRADINITA CU PROGRAM PRELUNGIT NR.17",39,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:09:46",1803,1792,3,7,1,451,444,0,7,0,439,12,2000,1549,182,71,51,103,14,18
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.3",47,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:38:33",1150,1144,0,5,1,445,439,0,5,1,420,25,1200,755,172,57,52,107,18,14
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.5",23,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,CL,CL_SV,"2024-06-09 23:37:29",1712,1704,0,8,0,9,1,0,8,0,9,0,1800,1791,5,1,1,2,0,0
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.5",21,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,CL,CL_SV,"2024-06-09 23:43:08",1764,1757,0,7,0,9,2,0,7,0,9,0,2000,1991,3,2,1,3,0,0
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.5",20,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:20:21",1767,1760,0,7,0,240,233,0,7,0,234,6,2000,1760,92,41,28,59,6,8
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.5",22,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:19:20",737,729,0,8,0,53,45,0,8,0,50,3,800,747,17,12,7,11,0,3
39,VASLUI,"GRADINITA CU PROGRAM PRELUNGIT NR. 6",38,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:15:16",1629,1619,0,10,0,40,30,0,10,0,39,1,1700,1660,19,9,5,4,2,0
39,VASLUI,"LICEUL CU PROGRAM SPORTIV",35,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:13:26",1826,1816,0,10,0,21,11,0,10,0,21,0,2000,1979,8,1,5,5,2,0
