precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PONORAN SILVIU-PARTIDUL NAȚIONAL LIBERAL-voturi","CLONŢA NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FOSZTO ELENA-ANDREEA-PARTIDUL SOCIAL DEMOCRAT-voturi"
1,ALBA,"CĂMIN CULTURAL, SAT IZVORUL AMPOIULUI",178,"ORAŞ ZLATNA",1936,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:07:39",389,380,1,7,1,219,211,0,7,1,212,7,402,183,165,21,26
1,ALBA,"CĂMIN CULTURAL, SAT VÂLTORI",183,"ORAŞ ZLATNA",1936,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:18:27",164,155,0,9,0,95,86,0,9,0,94,1,163,68,76,10,8
1,ALBA,"LICEUL ”CORNELIU MEDREA” ZLATNA",175,"ORAŞ ZLATNA",1936,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:51:51",1291,1277,3,9,2,641,630,0,9,2,623,18,1485,844,485,53,85
1,ALBA,"ŞCOALA GIMNAZIALĂ „ AVRAM IANCU” ZLATNA",173,"ORAŞ ZLATNA",1936,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:22:04",1171,1154,1,11,5,618,602,0,11,5,600,18,1216,598,459,60,81
1,ALBA,"ŞCOALA GIMNAZIALĂ „ AVRAM IANCU” ZLATNA",174,"ORAŞ ZLATNA",1936,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:20:51",968,957,0,5,6,539,528,0,5,6,523,16,1008,469,407,32,84
1,ALBA,"ŞCOALA GIMNAZIALĂ ” SAVA ALBESCU ” SAT FENEŞ",176,"ORAŞ ZLATNA",1936,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:06:16",726,698,0,8,20,544,516,0,8,20,533,11,764,220,448,29,56
1,ALBA,"ŞCOALA PRIMARĂ , SAT GALAŢI",177,"ORAŞ ZLATNA",1936,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:14:00",287,275,0,7,5,162,150,0,7,5,161,1,298,136,130,11,20
1,ALBA,"ŞCOALA PRIMARĂ , SAT PĂTRÂNGENI",179,"ORAŞ ZLATNA",1936,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:58:14",492,483,0,5,4,271,262,0,5,4,265,6,518,247,209,20,36
1,ALBA,"ŞCOALA PRIMARĂ , SAT PIRITA",180,"ORAŞ ZLATNA",1936,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:50:59",377,365,0,9,3,227,215,0,9,3,224,3,391,164,182,13,29
1,ALBA,"ŞCOALA PRIMARĂ , SAT TRÂMPOIELE",181,"ORAŞ ZLATNA",1936,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:38:40",310,290,1,7,12,210,191,0,7,12,205,5,318,108,178,15,12
1,ALBA,"ŞCOALA PRIMARĂ , SAT VALEA MICĂ",182,"ORAŞ ZLATNA",1936,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:39:42",336,323,1,7,5,240,228,0,7,5,233,7,346,106,152,65,16
