precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PĂNESCU ANA-MARIA-PARTIDUL NAȚIONAL LIBERAL-voturi","CHIRIŢĂ VIORICA-UNIUNEA SALVAȚI ROMÂNIA-voturi","BOŢÂRCĂ GHEORGHIŢĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","VASILESCU VICTOR-GABRIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
3,ARGEŞ,"LICEUL TEORETIC ”ION MIHALACHE’’ TOPOLOVENI",180,"ORAŞ TOPOLOVENI",13757,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:36:42",902,891,2,9,0,473,464,0,9,0,462,11,1000,527,98,55,265,44
3,ARGEŞ,"LICEUL TEORETIC ”ION MIHALACHE’’ TOPOLOVENI",181,"ORAŞ TOPOLOVENI",13757,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:19:55",875,860,3,11,1,505,504,0,0,1,493,12,1000,460,97,35,332,29
3,ARGEŞ,"MUZEU ORĂȘENESC",182,"ORAŞ TOPOLOVENI",13757,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:50:37",680,673,1,6,0,391,385,0,6,0,376,15,800,409,56,41,251,28
3,ARGEŞ,"ŞCOALA GENERALĂ ŢIGĂNEŞTI - CENTRU",188,"ORAŞ TOPOLOVENI",13757,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:02:25",657,649,0,8,0,383,375,0,8,0,370,12,700,317,48,25,272,25
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ” NICOLAE CRISTESCU” SALA DE SPORT",185,"ORAŞ TOPOLOVENI",13757,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:08:57",1071,1064,1,6,0,601,595,0,6,0,593,8,1095,494,129,45,356,63
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”NICOLAE CRISTESCU” TOPOLOVENI",184,"ORAŞ TOPOLOVENI",13757,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:02:27",889,887,0,2,0,442,440,0,2,0,431,11,1011,569,123,24,238,46
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”NICOLAE CRISTESCU” TOPOLOVENI",183,"ORAŞ TOPOLOVENI",13757,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:27:19",864,848,5,8,3,497,486,0,8,3,486,10,938,442,82,28,330,46
3,ARGEŞ,"ŞCOALA PRIMARĂ GOLEŞTII-BADII",179,"ORAŞ TOPOLOVENI",13757,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:47:33",819,815,1,3,0,464,460,1,3,0,455,9,900,436,76,32,325,22
3,ARGEŞ,"ŞCOALA PRIMARĂ INURI",186,"ORAŞ TOPOLOVENI",13757,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:04:39",261,253,2,5,1,181,175,0,5,1,178,3,300,119,28,8,129,13
3,ARGEŞ,"ŞCOALA PRIMARĂ ŢIGĂNEŞTI- LINIE",187,"ORAŞ TOPOLOVENI",13757,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:44:56",613,607,0,6,0,405,399,0,6,0,399,6,704,299,58,38,285,18
